"","Row","Column","Block","Population","Family","Replicate","Date","Dead","Monarch_Quantity_Past","Monarch_Quantity_Observed","Monarch_Note","Tetraopes_tetropthalmus","Liriomyza_asclepiadis","Aphis_nerii","Aphis_asclepiadis","Myzocallis_asclepiadis","Euchaetes_egle","Lygaeus_kalmii","Labidomera_clivicollis","Rhyssomatus_lineaticollis","Comment","Sample"
"28",21,15,"3","51","4","5","07/13/2020","0",0,0,"",0,8,0,22,0,0,0,0,0,"","July"
"29",21,14,"3","47","3","1","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"30",21,11,"3","72","5","2","07/13/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"31",21,10,"3","46","1","4","07/13/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"32",21,9,"3","67","2","3","07/13/2020","0",0,0,"",0,9,0,0,0,0,0,0,0,"","July"
"33",21,7,"3","8","2","4","07/13/2020","0",0,0,"",0,7,0,0,0,0,0,0,0,"","July"
"34",21,6,"3","29","5","1","07/13/2020","0",0,0,"",0,4,0,0,0,0,0,0,0,"","July"
"35",21,4,"3","2","1","4","07/13/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"36",21,3,"3","31","1","4","07/13/2020","0",0,0,"",0,17,0,8,0,0,0,0,0,"","July"
"37",21,2,"3","8","3","1","07/13/2020","0",0,0,"",0,7,0,0,0,0,1,0,0,"","July"
"38",21,1,"3","30","2","2","07/13/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"39",20,46,"4","35","3","4","07/13/2020","0",0,0,"",0,0,0,2,0,0,0,0,0,"","July"
"40",20,44,"4","2","3","5","07/13/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"41",20,42,"4","27","4","4","07/13/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"42",20,41,"4","30","5","1","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"43",20,40,"4","3","5","3","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"44",20,39,"4","47","1","3","07/13/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"45",20,38,"4","15","4","3","07/13/2020","0",0,0,"",0,6,0,0,0,0,0,1,0,"","July"
"46",20,37,"4","40","2","3","07/13/2020","0",0,1,"1 egg",0,5,0,0,0,0,0,0,0,"","July"
"47",20,36,"4","77","1","3","07/13/2020","0",0,0,"",0,9,0,0,0,0,0,0,0,"","July"
"48",20,35,"4","28","4","1","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"49",20,34,"4","2","5","2","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"50",20,33,"4","36","1","3","07/13/2020","0",0,0,"",0,11,0,0,0,0,0,0,0,"","July"
"51",20,32,"4","79","1","2","07/13/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"52",20,31,"4","30","2","3","07/13/2020","0",0,0,"",0,20,5,0,0,0,0,0,0,"","July"
"53",20,30,"4","18","4","2","07/13/2020","0",0,0,"",0,15,0,0,0,0,0,0,0,"","July"
"54",20,29,"4","36","2","3","07/13/2020","0",0,0,"",0,10,0,14,0,0,0,0,0,"","July"
"55",20,28,"4","5","2","5","07/13/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"56",20,27,"4","19","3","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"57",20,26,"4","31","4","5","07/14/2020","0",0,0,"",0,8,0,1,0,0,0,0,0,"","July"
"58",20,25,"3","51","4","4","07/14/2020","0",0,0,"",1,13,0,3,0,0,0,0,0,"","July"
"59",20,24,"3","8","3","4","07/14/2020","0",0,0,"",0,0,0,1,0,0,0,0,0,"","July"
"60",20,23,"3","18","4","4","07/14/2020","0",0,0,"",0,8,0,1,0,0,0,0,0,"","July"
"61",20,22,"3","57","2","2","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"62",20,21,"3","18","1","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"63",20,20,"3","11","2","2","07/14/2020","0",0,0,"",0,4,0,1,0,0,0,0,0,"","July"
"64",20,19,"3","5","3","1","07/14/2020","0",0,0,"",0,12,0,0,0,0,0,0,0,"","July"
"65",20,18,"3","67","3","3","07/14/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"66",20,17,"3","6","1","5","07/14/2020","0",0,2,"2 eggs",0,30,0,0,0,0,0,0,0,"","July"
"67",20,16,"3","72","1","4","07/14/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"68",20,15,"3","1","3","3","07/14/2020","0",0,0,"",0,10,0,0,0,0,0,0,0,"","July"
"69",20,14,"3","30","4","1","07/14/2020","0",0,0,"",0,7,0,650,0,0,0,0,0,"","July"
"70",20,13,"3","3","4","4","07/14/2020","0",0,0,"",0,12,0,0,0,0,0,0,0,"","July"
"71",20,12,"3","67","5","2","07/14/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"72",20,11,"3","1","5","4","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"73",20,10,"3","21","5","2","07/14/2020","0",0,0,"",0,12,0,0,0,0,0,0,0,"","July"
"74",20,9,"3","36","5","4","07/14/2020","0",0,0,"",0,16,0,0,0,0,0,0,0,"","July"
"75",20,8,"3","27","2","2","07/14/2020","0",0,0,"",0,20,0,0,0,0,0,0,0,"","July"
"76",20,6,"3","19","5","3","07/14/2020","0",0,0,"",0,10,0,0,0,0,0,0,0,"","July"
"77",20,5,"3","29","1","1","07/14/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"78",20,4,"3","46","5","4","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"79",20,3,"3","3","3","2","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"80",20,2,"3","56","3","1","07/14/2020","0",0,0,"",0,21,0,1,0,0,0,0,0,"","July"
"81",20,1,"3","2","3","4","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"82",19,46,"4","46","3","5","07/14/2020","0",0,0,"",0,14,0,0,0,0,0,0,0,"","July"
"83",19,45,"4","15","3","2","07/14/2020","0",0,0,"",0,17,0,0,0,0,0,0,0,"","July"
"84",19,44,"4","20","3","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"85",19,43,"4","49","2","1","07/14/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"86",19,42,"4","9","2","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"87",19,41,"4","19","2","5","07/14/2020","0",0,1,"1 egg",0,13,0,1,0,0,0,0,0,"","July"
"88",19,40,"4","15","1","2","07/14/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"89",19,39,"4","21","2","4","07/14/2020","0",0,0,"",0,5,0,4,0,0,1,0,0,"","July"
"90",19,38,"4","79","3","2","07/14/2020","0",0,1,"4th instar ",0,7,0,4,0,0,0,0,0,"","July"
"91",19,37,"4","27","5","1","07/14/2020","0",0,0,"",0,19,0,0,0,0,0,0,0,"","July"
"92",19,35,"4","28","1","1","07/14/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"93",19,34,"4","29","5","5","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"94",19,33,"4","57","4","3","07/14/2020","0",0,0,"",0,13,0,0,0,0,0,1,0,"","July"
"95",19,32,"4","62","5","3","07/14/2020","0",0,0,"",0,14,0,0,0,0,0,0,0,"","July"
"96",19,30,"4","7","2","1","07/14/2020","0",0,0,"",0,7,0,1,0,0,0,0,0,"","July"
"97",19,29,"4","61","3","1","07/14/2020","0",0,0,"",0,2,0,2,0,0,0,0,0,"","July"
"98",19,28,"4","13","2","2","07/14/2020","0",0,0,"",0,19,0,16,0,0,0,0,0,"","July"
"99",19,27,"4","1","5","1","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"100",19,26,"4","8","1","5","07/14/2020","0",0,0,"",0,15,0,0,0,0,3,0,0,"","July"
"101",19,25,"3","15","2","2","07/14/2020","0",0,0,"",0,13,0,0,0,0,0,0,0,"","July"
"102",19,24,"3","61","3","5","07/14/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"103",19,23,"3","6","1","4","07/14/2020","0",0,0,"",0,14,0,0,0,0,0,0,0,"","July"
"104",19,22,"3","46","3","1","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"105",19,21,"3","74","1","4","07/14/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"106",19,20,"3","28","4","3","07/14/2020","0",0,0,"",0,0,0,1,0,0,0,0,0,"","July"
"107",19,19,"3","46","2","4","07/14/2020","0",0,1,"1 egg",0,0,0,0,0,0,0,0,0,"","July"
"108",19,18,"3","12","1","1","07/14/2020","0",0,1,"1 egg",0,24,0,0,0,0,0,0,0,"","July"
"109",19,17,"3","6","3","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"110",19,15,"3","47","1","2","07/14/2020","0",0,0,"",0,7,0,0,0,0,0,0,0,"","July"
"111",19,14,"3","64","3","1","07/14/2020","0",0,1,"1st instar",0,10,0,12,0,0,0,0,0,"","July"
"112",19,13,"3","19","2","1","07/14/2020","0",0,0,"",0,7,0,23,0,0,0,0,0,"","July"
"113",19,12,"3","18","3","4","07/14/2020","0",0,1,"1 egg",0,14,0,0,0,0,0,0,0,"","July"
"114",19,11,"3","72","4","1","07/14/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"115",19,9,"3","61","5","2","07/14/2020","0",0,0,"",0,9,0,0,0,0,0,0,0,"","July"
"116",19,8,"3","26","1","3","07/14/2020","0",0,1,"1 egg",0,29,0,0,0,0,0,0,0,"","July"
"117",19,7,"3","69","2","2","07/14/2020","0",0,0,"",0,4,0,8,0,0,0,0,0,"","July"
"118",19,6,"3","64","5","5","07/14/2020","0",0,0,"",0,4,0,0,0,0,0,0,0,"","July"
"119",19,5,"3","72","2","5","07/14/2020","0",0,0,"",0,4,0,0,0,0,0,0,0,"","July"
"120",19,4,"3","4","2","5","07/14/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"121",19,3,"3","40","4","3","07/14/2020","0",0,0,"",0,12,0,68,0,0,0,0,0,"","July"
"122",19,2,"3","31","3","1","07/14/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"123",19,1,"3","2","2","1","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"124",18,46,"4","2","2","4","07/14/2020","0",0,1,"1 egg",0,7,0,0,0,0,0,0,0,"","July"
"125",18,45,"4","3","1","1","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"126",18,44,"4","20","3","1","07/14/2020","0",0,0,"",0,5,0,2,0,0,0,0,0,"","July"
"127",18,43,"4","40","5","4","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"128",18,42,"4","18","2","3","07/14/2020","0",0,1,"1 egg",0,4,0,0,0,0,0,0,0,"","July"
"129",18,41,"4","3","5","5","07/14/2020","0",0,1,"1 egg",0,1,0,0,0,0,0,0,0,"","July"
"130",18,40,"4","46","2","1","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"131",18,38,"4","31","4","1","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"132",18,37,"4","69","2","5","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"133",18,36,"4","35","2","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"134",18,34,"4","21","1","1","07/14/2020","0",0,1,"1 egg",0,8,0,2,0,0,0,0,0,"","July"
"135",18,33,"4","18","5","4","07/14/2020","0",0,1,"1 egg",0,7,0,0,0,0,0,0,0,"","July"
"136",18,32,"4","5","3","3","07/14/2020","0",0,0,"",0,9,0,0,0,0,0,0,0,"","July"
"137",18,31,"4","64","1","5","07/14/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"138",18,30,"4","21","1","5","07/14/2020","0",0,2,"(2x) 1st instar",0,4,0,1,0,0,0,0,0,"","July"
"139",18,29,"4","20","1","1","07/14/2020","0",0,0,"",0,11,0,0,0,0,0,0,0,"","July"
"140",18,28,"4","39","1","1","07/14/2020","0",0,0,"",0,14,0,0,0,0,0,0,0,"","July"
"141",18,27,"4","6","3","2","07/14/2020","0",0,0,"",0,17,0,0,0,0,0,0,0,"","July"
"142",18,26,"4","36","5","5","07/14/2020","0",0,0,"",0,25,0,0,0,0,0,0,0,"","July"
"143",18,25,"3","39","1","3","07/14/2020","0",0,1,"1 egg",0,9,0,0,0,0,0,0,0,"","July"
"144",18,24,"3","62","3","2","07/14/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"145",18,23,"3","47","3","4","07/14/2020","0",0,0,"",0,7,0,0,0,0,0,0,0,"","July"
"146",18,21,"3","69","1","3","07/14/2020","0",0,0,"",0,3,0,3,0,0,1,0,0,"","July"
"147",18,20,"3","15","1","1","07/14/2020","0",0,2,"1st instar, 1 egg",0,0,0,0,0,0,0,0,0,"","July"
"148",18,19,"3","7","4","5","07/14/2020","0",0,1,"1st instar",0,3,0,0,0,0,0,0,0,"","July"
"149",18,17,"3","11","1","5","07/14/2020","0",0,2,"2 eggs",0,4,0,15,0,0,0,0,0,"","July"
"150",18,16,"3","28","4","2","07/14/2020","0",0,0,"",0,10,0,0,0,0,0,0,0,"","July"
"151",18,15,"3","14","3","4","07/14/2020","0",0,1,"1 egg",0,0,0,0,0,0,0,0,0,"","July"
"152",18,14,"3","62","5","4","07/14/2020","0",0,1,"1st instar",0,0,0,0,0,0,0,0,0,"","July"
"153",18,13,"3","42","1","3","07/14/2020","0",0,0,"",0,20,0,0,0,0,0,0,0,"","July"
"154",18,12,"3","56","3","2","07/14/2020","0",0,0,"",0,24,0,15,0,0,0,0,0,"","July"
"155",18,11,"3","18","3","2","07/14/2020","0",0,0,"",0,12,0,5,0,0,0,0,0,"","July"
"156",18,10,"3","3","5","2","07/14/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"157",18,9,"3","4","4","3","07/14/2020","0",0,0,"",0,0,0,1,0,0,0,0,0,"","July"
"158",18,8,"3","68","1","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"159",18,6,"3","2","3","3","07/14/2020","0",0,0,"",0,22,0,0,0,0,0,0,0,"","July"
"160",18,5,"3","46","4","5","07/14/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"161",18,4,"3","64","5","4","07/14/2020","0",0,0,"",0,26,0,0,0,100,0,0,0,"","July"
"162",18,3,"3","61","1","4","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"163",18,2,"3","39","2","3","07/14/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"164",18,1,"3","5","1","2","07/14/2020","0",0,0,"",0,11,0,0,0,0,0,0,0,"","July"
"165",17,46,"4","1","4","4","07/14/2020","0",0,0,"",0,13,0,0,0,0,0,0,0,"","July"
"166",17,45,"4","27","5","5","07/14/2020","0",0,0,"",0,10,0,0,0,0,0,0,0,"","July"
"167",17,44,"4","5","4","2","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"168",17,43,"4","30","3","2","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"169",17,41,"4","19","2","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"170",17,39,"4","57","3","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"171",17,37,"4","7","2","5","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"172",17,33,"4","67","3","4","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"173",17,32,"4","36","4","3","07/14/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"174",17,31,"4","74","1","1","07/14/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"175",17,30,"4","49","2","5","07/14/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"176",17,29,"4","5","5","1","07/14/2020","0",0,1,"3rd instar",0,8,0,0,0,0,1,0,0,"","July"
"177",17,28,"4","12","4","3","07/14/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"178",17,27,"4","61","3","2","07/15/2020","0",0,0,"",0,12,0,0,0,0,0,0,0,"","July"
"179",17,26,"4","18","1","5","07/15/2020","0",0,0,"",0,9,0,0,0,0,0,0,0,"","July"
"180",17,25,"3","13","1","1","07/15/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"181",17,24,"3","16","1","3","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"182",17,22,"3","67","3","1","07/15/2020","0",0,0,"",0,5,0,1,0,0,0,0,0,"","July"
"183",17,20,"3","40","1","1","07/15/2020","0",0,1,"1 egg",0,2,0,23,0,0,0,0,0,"","July"
"184",17,19,"3","77","5","2","07/15/2020","0",0,0,"",0,13,0,0,0,0,0,0,0,"","July"
"185",17,18,"3","15","4","5","07/15/2020","0",0,0,"",0,1,0,0,0,0,0,0,1,"","July"
"186",17,17,"3","12","2","5","07/15/2020","0",0,2,"2 eggs",0,6,0,8,0,0,0,0,0,"","July"
"187",17,16,"3","40","2","1","07/15/2020","0",0,1,"1 egg",0,1,0,0,0,0,0,0,0,"","July"
"188",17,14,"3","13","5","1","07/15/2020","0",0,1,"1 egg",0,25,0,0,0,0,0,0,0,"","July"
"189",17,13,"3","11","2","1","07/15/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"190",17,12,"3","67","4","4","07/15/2020","0",0,1,"1 egg",0,9,0,0,0,0,0,0,0,"","July"
"191",17,11,"3","69","2","3","07/15/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"192",17,10,"3","39","4","5","07/15/2020","0",0,0,"",0,18,0,0,0,0,0,0,0,"","July"
"193",17,9,"3","79","1","5","07/15/2020","0",0,0,"",0,11,0,0,0,0,0,0,0,"","July"
"194",17,8,"3","46","3","4","07/15/2020","0",0,0,"",0,12,0,2,0,0,0,0,0,"","July"
"195",17,7,"3","3","4","5","07/15/2020","0",0,0,"",0,19,1,13,0,0,0,0,0,"","July"
"196",17,6,"3","79","5","4","07/15/2020","0",0,0,"",0,8,0,2,0,0,0,0,0,"","July"
"197",17,4,"3","12","5","5","07/15/2020","0",0,0,"",0,10,0,0,0,0,0,0,0,"","July"
"198",17,3,"3","62","5","1","07/15/2020","0",0,0,"",0,24,0,0,0,0,0,0,0,"","July"
"199",17,2,"3","8","2","1","07/15/2020","0",0,0,"",0,4,8,17,0,0,0,0,0,"","July"
"200",17,1,"3","6","4","3","07/15/2020","0",0,0,"",0,6,0,0,0,0,1,0,0,"","July"
"201",16,46,"4","12","3","5","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"202",16,44,"4","18","3","5","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"203",16,43,"4","3","2","3","07/15/2020","0",0,0,"",0,0,0,0,0,0,1,0,0,"","July"
"204",16,42,"4","20","5","3","07/15/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"205",16,41,"4","2","4","1","07/15/2020","0",0,0,"",0,4,0,0,0,0,1,0,0,"","July"
"206",16,40,"4","39","1","2","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"207",16,39,"4","68","3","2","07/15/2020","0",0,0,"",0,1,0,0,0,0,0,1,0,"","July"
"208",16,38,"4","79","2","3","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,1,0,"","July"
"209",16,37,"4","3","3","1","07/15/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"210",16,35,"4","67","1","1","07/15/2020","0",0,0,"",0,11,0,0,0,0,0,0,0,"","July"
"211",16,34,"4","31","2","4","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"212",16,33,"4","18","2","5","07/15/2020","0",0,0,"",0,20,0,0,0,0,0,0,0,"","July"
"213",16,32,"4","79","5","5","07/15/2020","0",0,0,"",0,22,0,0,0,0,0,0,0,"","July"
"214",16,30,"4","19","1","4","07/15/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"215",16,29,"4","30","2","5","07/15/2020","0",0,0,"",0,5,0,0,0,0,1,0,0,"","July"
"216",16,28,"4","2","4","2","07/15/2020","0",0,0,"",0,7,0,0,0,0,0,0,0,"","July"
"217",16,27,"4","27","1","2","07/15/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"218",16,25,"3","19","1","3","07/15/2020","0",0,0,"",0,6,0,0,0,0,0,0,0,"","July"
"219",16,24,"3","2","3","2","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"220",16,23,"3","1","5","3","07/15/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"221",16,22,"3","39","4","4","07/15/2020","0",0,2,"2 eggs",0,12,0,13,0,0,0,0,0,"","July"
"222",16,21,"3","61","4","2","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"223",16,20,"3","4","2","3","07/15/2020","0",0,2,"1 egg, 3rd instar",0,5,0,1,0,0,0,0,0,"","July"
"224",16,19,"3","68","5","1","07/15/2020","0",0,1,"4th instar",0,8,0,1,0,0,0,0,0,"","July"
"225",16,17,"3","5","4","5","07/15/2020","0",0,0,"",0,1,0,0,0,0,0,0,0,"","July"
"226",16,16,"3","7","5","4","07/15/2020","0",0,1,"1 egg",0,0,0,0,0,0,0,0,0,"","July"
"227",16,15,"3","67","5","4","07/15/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"228",16,14,"3","49","2","2","07/15/2020","0",0,0,"",0,16,0,0,0,0,0,0,0,"","July"
"229",16,13,"3","41","1","2","07/15/2020","0",0,0,"",0,10,0,19,1,0,0,0,0,"","July"
"230",16,12,"3","5","2","1","07/15/2020","0",0,0,"",0,9,4,8,0,0,0,0,0,"","July"
"231",16,11,"3","46","4","4","07/15/2020","0",0,0,"",0,7,0,13,0,0,0,0,0,"","July"
"232",16,10,"3","15","5","3","07/15/2020","0",0,0,"",0,4,0,6,0,0,0,0,0,"","July"
"233",16,9,"3","21","4","2","07/15/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"234",16,8,"3","36","5","1","07/15/2020","0",0,0,"",0,10,0,1,0,0,0,0,0,"","July"
"235",16,7,"3","31","1","2","07/15/2020","0",0,0,"",0,9,0,5,0,0,0,0,0,"","July"
"236",16,6,"3","21","3","2","07/15/2020","0",0,0,"",0,18,0,22,0,0,0,0,0,"","July"
"237",16,5,"3","29","4","4","07/15/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"238",16,4,"3","77","2","1","07/15/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"239",16,1,"3","15","4","2","07/15/2020","0",0,0,"",0,4,0,0,0,0,0,0,0,"","July"
"240",15,45,"4","41","4","5","07/15/2020","0",0,0,"",0,5,0,0,0,0,0,0,0,"","July"
"241",15,44,"4","3","2","1","07/15/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"242",15,43,"4","20","5","2","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,0,0,"","July"
"243",15,42,"4","3","3","4","07/15/2020","0",0,0,"",0,8,0,0,0,0,0,0,0,"","July"
"244",15,41,"4","40","3","3","07/15/2020","0",0,0,"",0,13,0,0,0,0,0,0,0,"","July"
"245",15,40,"4","9","1","1","07/15/2020","0",0,0,"",0,3,0,0,0,0,0,0,0,"","July"
"246",15,39,"4","40","2","5","07/15/2020","0",0,0,"",0,0,0,0,0,0,0,1,0,"","July"
"247",15,38,"4","56","4","5","07/15/2020","0",0,0,"",0,2,0,0,0,0,0,0,0,"","July"
"248",15,37,"4","5","1","1","07/15/2020","0",0,0,"",0,12,0,0,0,0,0,0,0,"","July"
"249",15,36,"4","72","4","2","07/15/2020","0",0,1,"1 egg",0,3,0,0,0,0,0,0,0,"","July"
