Row,Column,Block,Population,Family,Replicate,Comment,Date,Height_ram1,Height_ram2,Height_ram3,Height_ram4,Height_ram5,Height_ram6,Height_ram7,Height_ram8,Total_Height,Dead
1,36,2,30,3,1,,9/4/2020,12.5,4.1,3.3,12.6,,,,,32.5,0
1,37,2,18,1,2,,9/4/2020,53.6,27,12.4,,,,,,93,0
1,38,2,31,5,1,,9/4/2020,4.6,57.1,,,,,,,61.7,0
1,39,2,7,4,2,,9/4/2020,,,,,,,,,0,1
1,40,2,8,1,4,,9/4/2020,101.8,104.6,86.7,,,,,,293.1,0
1,41,2,23,1,5,,9/4/2020,40.2,16.6,,,,,,,56.8,0
1,42,2,4,1,3,,9/4/2020,30.7,,,,,,,,30.7,0
1,43,2,36,3,3,,9/4/2020,63.4,,,,,,,,63.4,0
1,44,2,30,4,5,,9/4/2020,16.8,15.8,22.7,,,,,,55.3,0
1,45,2,62,2,1,,9/4/2020,25.6,21.6,,,,,,,47.2,0
1,46,2,6,2,4,,9/4/2020,14.8,15,,,,,,,29.8,0
2,1,1,79,4,5,,9/4/2020,14,68.2,58.7,,,,,,140.9,0
2,2,1,6,2,5,,9/4/2020,18.7,10.4,,,,,,,29.1,0
2,3,1,68,1,4,,9/4/2020,53.5,16.3,16.4,42,,,,,128.2,0
2,4,1,39,2,1,,9/4/2020,20.6,,,,,,,,20.6,0
2,5,1,49,3,5,,9/4/2020,21.4,49.3,,,,,,,70.7,0
2,6,1,14,5,2,,9/4/2020,22.1,24.9,30.3,,,,,,77.3,0
2,7,1,56,3,4,,9/4/2020,22,,,,,,,,22,0
2,8,1,27,2,5,,9/4/2020,,,,,,,,,0,1
2,9,1,21,3,4,,9/4/2020,33.3,22.1,,,,,,,55.4,0
2,10,1,14,2,2,,9/4/2020,26.1,41.2,,,,,,,67.3,0
2,11,1,72,2,1,,9/4/2020,56.3,20.2,,,,,,,76.5,0
2,12,1,2,1,1,,9/4/2020,55.9,,,,,,,,55.9,0
2,13,1,36,2,4,,9/4/2020,53.6,,,,,,,,53.6,0
2,14,1,35,2,1,,9/4/2020,50.3,41.8,50.2,,,,,,142.3,0
2,15,1,15,3,4,,9/4/2020,7,,,,,,,,7,0
2,16,1,40,2,2,,9/4/2020,32.5,,,,,,,,32.5,0
2,17,1,46,1,5,,9/4/2020,24.3,19.2,48.3,47,19.4,,,,158.2,0
2,18,1,6,4,2,,9/4/2020,45.1,60.2,,,,,,,105.3,0
2,19,1,9,1,3,,9/4/2020,11.7,42.2,,,,,,,53.9,0
2,20,1,18,5,1,,9/4/2020,17,42.4,14.2,38,,,,,111.6,0
2,21,1,79,1,4,,9/4/2020,79.6,,,,,,,,79.6,0
2,22,1,77,1,5,,9/4/2020,56.6,8.8,21.8,,,,,,87.2,0
2,23,1,31,4,2,,9/4/2020,25,7.9,11.2,49.9,,,,,94,0
2,24,2,47,2,3,,9/4/2020,5.4,8.8,29.4,,,,,,43.6,0
2,25,2,68,5,3,,9/4/2020,71.2,,,,,,,,71.2,0
2,26,2,28,1,4,,9/4/2020,32.4,,,,,,,,32.4,0
2,27,2,14,3,5,no living tissue,9/4/2020,,,,,,,,,0,1
2,28,2,2,5,5,,9/4/2020,21.4,21.8,38.4,50.5,26.6,,,,158.7,0
2,29,2,42,2,2,,9/4/2020,,,,,,,,,0,1
2,30,2,41,1,1,,9/4/2020,72.3,,,,,,,,72.3,0
2,31,2,68,3,3,,9/4/2020,36.4,51.7,,,,,,,88.1,0
2,32,2,14,4,2,,9/4/2020,,,,,,,,,0,1
2,33,2,72,1,2,,9/4/2020,26.1,22.8,70,,,,,,118.9,0
2,34,2,2,4,3,,9/4/2020,75.5,,,,,,,,75.5,0
2,35,2,4,1,2,,9/4/2020,18.3,17,17.5,21,35.6,,,,109.4,0
2,36,2,49,4,3,,9/4/2020,24.9,,,,,,,,24.9,0
2,37,2,17,2,4,,9/4/2020,29.2,21.5,,,,,,,50.7,0
2,38,2,6,1,3,,9/4/2020,51.3,,,,,,,,51.3,0
2,39,2,77,2,2,,9/4/2020,22,18.1,91.3,,,,,,131.4,0
2,40,2,47,2,4,,9/4/2020,19.6,68.8,,,,,,,88.4,0
2,41,2,64,1,3,,9/4/2020,97.7,90.4,82.9,98.3,,,,,369.3,0
2,42,2,57,5,1,,9/4/2020,25.9,15.2,,,,,,,41.1,0
2,43,2,57,1,4,,9/4/2020,44.2,,,,,,,,44.2,0
2,44,2,15,2,3,,9/4/2020,28.2,,,,,,,,28.2,0
2,45,2,79,5,2,,9/4/2020,37.6,61.2,,,,,,,98.8,0
2,46,2,17,5,4,,9/4/2020,43.3,,,,,,,,43.3,0
3,1,1,12,5,1,,9/4/2020,56.7,79.7,,,,,,,136.4,0
3,2,1,68,3,4,,9/4/2020,51.7,,,,,,,,51.7,0
3,3,1,14,5,1,,9/4/2020,45.5,25.1,52.6,,,,,,123.2,0
3,4,1,9,2,2,,9/4/2020,61.6,54.2,,,,,,,115.8,0
3,5,1,13,5,5,,9/4/2020,60.7,43.7,,,,,,,104.4,0
3,6,1,1,1,2,,9/4/2020,21.5,,,,,,,,21.5,0
3,7,1,68,3,5,,9/4/2020,9.7,21.2,24.5,,,,,,55.4,0
3,8,1,15,4,1,,9/4/2020,41.1,44.5,,,,,,,85.6,0
3,9,1,4,3,5,,9/4/2020,29,,,,,,,,29,0
3,10,1,2,5,3,,9/4/2020,6,7.1,,,,,,,13.1,0
3,11,1,49,3,4,,9/4/2020,27.1,,,,,,,,27.1,0
3,12,1,15,2,4,,9/4/2020,15,53.1,,,,,,,68.1,0
3,13,1,39,2,2,,9/4/2020,54.1,,,,,,,,54.1,0
3,14,1,2,2,5,,9/4/2020,44.5,36.2,61.3,44.5,,,,,186.5,0
3,15,1,64,3,2,,9/4/2020,39,17.2,13.3,,,,,,69.5,0
3,16,1,31,2,2,,9/4/2020,44,24.4,23.3,49.5,,,,,141.2,0
3,17,1,8,2,5,,9/4/2020,69.8,35.5,61.3,,,,,,166.6,0
3,18,1,17,1,1,,9/4/2020,58.7,64.5,74.1,,,,,,197.3,0
3,19,1,18,1,4,,9/4/2020,55.8,57.8,,,,,,,113.6,0
3,20,1,36,2,2,,9/4/2020,23.3,29.9,56.6,,,,,,109.8,0
3,21,1,7,3,1,,9/4/2020,47.1,31.3,,,,,,,78.4,0
3,22,1,69,2,1,,9/4/2020,58.4,,,,,,,,58.4,0
3,23,1,30,5,4,,9/4/2020,75.7,,,,,,,,75.7,0
3,24,2,4,4,5,,9/3/2020,5.3,48.3,,,,,,,53.6,0
3,25,2,16,3,4,,9/3/2020,14.7,2,3.3,5.3,,,,,25.3,0
3,26,2,62,3,1,,9/3/2020,76.9,,,,,,,,76.9,0
3,27,2,39,4,2,,9/3/2020,31.2,67.9,95.1,,,,,,194.2,0
3,28,2,77,3,2,,9/3/2020,63.3,48.9,,,,,,,112.2,0
3,29,2,4,4,4,,9/3/2020,35.8,25.2,68.4,,,,,,129.4,0
3,30,2,72,1,3,,9/3/2020,15,18.9,,,,,,,33.9,0
3,31,2,56,4,4,,9/3/2020,65,1.3,,,,,,,66.3,0
3,32,2,36,3,5,,9/3/2020,,,,,,,,,0,1
3,33,2,21,2,5,,9/3/2020,23.7,23.1,20.1,38.3,,,,,105.2,0
3,34,2,31,1,3,,9/3/2020,9.6,70.6,,,,,,,80.2,0
3,35,2,77,5,5,,9/3/2020,89.8,15.2,36,,,,,,141,0
3,36,2,72,2,3,,9/3/2020,43.2,70,,,,,,,113.2,0
3,37,2,56,2,1,,9/3/2020,42.8,16.9,,,,,,,59.7,0
3,38,2,46,2,3,,9/3/2020,80.7,,,,,,,,80.7,0
3,39,2,49,5,3,,9/3/2020,59.6,79,12.1,18.3,68.6,55.1,,,292.7,0
3,40,2,12,5,3,,9/3/2020,96.4,92.5,4.2,,,,,,193.1,0
3,41,2,67,4,3,,9/3/2020,84.8,12,49.3,54.5,56,,,,256.6,0
3,42,2,46,2,2,,9/3/2020,91,56.3,97.6,86.9,93.3,,,,425.1,0
3,43,2,40,5,2,,9/3/2020,23.4,37,,,,,,,60.4,0
3,44,2,67,2,5,,9/3/2020,12.6,47.2,27.6,,,,,,87.4,0
3,45,2,1,1,5,,9/3/2020,13.8,15.6,41.7,,,,,,71.1,0
3,46,2,19,1,1,,9/3/2020,55.1,,,,,,,,55.1,0
4,1,1,21,4,1,,9/3/2020,89.2,30.2,109.3,,,,,,228.7,0
4,2,1,79,2,1,,9/3/2020,34.5,10,10.8,31.7,,,,,87,0
4,3,1,12,4,1,,9/3/2020,73.6,28.1,,,,,,,101.7,0
4,4,1,47,3,5,,9/3/2020,21.9,9.5,9.8,,,,,,41.2,0
4,5,1,47,1,1,,9/3/2020,25.5,23.8,69.6,,,,,,118.9,0
4,6,1,21,2,3,,9/3/2020,49.2,11.3,37.4,9.6,,,,,107.5,0
4,7,1,1,2,1,,9/3/2020,66.4,,,,,,,,66.4,0
4,8,1,1,2,2,,9/3/2020,9.3,62.8,,,,,,,72.1,0
4,9,1,30,4,3,,9/3/2020,55.3,,,,,,,,55.3,0
4,10,1,61,5,1,,9/3/2020,,,,,,,,,0,1
4,11,1,1,4,1,,9/3/2020,55.5,13.2,51.9,,,,,,120.6,0
4,12,1,6,4,5,,9/3/2020,,,,,,,,,0,1
4,13,1,17,4,4,,9/3/2020,9.1,,,,,,,,9.1,0
4,14,1,79,4,4,,9/3/2020,20,23.1,22.6,15.2,35,,,,115.9,0
4,15,1,36,2,1,,9/3/2020,42,,,,,,,,42,0
4,16,1,4,1,1,,9/3/2020,6.8,9.8,3,9.3,13.2,44.8,,,86.9,0
4,17,1,56,4,2,,9/3/2020,8,17.1,41.3,,,,,,66.4,0
4,18,1,67,1,4,,9/3/2020,33,28.1,21.8,16,,,,,98.9,0
4,19,1,2,3,1,,9/3/2020,15.4,21,,,,,,,36.4,0
4,20,1,8,1,1,,9/3/2020,25.4,46.8,37.7,,,,,,109.9,0
4,21,1,72,5,5,,9/3/2020,19.6,,,,,,,,19.6,0
4,22,1,12,4,4,,9/3/2020,,,,,,,,,0,1
4,23,1,74,2,5,,9/3/2020,20.6,22.2,,,,,,,42.8,0
4,24,2,77,1,4,,9/3/2020,4.5,3.2,,,,,,,7.7,0
4,25,2,15,2,5,,9/3/2020,27,26.6,36.4,,,,,,90,0
4,26,2,56,2,3,,9/3/2020,22,35.3,,,,,,,57.3,0
4,27,2,32,1,2,,9/3/2020,49.7,36.6,41,,,,,,127.3,0
4,28,2,68,4,3,,9/3/2020,109.1,44.4,62.7,8.3,7,7.2,9,14,261.7,0
4,29,2,23,1,2,,9/3/2020,62.8,,,,,,,,62.8,0
4,30,2,4,1,4,,9/3/2020,25.2,52.6,,,,,,,77.8,0
4,31,2,6,3,1,,9/3/2020,33.7,,,,,,,,33.7,0
4,32,2,72,5,3,,9/3/2020,66,,,,,,,,66,0
4,33,2,4,3,2,,9/3/2020,60.4,40.5,99.5,,,,,,200.4,0
4,34,2,51,4,3,,9/3/2020,67.2,91.9,,,,,,,159.1,0
4,35,2,20,3,2,,9/3/2020,,,,,,,,,0,1
4,36,2,7,5,5,,9/3/2020,114,140.9,116.8,,,,,,371.7,0
4,37,2,36,5,3,,9/3/2020,53.5,75.6,37.4,,,,,,166.5,0
4,38,2,40,5,3,,9/3/2020,72.2,83.4,,,,,,,155.6,0
4,39,2,18,1,1,,9/3/2020,23,81.1,90.2,,,,,,194.3,0
4,40,2,36,1,4,,9/3/2020,55.8,59,72.1,69.2,54,75.3,65.1,,450.5,0
4,41,2,36,1,5,,9/3/2020,62.2,77.4,62.1,81.2,74.3,63.5,45.9,,466.6,0
4,42,2,2,2,2,,9/3/2020,62.4,,,,,,,,62.4,0
4,43,2,1,3,5,,9/3/2020,72.8,,,,,,,,72.8,0
4,44,2,61,4,4,,9/3/2020,55.8,57.7,,,,,,,113.5,0
4,45,2,18,5,2,,9/3/2020,19.5,,,,,,,,19.5,0
4,46,2,46,4,1,,9/3/2020,23.4,50.8,,,,,,,74.2,0
5,1,1,77,1,1,,9/3/2020,38.8,,,,,,,,38.8,0
5,2,1,21,5,3,,9/3/2020,3,23.2,30.1,,,,,,56.3,0
5,3,1,19,3,5,,9/3/2020,22.6,38.6,,,,,,,61.2,0
5,4,1,56,3,3,,9/3/2020,,,,,,,,,0,1
5,5,1,32,1,3,,9/3/2020,56.3,6.3,,,,,,,62.6,0
5,6,1,8,3,5,,9/3/2020,82.2,81.7,,,,,,,163.9,0
5,7,1,11,1,2,,9/3/2020,71.7,23.8,32.8,,,,,,128.3,0
5,8,1,4,5,2,,9/3/2020,48.2,11.1,3.5,,,,,,62.8,0
5,9,1,28,1,3,,9/3/2020,,,,,,,,,0,1
5,10,1,29,1,3,,9/3/2020,,,,,,,,,0,1
5,11,1,3,2,4,,9/3/2020,32.4,23,13.9,,,,,,69.3,0
5,12,1,23,1,5,,9/3/2020,55.6,,,,,,,,55.6,0
5,13,1,21,3,1,,9/3/2020,58.1,,,,,,,,58.1,0
5,14,1,49,2,3,,9/3/2020,23.3,24,19.5,14.1,,,,,80.9,0
5,15,1,72,3,5,,9/3/2020,42.2,,,,,,,,42.2,0
5,16,1,47,1,5,,9/3/2020,48.8,,,,,,,,48.8,0
5,17,1,47,3,3,,9/3/2020,16.9,,,,,,,,16.9,0
5,18,1,46,5,3,,9/3/2020,63.3,19.8,61.8,,,,,,144.9,0
5,19,1,21,3,5,,9/3/2020,9.4,,,,,,,,9.4,0
5,20,1,9,1,5,,9/3/2020,23.3,,,,,,,,23.3,0
5,21,1,47,4,5,,9/3/2020,26.1,57.2,,,,,,,83.3,0
5,22,1,13,1,4,,9/3/2020,27,16.4,,,,,,,43.4,0
5,23,2,3,4,3,,9/3/2020,11.5,19.4,,,,,,,30.9,0
5,24,2,62,1,1,no living tissue,9/3/2020,,,,,,,,,0,1
5,25,2,12,5,2,,9/3/2020,26.1,,,,,,,,26.1,0
5,26,2,74,2,1,,9/3/2020,32.3,59.2,,,,,,,91.5,0
5,27,2,30,5,2,,9/3/2020,59.4,67.7,,,,,,,127.1,0
5,28,2,79,1,3,,9/3/2020,50.3,22.1,10.9,,,,,,83.3,0
5,29,2,17,1,3,,9/3/2020,36.6,,,,,,,,36.6,0
5,30,2,6,5,4,,9/3/2020,62,63.3,,,,,,,125.3,0
5,31,2,77,4,2,,9/3/2020,44.1,53.3,54.7,,,,,,152.1,0
5,32,2,27,5,3,,9/3/2020,31.4,34.9,,,,,,,66.3,0
5,33,2,40,3,1,,9/3/2020,35.5,37.2,,,,,,,72.7,0
5,34,2,67,5,1,,9/3/2020,20.8,24.2,26,26.2,,,,,97.2,0
5,35,2,17,5,1,,9/3/2020,40.8,44.9,,,,,,,85.7,0
5,36,2,41,1,5,,9/3/2020,59.6,65.5,,,,,,,125.1,0
5,37,2,8,3,3,,9/3/2020,45.7,22.4,,,,,,,68.1,0
5,38,2,72,4,3,,9/3/2020,18.5,,,,,,,,18.5,0
5,39,2,77,5,1,,9/3/2020,102.1,109.5,114.9,79.6,,,,,406.1,0
5,40,2,14,1,4,,9/3/2020,19.1,22.3,49.9,,,,,,91.3,0
5,41,2,2,1,5,,9/3/2020,38.2,,,,,,,,38.2,0
5,42,2,39,5,3,,9/3/2020,83.3,102,,,,,,,185.3,0
5,43,2,36,3,4,,9/3/2020,71.2,67.4,56.3,78.8,,,,,273.7,0
5,44,2,69,1,4,,9/3/2020,42,,,,,,,,42,0
5,45,2,64,1,2,,9/3/2020,59.6,31.7,,,,,,,91.3,0
5,46,2,29,5,4,,9/3/2020,12.5,,,,,,,,12.5,0
6,1,1,36,4,4,,9/3/2020,11.6,12.7,38.6,,,,,,62.9,0
6,2,1,61,4,5,,9/3/2020,42.7,,,,,,,,42.7,0
6,3,1,2,2,3,,9/3/2020,46.6,,,,,,,,46.6,0
6,4,1,27,3,3,,9/3/2020,24.5,24.6,25.6,,,,,,74.7,0
6,5,1,11,2,4,,9/3/2020,54.4,42.3,2.8,,,,,,99.5,0
6,6,1,12,1,4,,9/3/2020,14.3,12.3,8,,,,,,34.6,0
6,7,1,57,5,3,,9/3/2020,40.2,,,,,,,,40.2,0
6,8,1,7,5,3,,9/3/2020,53.5,,,,,,,,53.5,0
6,9,1,21,4,4,,9/3/2020,70.6,34.3,27.8,48.4,,,,,181.1,0
6,10,1,49,4,5,,9/3/2020,3,8.3,8.4,8,,,,,27.7,0
6,11,1,40,5,5,,9/3/2020,25.4,8.6,4.8,11.5,18.9,,,,69.2,0
6,12,1,7,5,2,,9/3/2020,12.8,20.1,22.2,46,,,,,101.1,0
6,13,1,46,5,1,,9/3/2020,13.5,13.6,6.8,4.7,6.2,6.5,14.6,28.4,94.3,0
6,14,1,36,2,5,,9/3/2020,23.5,37.1,,,,,,,60.6,0
6,15,1,26,1,2,very eaten,9/3/2020,28.2,,,,,,,,28.2,0
6,16,1,51,2,1,,9/3/2020,19.3,35.5,,,,,,,54.8,0
6,17,1,46,1,3,,9/3/2020,,,,,,,,,0,1
6,18,1,6,2,1,,9/3/2020,,,,,,,,,0,1
6,19,1,19,5,2,,9/3/2020,53.4,69.3,,,,,,,122.7,0
6,20,1,3,5,1,,9/3/2020,54.3,,,,,,,,54.3,0
6,21,1,29,4,5,,9/3/2020,,,,,,,,,0,1
6,22,1,79,4,1,,9/3/2020,13.1,49.8,66.2,,,,,,129.1,0
6,23,2,21,2,2,very eaten,9/3/2020,8.1,12.7,,,,,,,20.8,0
6,24,2,77,4,5,,9/3/2020,49.4,,,,,,,,49.4,0
6,25,2,72,2,4,,9/3/2020,2,5.1,,,,,,,7.1,0
6,26,2,1,1,3,,9/3/2020,72.8,88.5,,,,,,,161.3,0
6,27,2,5,5,3,,9/3/2020,57.4,,,,,,,,57.4,0
6,28,2,36,1,1,,9/3/2020,38.1,,,,,,,,38.1,0
6,29,2,62,3,4,,9/3/2020,43.2,44,42.7,,,,,,129.9,0
6,30,2,12,5,4,,9/3/2020,15.8,20.9,,,,,,,36.7,0
6,31,2,18,4,3,,9/3/2020,61.1,,,,,,,,61.1,0
6,32,2,18,2,1,,9/3/2020,9.8,7.3,30.1,,,,,,47.2,0
6,33,2,14,1,1,,9/3/2020,6.1,47,,,,,,,53.1,0
6,34,2,57,5,2,,9/3/2020,,,,,,,,,0,1
6,35,2,1,3,4,,9/3/2020,63.8,80,85.9,,,,,,229.7,0
6,36,2,74,2,3,,9/3/2020,84.8,70.3,53.2,73.1,,,,,281.4,0
6,37,2,17,3,2,,9/3/2020,11,5.5,,,,,,,16.5,0
6,38,2,1,4,5,,9/3/2020,43.6,14.7,,,,,,,58.3,0
6,39,2,62,4,1,,9/3/2020,80.5,87.7,100.3,75.6,49.3,,,,393.4,0
6,40,2,17,2,1,,9/3/2020,36.1,53.3,66.6,5.4,2,3.1,3.4,,169.9,0
6,41,2,42,1,2,,9/3/2020,6.3,58.9,,,,,,,65.2,0
6,42,2,4,3,4,,9/3/2020,,,,,,,,,0,1
6,43,2,79,2,5,,9/3/2020,46.9,73,,,,,,,119.9,0
6,44,2,17,5,2,,9/3/2020,12.5,61.8,,,,,,,74.3,0
6,45,2,18,2,4,,9/3/2020,34.7,,,,,,,,34.7,0
6,46,2,7,4,3,,9/3/2020,12.5,7,45.1,,,,,,64.6,0
7,1,1,3,2,5,,9/3/2020,44.1,42,,,,,,,86.1,0
7,2,1,6,2,3,,9/3/2020,,,,,,,,,0,1
7,3,1,7,1,3,,9/3/2020,50.8,,,,,,,,50.8,0
7,4,1,47,2,2,very eaten,9/3/2020,3,,,,,,,,3,0
7,5,1,62,1,5,,9/3/2020,49.5,17,26.2,,,,,,92.7,0
7,6,1,64,2,3,,9/3/2020,,,,,,,,,0,1
7,7,1,67,2,1,,9/3/2020,31.1,,,,,,,,31.1,0
7,8,1,5,5,4,,9/3/2020,53.3,,,,,,,,53.3,0
7,9,1,39,2,4,,9/3/2020,31,13.7,9.9,,,,,,54.6,0
7,10,1,79,3,4,,9/3/2020,29,4,4.1,5.3,8.8,8.9,,,60.1,0
7,11,1,47,4,4,,9/3/2020,20,32.4,47.5,41,,,,,140.9,0
7,12,1,4,4,2,,9/3/2020,37.1,,,,,,,,37.1,0
7,13,1,19,2,2,,9/3/2020,49.1,,,,,,,,49.1,0
7,14,1,46,5,5,,9/3/2020,14.2,,,,,,,,14.2,0
7,15,1,7,4,4,very eaten,9/3/2020,3,8.1,,,,,,,11.1,0
7,16,1,68,1,5,,9/3/2020,45.8,9.7,7.2,5.4,32.1,,,,100.2,0
7,17,1,5,2,4,,9/3/2020,28.3,,,,,,,,28.3,0
7,18,1,5,3,2,,9/3/2020,31.3,23.9,,,,,,,55.2,0
7,19,1,29,1,2,,9/3/2020,16.3,,,,,,,,16.3,0
7,20,1,79,3,3,,9/3/2020,47.2,53.3,67.8,,,,,,168.3,0
7,21,1,35,3,2,,9/3/2020,52.5,4.6,32.2,35.4,,,,,124.7,0
7,22,1,35,4,4,,9/3/2020,12.5,,,,,,,,12.5,0
7,23,2,14,4,4,,9/3/2020,,,,,,,,,0,1
7,24,2,7,2,3,,9/3/2020,14.7,46.6,45.9,,,,,,107.2,0
7,25,2,12,2,4,no living tissue,9/3/2020,,,,,,,,,0,1
7,26,2,67,1,5,,9/3/2020,53.3,19.2,7.1,18.9,43,,,,141.5,0
7,27,2,30,2,4,,9/3/2020,54.5,58.4,,,,,,,112.9,0
7,28,2,8,2,2,,9/3/2020,86.2,14.4,71.1,41.9,,,,,213.6,0
7,29,2,39,2,5,,9/3/2020,83,22.4,,,,,,,105.4,0
7,30,2,56,3,5,,9/3/2020,25.7,9.8,2.3,,,,,,37.8,0
7,31,2,62,2,3,,9/3/2020,50.3,19,23.1,19.4,84.5,,,,196.3,0
7,32,2,5,1,4,,9/3/2020,,,,,,,,,0,1
7,33,2,12,2,2,,9/3/2020,67.8,91.6,83.2,68.8,,,,,311.4,0
7,34,2,57,4,5,,9/3/2020,71.3,58.1,,,,,,,129.4,0
7,35,2,62,3,5,,9/3/2020,,,,,,,,,0,1
7,36,2,79,5,1,,9/3/2020,16.4,13,5.4,3.1,,,,,37.9,0
7,37,2,1,1,1,,9/3/2020,30.1,72,37.2,87.3,,,,,226.6,0
7,38,2,64,3,4,,9/3/2020,37,84.1,,,,,,,121.1,0
7,39,2,19,5,3,,9/3/2020,9.2,21.4,84.3,,,,,,114.9,0
7,40,2,30,4,4,,9/3/2020,36.6,73,73.7,,,,,,183.3,0
7,41,2,16,3,5,,9/3/2020,72.5,78.6,81.9,68.5,,,,,301.5,0
7,42,2,13,3,1,,9/3/2020,,,,,,,,,0,1
7,43,2,27,4,3,,9/3/2020,,,,,,,,,0,1
7,44,2,11,2,5,no living tissue,9/3/2020,,,,,,,,,0,1
7,45,2,2,5,4,,9/3/2020,,,,,,,,,0,1
7,46,2,29,5,2,,9/3/2020,58.5,,,,,,,,58.5,0
8,1,1,9,2,1,,9/2/2020,"was mowed, can't measure true height. at least 70 cm",,,,,,,,0,1
8,2,1,57,1,2,,9/2/2020,75.2,64,,,,,,,139.2,0
