Row,Column,Block,Population,Family,Replicate,Survival_LateJune,Survival_LateJune_Date,Survival_LateJune_Comment,Survival_LateJune_Surveyor,Survival_LateAugust,Survival_LateAugust_Date,Survival_LateAugust_Comment,Survival_LateAugust_Surveyor
3,7,1,68,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,8,1,15,4,1,1,6/24/2022,wilted ,Yimin,1,8/23/2022,,Yimin
3,9,1,4,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,10,1,2,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,11,1,49,3,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,12,1,15,2,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,13,1,39,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,14,1,2,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,15,1,64,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,16,1,31,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,17,1,8,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,18,1,17,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,19,1,18,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,20,1,36,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,21,1,7,3,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,22,1,69,2,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,23,1,30,5,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,24,2,4,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,25,2,16,3,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,26,2,62,3,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,27,2,39,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,28,2,77,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,29,2,4,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,30,2,72,1,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,31,2,56,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,32,2,36,3,5,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,33,2,21,2,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,34,2,31,1,3,1,6/24/2022,wilting,Yimin,1,8/23/2022,,Yimin
3,35,2,77,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,36,2,72,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,37,2,56,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,38,2,46,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,39,2,49,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,40,2,12,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,41,2,67,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,42,2,46,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,43,2,40,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,44,2,67,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
3,45,2,1,1,5,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
3,46,2,19,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,1,1,21,4,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,2,1,79,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,3,1,12,4,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,4,1,47,3,5,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,5,1,47,1,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,6,1,21,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,7,1,1,2,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,8,1,1,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,9,1,30,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,10,1,61,5,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,11,1,1,4,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,12,1,6,4,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,13,1,17,4,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,14,1,79,4,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,15,1,36,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,16,1,4,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,17,1,56,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,18,1,67,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,19,,2,3,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,20,1,8,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,21,1,72,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,22,1,12,4,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,23,1,74,2,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,24,2,77,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,25,2,15,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,26,2,56,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,27,2,32,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,28,2,68,4,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,29,2,23,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,30,2,4,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,31,2,6,3,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,32,2,72,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,33,2,4,3,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
4,34,2,51,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,35,2,20,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,36,2,7,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,37,2,36,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,38,2,40,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,39,2,18,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,40,2,36,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,41,2,36,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,42,2,2,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,43,2,1,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,44,2,61,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,45,2,18,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
4,46,2,46,4,1,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,1,1,77,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,2,1,21,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,3,1,19,3,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,4,1,56,3,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,5,1,32,1,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,6,1,8,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,7,1,11,1,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,8,1,4,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,9,1,28,1,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,10,1,29,1,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,11,1,3,2,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,12,1,23,1,5,1,6/24/2022,wilting,Yimin,1,8/23/2022,,Yimin
5,13,1,21,3,1,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,14,1,49,2,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,15,1,72,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,16,1,47,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,17,1,47,3,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,18,1,46,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,19,1,21,3,5,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,20,1,9,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,21,1,47,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,22,1,13,1,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,23,2,3,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,24,2,62,1,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,25,2,12,5,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,26,2,74,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,27,2,30,5,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,28,2,79,1,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,29,2,17,1,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,30,2,6,5,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,31,2,77,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,32,2,27,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,33,2,40,3,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,34,2,67,5,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,35,2,17,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,36,2,41,1,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,37,2,8,3,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,38,2,72,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,39,2,77,5,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,40,2,14,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,41,2,2,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,42,2,39,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,43,2,36,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,44,2,69,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
5,45,2,64,1,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
5,46,2,29,5,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,1,1,36,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,2,1,61,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,3,1,2,2,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,4,1,27,3,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,5,1,11,2,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,6,1,12,1,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,7,1,57,5,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,8,1,7,5,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,9,1,21,4,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,10,1,49,4,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,11,1,40,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,12,1,7,5,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,13,1,46,5,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,14,1,36,2,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,15,1,26,1,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,16,1,51,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,17,1,46,1,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,18,1,6,2,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,19,1,19,5,2,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,20,1,3,5,1,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,21,1,29,4,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,22,1,79,4,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,23,2,21,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,24,2,77,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,25,2,72,2,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,26,2,1,1,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,27,2,5,5,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,28,2,36,1,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,29,2,62,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,30,2,12,5,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,31,2,18,4,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,32,2,18,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,33,2,14,1,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,34,2,57,5,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,35,2,1,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,36,2,74,2,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,37,2,17,3,2,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,38,2,1,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,39,2,62,4,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,40,2,17,2,1,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,41,2,42,1,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,42,2,4,3,4,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
6,43,2,79,2,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,44,2,17,5,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,45,2,18,2,4,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
6,46,2,7,4,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,1,1,3,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,2,1,6,2,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,3,1,7,1,3,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,4,1,47,2,2,1,6/24/2022,wilting,Yimin,1,8/23/2022,,Yimin
7,5,1,62,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,6,1,64,2,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,7,1,67,2,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,8,1,5,5,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,9,1,39,2,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,10,1,79,3,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,11,1,47,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,12,1,4,4,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,13,1,19,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,14,1,46,5,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,15,1,7,4,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,16,1,68,1,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,17,1,5,2,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,18,1,5,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,19,1,29,1,2,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,20,1,79,3,3,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,21,1,35,3,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,22,1,35,4,4,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,23,2,14,4,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,24,2,7,2,3,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,25,2,12,2,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,26,2,67,1,5,1,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,27,2,30,2,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,28,2,8,2,2,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,29,2,39,2,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,30,2,56,3,5,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,31,2,62,2,3,0,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,32,2,5,1,4,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,33,2,12,2,2,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,34,2,57,4,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,35,2,62,3,5,1,6/24/2022,,Yimin,1,8/23/2022,,Yimin
7,36,2,79,5,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
7,37,2,1,1,1,0,6/24/2022,,Yimin,0,8/23/2022,,Yimin
