"","Row","Column","Block","Population","Family","Replicate","Alive","Herbivory","Date","Surveyor","Comment"
"78",2,32,"2","14","4","2",0,NA,"8/27/2021","Sophie",NA
"79",2,33,"2","72","1","2",1,"0,2,0,1,0","8/27/2021","Sophie",NA
"80",2,34,"2","2","4","3",1,"0,2,3,0,0","8/27/2021","Sophie",NA
"81",2,35,"2","4","1","2",1,"0,0,1,0,4","8/27/2021","Sophie",NA
"82",2,36,"2","49","4","3",1,"0,0,22,25,34","8/27/2021","Sophie",NA
"83",2,37,"2","17","2","4",1,"0,2,1,2,0","8/27/2021","Sophie",NA
"84",2,38,"2","6","1","3",1,"0,26,0,2,0","8/27/2021","Sophie",NA
"85",2,39,"2","77","2","2",1,"3,0,0,25,0","8/27/2021","Sophie",NA
"86",2,40,"2","47","2","4",1,"16,1,0,0,0","8/27/2021","Sophie",NA
"87",2,41,"2","64","1","3",1,"5,4,3,0,2","8/27/2021","Sophie",NA
"88",2,42,"2","57","5","1",1,"0,3,4,46,50","8/27/2021","Sophie",NA
"89",2,43,"2","57","1","4",1,"0,0,0,0,03","8/27/2021","Sophie",NA
"90",2,44,"2","15","2","3",1,"3,50,10,3,2","8/27/2021","Sophie",NA
"91",2,45,"2","79","5","2",1,"0,0,14,3,36","8/27/2021","Sophie",NA
"92",2,46,"2","17","5","4",1,"0,2,0,1,0","8/27/2021","Sophie",NA
"93",3,1,"1","12","5","1",1,"0,0,0,0,01","8/27/2021","Sophie",NA
"94",3,2,"1","68","3","4",1,"2,1,0,0,0","8/27/2021","Sophie",NA
"95",3,3,"1","14","5","1",1,"0,0,0,0,02","8/27/2021","Sophie",NA
"96",3,4,"1","9","2","2",1,"0,1,2,1,1","8/27/2021","Sophie",NA
"97",3,5,"1","13","5","5",1,"3,1,1,5,1","8/27/2021","Sophie",NA
"98",3,6,"1","1","1","2",0,NA,"8/27/2021","Sophie",NA
"99",3,7,"1","68","3","5",1,"6,1,3,2,3","8/27/2021","Sophie",NA
"100",3,8,"1","15","4","1",1,"0,1,2,0,12","8/27/2021","Sophie",NA
"101",3,9,"1","4","3","5",1,"0,38,1,3,18","8/27/2021","Sophie",NA
"102",3,10,"1","2","5","3",1,"28,3,3,8,2","8/27/2021","Sophie",NA
"103",3,11,"1","49","3","4",1,"4,10,5,2,3","8/27/2021","Sophie",NA
"104",3,12,"1","15","2","4",1,"2,2,3,0,3","8/27/2021","Sophie",NA
"105",3,13,"1","39","2","2",1,"3,0,0,2,0","8/27/2021","Sophie",NA
"106",3,14,"1","2","2","5",1,"6,22,50,0,44","8/27/2021","Sophie",NA
"107",3,15,"1","64","3","2",1,"3,2,1,3,2","8/27/2021","Sophie",NA
"108",3,16,"1","31","2","2",1,"24,16,0,3,4","8/27/2021","Sophie",NA
"109",3,17,"1","8","2","5",1,"0,0,0,8,6","8/27/2021","Sophie",NA
"110",3,18,"1","17","1","1",1,"0,2,2,0,2","8/27/2021","Sophie",NA
"111",3,19,"1","18","1","4",1,"0,0,0,0,01","8/27/2021","Sophie",NA
"112",3,20,"1","36","2","2",1,"6,0,0,0,1","8/27/2021","Sophie",NA
"113",3,21,"1","7","3","1",0,NA,"8/27/2021","Sophie",NA
"114",3,22,"1","69","2","1",1,"1,5,1,5,1","8/27/2021","Sophie",NA
"115",3,23,"1","30","5","4",1,"0,0,0,1,3","8/27/2021","Sophie",NA
"116",3,24,"2","4","4","5",1,"0,0,0,3,2","8/27/2021","Sophie",NA
"117",3,25,"2","16","3","4",0,NA,"8/27/2021","Sophie",NA
"118",3,26,"2","62","3","1",1,"3,0,2,3,3","8/27/2021","Sophie",NA
"119",3,27,"2","39","4","2",1,"0,1,0,1,2","8/27/2021","Sophie",NA
"120",3,28,"2","77","3","2",1,"0,0,0,0,01","8/27/2021","Sophie",NA
"121",3,29,"2","4","4","4",1,"0,0,42,34,50","8/27/2021","Sophie",NA
"122",3,30,"2","72","1","3",1,"42,60,3,2,2","8/27/2021","Sophie",NA
"123",3,31,"2","56","4","4",1,"2,4,0,3,0","8/27/2021","Sophie",NA
"124",3,32,"2","36","3","5",0,NA,"8/27/2021","Sophie",NA
"125",3,33,"2","21","2","5",1,"0,0,2,3,5","8/27/2021","Sophie",NA
"126",3,34,"2","31","1","3",1,"1,1,0,0,1","8/27/2021","Sophie",NA
"127",3,35,"2","77","5","5",1,"0,0,0,0,20","8/27/2021","Sophie",NA
"128",3,36,"2","72","2","3",1,"0,5,14,4,16","8/27/2021","Sophie",NA
"129",3,37,"2","56","2","1",1,"0,1,0,8,4","8/27/2021","Sophie",NA
"130",3,38,"2","46","2","3",1,"2,0,0,0,2","8/27/2021","Sophie",NA
"131",3,39,"2","49","5","3",1,"2,0,0,2,0","8/27/2021","Sophie",NA
"132",3,40,"2","12","5","3",1,"8,0,0,1,2","8/27/2021","Sophie",NA
"133",3,41,"2","67","4","3",1,"2,3,5,8,25","8/27/2021","Sophie",NA
"134",3,42,"2","46","2","2",1,"12,0,2,0,0","8/27/2021","Sophie",NA
"135",3,43,"2","40","5","2",0,NA,"8/27/2021","Sophie",NA
"136",3,44,"2","67","2","5",1,"3,2,4,0,4","8/27/2021","Sophie",NA
"137",3,45,"2","1","1","5",0,NA,"8/27/2021","Sophie",NA
"138",3,46,"2","19","1","1",1,"3,2,54,2,54","8/27/2021","Sophie",NA
"139",4,1,"1","21","4","1",1,"0,0,0,0,06","8/27/2021","Sophie",NA
"140",4,2,"1","79","2","1",1,"18,0,0,0,2","8/27/2021","Sophie",NA
"141",4,3,"1","12","4","1",1,"6,1,0,3,1","8/27/2021","Sophie",NA
"142",4,4,"1","47","3","5",1,"0,3,32,10,-","8/27/2021","Sophie",NA
"143",4,5,"1","47","1","1",1,"1,1,1,0,2","8/27/2021","Sophie",NA
"144",4,6,"1","21","2","3",1,"0,0,0,0,01","8/27/2021","Sophie",NA
"145",4,7,"1","1","2","1",1,"1,0,2,1,6","8/27/2021","Sophie",NA
"146",4,8,"1","1","2","2",1,"4,0,1,0,0","8/27/2021","Sophie",NA
"147",4,9,"1","30","4","3",1,"1,6,0,0,0","8/27/2021","Sophie",NA
"148",4,10,"1","61","5","1",0,NA,"8/27/2021","Sophie",NA
"149",4,11,"1","1","4","1",1,"7,12,90,18,18","8/27/2021","Sophie",NA
"150",4,12,"1","6","4","5",0,NA,"8/27/2021","Sophie",NA
"151",4,13,"1","17","4","4",0,NA,"8/27/2021","Sophie",NA
"152",4,14,"1","79","4","4",1,"0,4,54,0,22","8/27/2021","Sophie",NA
"153",4,15,"1","36","2","1",1,"0,0,0,0,05","8/27/2021","Sophie",NA
"154",4,16,"1","4","1","1",1,"0,0,0,0,05","8/27/2021","Sophie",NA
"155",4,17,"1","56","4","2",1,"0,0,0,0,02","8/27/2021","Sophie",NA
"156",4,18,"1","67","1","4",1,"3,1,2,3,4","8/27/2021","Sophie",NA
"157",4,19,"1","2","3","1",1,"0,5,0,1,2","8/27/2021","Sophie",NA
"158",4,20,"1","8","1","1",1,"2,2,2,1,33","8/27/2021","Sophie",NA
"159",4,21,"1","72","5","5",1,"0,2,42,24,3","8/27/2021","Sophie",NA
"160",4,22,"1","12","4","4",0,NA,"8/27/2021","Sophie",NA
"161",4,23,"1","74","2","5",0,NA,"8/27/2021","Sophie",NA
"162",4,24,"2","77","1","4",1,"0,2,1,1,4","8/27/2021","Sophie",NA
"163",4,25,"2","15","2","5",1,"46,0,0,24,30","8/27/2021","Sophie",NA
"164",4,26,"2","56","2","3",1,"0,0,0,0,0","8/27/2021","Sophie",NA
"165",4,27,"2","32","1","2",1,"2,3,2,1,0","8/27/2021","Sophie",NA
"166",4,28,"2","68","4","3",1,"0,4,1,2,2","8/27/2021","Sophie",NA
"167",4,29,"2","23","1","2",1,"3,2,3,2,2","8/27/2021","Sophie",NA
"168",4,30,"2","4","1","4",1,"2,1,1,1,2","8/27/2021","Sophie",NA
"169",4,31,"2","6","3","1",1,"3,1,4,6,0","8/27/2021","Sophie",NA
"170",4,32,"2","72","5","3",1,"0,0,0,1,0","8/27/2021","Sophie",NA
"171",4,33,"2","4","3","2",1,"0,0,0,1,0","8/27/2021","Sophie",NA
"172",4,34,"2","51","4","3",1,"2,2,2,3,0","8/27/2021","Sophie",NA
"173",4,35,"2","20","3","2",0,NA,"8/27/2021","Sophie",NA
"174",4,36,"2","7","5","5",1,"1,2,0,1,0","8/27/2021","Sophie",NA
"175",4,37,"2","36","5","3",1,"7,0,0,0,96","8/27/2021","Sophie",NA
"176",4,38,"2","40","5","3",1,"1,1,2,1,0","8/27/2021","Sophie",NA
"177",4,39,"2","18","1","1",1,"5,4,1,4,1","8/27/2021","Sophie",NA
"178",4,40,"2","36","1","4",1,"0,0,0,1,0","8/27/2021","Sophie",NA
"179",4,41,"2","36","1","5",1,"3,0,8,3,4","8/27/2021","Sophie",NA
"180",4,42,"2","2","2","2",1,"18,22,46,3,3","8/27/2021","Sophie",NA
"181",4,43,"2","1","3","5",1,"2,3,18,3,12","8/27/2021","Sophie",NA
"182",4,44,"2","61","4","4",1,"4,2,20,2,3","8/27/2021","Sophie",NA
"183",4,45,"2","18","5","2",1,"2,0,3,4,18","8/27/2021","Sophie",NA
"184",4,46,"2","46","4","1",1,"1,2,0,2,0","8/27/2021","Sophie",NA
"185",5,1,"1","77","1","1",1,"0,0,0,0,03","8/26/2021","Sophie",NA
"186",5,2,"1","21","5","3",1,"20,4,2,14,24","8/26/2021","Sophie",NA
"187",5,3,"1","19","3","5",1,"1,0,1,23,3","8/26/2021","Sophie",NA
"188",5,4,"1","56","3","3",0,NA,"8/26/2021","Sophie",NA
"189",5,5,"1","32","1","3",1,"0,0,2,3,32","8/26/2021","Sophie",NA
"190",5,6,"1","8","3","5",1,"1,1,2,2,0","8/26/2021","Sophie",NA
"191",5,7,"1","11","1","2",1,"8,0,0,6,0","8/26/2021","Sophie",NA
"192",5,8,"1","4","5","2",1,"0,2,1,1,1","8/26/2021","Sophie",NA
"193",5,9,"1","28","1","3",0,NA,"8/26/2021","Sophie",NA
"194",5,10,"1","29","1","3",0,NA,"8/26/2021","Sophie",NA
"195",5,11,"1","3","2","4",1,"12,1,0,25,8","8/26/2021","Sophie",NA
"196",5,12,"1","23","1","5",1,"0,5,4,18,5","8/26/2021","Sophie",NA
"197",5,13,"1","21","3","1",1,"1,2,4,8,1","8/26/2021","Sophie",NA
"198",5,14,"1","49","2","3",1,"0,0,0,0,0","8/26/2021","Sophie",NA
"199",5,15,"1","72","3","5",1,"1,0,1,1,3","8/26/2021","Sophie",NA
"200",5,16,"1","47","1","5",1,"0,0,0,0,01","8/26/2021","Sophie",NA
"201",5,17,"1","47","3","3",1,"5,5,52,0,6","8/26/2021","Sophie",NA
"202",5,18,"1","46","5","3",1,"2,12,3,2,1","8/26/2021","Sophie",NA
"203",5,19,"1","21","3","5",1,"2,0,5,5,1","8/26/2021","Sophie",NA
"204",5,20,"1","9","1","5",1,"3,0,1,1,0","8/26/2021","Sophie",NA
"205",5,21,"1","47","4","5",1,"4,0,1,0,5","8/26/2021","Sophie",NA
"206",5,22,"1","13","1","4",1,"0,0,0,0,01","8/26/2021","Sophie",NA
"207",5,23,"2","3","4","3",1,"0,2,0,2,4","8/26/2021","Sophie",NA
"208",5,24,"2","62","1","1",0,NA,"8/26/2021","Sophie",NA
"209",5,25,"2","12","5","2",0,NA,"8/26/2021","Sophie",NA
"210",5,26,"2","74","2","1",1,"0,0,0,2,1","8/26/2021","Sophie",NA
"211",5,27,"2","30","5","2",1,"0,1,0,1,0","8/26/2021","Sophie",NA
"212",5,28,"2","79","1","3",1,"0,2,0,1,0","8/26/2021","Sophie",NA
"213",5,29,"2","17","1","3",1,"0,1,2,3,6","8/26/2021","Sophie",NA
"214",5,30,"2","6","5","4",1,"3,3,1,1,12","8/26/2021","Sophie",NA
"215",5,31,"2","77","4","2",1,"3,2,3,40,46","8/26/2021","Sophie",NA
"216",5,32,"2","27","5","3",0,NA,"8/26/2021","Sophie",NA
"217",5,33,"2","40","3","1",1,"3,1,1,1,0","8/26/2021","Sophie",NA
"218",5,34,"2","67","5","1",1,"0,0,25,23,2","8/26/2021","Sophie",NA
"219",5,35,"2","17","5","1",1,"1,52,2,2,34","8/26/2021","Sophie",NA
"220",5,36,"2","41","1","5",1,"0,1,12,0,0","8/26/2021","Sophie",NA
"221",5,37,"2","8","3","3",1,"0,0,0,4,3","8/26/2021","Sophie",NA
"222",5,38,"2","72","4","3",1,"1,0,5,5,1","8/26/2021","Sophie",NA
"223",5,39,"2","77","5","1",1,"0,0,1,6,0","8/26/2021","Sophie",NA
"224",5,40,"2","14","1","4",1,"0,0,0,2,1","8/26/2021","Sophie",NA
"225",5,41,"2","2","1","5",1,"3,28,26,2,10","8/26/2021","Sophie",NA
"226",5,42,"2","39","5","3",1,"6,6,3,2,1","8/26/2021","Sophie",NA
"227",5,43,"2","36","3","4",1,"0,0,0,1,2","8/26/2021","Sophie",NA
"228",5,44,"2","69","1","4",1,"0,0,0,1,2","8/26/2021","Sophie",NA
"229",5,45,"2","64","1","2",1,"0,0,0,0,0","8/26/2021","Sophie",NA
"230",5,46,"2","29","5","4",1,"4,2,1,18,4","8/26/2021","Sophie",NA
"231",6,1,"1","36","4","4",1,"0,0,4,2,1","8/26/2021","Sophie",NA
"232",6,2,"1","61","4","5",1,"0,0,0,0,01","8/26/2021","Sophie",NA
"233",6,3,"1","2","2","3",1,"5,2,1,1,1","8/26/2021","Sophie",NA
"234",6,4,"1","27","3","3",1,"0,1,2,1,2","8/26/2021","Sophie",NA
"235",6,5,"1","11","2","4",1,"0,0,0,0,04","8/26/2021","Sophie",NA
"236",6,6,"1","12","1","4",1,"3,0,3,4,3","8/26/2021","Sophie",NA
"237",6,7,"1","57","5","3",1,"0,2,0,1,0","8/26/2021","Sophie",NA
"238",6,8,"1","7","5","3",1,"0,1,2,0,0","8/26/2021","Sophie",NA
"239",6,9,"1","21","4","4",1,"60,0,0,3,4","8/26/2021","Sophie",NA
"240",6,10,"1","49","4","5",1,"3,4,25,2,8","8/26/2021","Sophie",NA
"241",6,11,"1","40","5","5",1,"54,26,2,24,58","8/26/2021","Sophie",NA
"242",6,12,"1","7","5","2",1,"8,10,22,22,5","8/26/2021","Sophie",NA
"243",6,13,"1","46","5","1",0,NA,"8/26/2021","Sophie",NA
"244",6,14,"1","36","2","5",1,"0,1,2,0,0","8/26/2021","Sophie",NA
"245",6,15,"1","26","1","2",1,"18,6,2,5,4","8/26/2021","Sophie",NA
"246",6,16,"1","51","2","1",1,"10,3,1,2,1","8/26/2021","Sophie",NA
"247",6,17,"1","46","1","3",0,NA,"8/26/2021","Sophie",NA
"248",6,18,"1","6","2","1",0,NA,"8/26/2021","Sophie",NA
"249",6,19,"1","19","5","2",1,"0,0,0,0,0","8/26/2021","Sophie",NA
"250",6,20,"1","3","5","1",1,"18,0,0,0,5","8/26/2021","Sophie",NA
"251",6,21,"1","29","4","5",0,NA,"8/26/2021","Sophie",NA
"252",6,22,"1","79","4","1",1,"10,20,10,16,8","8/26/2021","Sophie",NA
"253",6,23,"2","21","2","2",1,"20,0,46,48,0","8/26/2021","Sophie",NA
"254",6,24,"2","77","4","5",1,"2,1,2,0,4","8/26/2021","Sophie",NA
"255",6,25,"2","72","2","4",1,"16,5,6,3,3","8/26/2021","Sophie",NA
"256",6,26,"2","1","1","3",1,"0,0,0,2,2","8/26/2021","Sophie",NA
"257",6,27,"2","5","5","3",1,"0,1,2,0,4","8/26/2021","Sophie",NA
"258",6,28,"2","36","1","1",0,NA,"8/26/2021","Sophie",NA
"259",6,29,"2","62","3","4",1,"2,3,1,1,3","8/26/2021","Sophie",NA
"260",6,30,"2","12","5","4",1,"0,30,5,50,64","8/26/2021","Sophie",NA
"261",6,31,"2","18","4","3",1,"5,4,2,0,1","8/26/2021","Sophie",NA
"262",6,32,"2","18","2","1",1,"0,2,25,46,54","8/26/2021","Sophie",NA
"263",6,33,"2","14","1","1",1,"0,5,0,2,44","8/26/2021","Sophie",NA
"264",6,34,"2","57","5","2",1,"4,5,2,2,5","8/26/2021","Sophie",NA
"265",6,35,"2","1","3","4",1,"0,14,1,0,2","8/26/2021","Sophie",NA
"266",6,36,"2","74","2","3",1,"1,4,4,6,25","8/26/2021","Sophie",NA
"267",6,37,"2","17","3","2",1,"0,0,-,-,-","8/26/2021","Sophie",NA
"268",6,38,"2","1","4","5",1,"16,0,5,2,0","8/26/2021","Sophie",NA
"269",6,39,"2","62","4","1",1,"2,5,3,3,0","8/26/2021","Sophie",NA
"270",6,40,"2","17","2","1",1,"0,0,2,0,1","8/26/2021","Sophie",NA
"271",6,41,"2","42","1","2",1,"12,58,40,56,92","8/26/2021","Sophie",NA
"272",6,42,"2","4","3","4",0,NA,"8/26/2021","Sophie",NA
"273",6,43,"2","79","2","5",0,NA,"8/26/2021","Sophie",NA
"274",6,44,"2","17","5","2",1,"3,0,4,0,8","8/26/2021","Sophie",NA
"275",6,45,"2","18","2","4",1,"6,3,44,0,20","8/26/2021","Sophie",NA
"276",6,46,"2","7","4","3",1,"22,3,0,1,4","8/26/2021","Sophie",NA
"277",7,1,"1","3","2","5",1,"0,25,22,0,4","8/26/2021","Sophie",NA
"278",7,2,"1","6","2","3",0,NA,"8/26/2021","Sophie",NA
"279",7,3,"1","7","1","3",1,"1,0,0,2,28","8/26/2021","Sophie",NA
"280",7,4,"1","47","2","2",1,"3,1,2,6,3","8/26/2021","Sophie",NA
"281",7,5,"1","62","1","5",1,"22,4,0,3,2","8/26/2021","Sophie",NA
"282",7,6,"1","64","2","3",0,NA,"8/26/2021","Sophie",NA
"283",7,7,"1","67","2","1",1,"26,3,14,3,0","8/26/2021","Sophie",NA
"284",7,8,"1","5","5","4",1,"2,1,1,1,2","8/26/2021","Sophie",NA
"285",7,9,"1","39","2","4",1,"2,1,10,3,4","8/26/2021","Sophie",NA
"286",7,10,"1","79","3","4",1,"2,3,18,3,2","8/26/2021","Sophie",NA
"287",7,11,"1","47","4","4",1,"2,8,0,0,1","8/26/2021","Sophie",NA
"288",7,12,"1","4","4","2",1,"0,0,1,0,3","8/26/2021","Sophie",NA
"289",7,13,"1","19","2","2",1,"14,0,0,0,10","8/26/2021","Sophie",NA
"290",7,14,"1","46","5","5",0,NA,"8/26/2021","Sophie",NA
"291",7,15,"1","7","4","4",1,"3,3,5,5,1","8/26/2021","Sophie",NA
"292",7,16,"1","68","1","5",1,"0,2,3,0,0","8/26/2021","Sophie",NA
"293",7,17,"1","5","2","4",1,"3,6,50,5,8","8/26/2021","Sophie",NA
"294",7,18,"1","5","3","2",1,"3,26,2,0,4","8/26/2021","Sophie",NA
"295",7,19,"1","29","1","2",1,"2,0,0,44,10","8/26/2021","Sophie",NA
"296",7,20,"1","79","3","3",1,"3,5,2,0,6","8/26/2021","Sophie",NA
"297",7,21,"1","35","3","2",1,"0,0,0,0,0","8/26/2021","Sophie",NA
"298",7,22,"1","35","4","4",1,"4,2,3,5,3","8/26/2021","Sophie",NA
"299",7,23,"2","14","4","4",0,NA,"8/26/2021","Sophie",NA
"300",7,24,"2","7","2","3",1,"4,3,3,2,3","8/26/2021","Sophie",NA
"301",7,25,"2","12","2","4",0,NA,"8/26/2021","Sophie",NA
"302",7,26,"2","67","1","5",1,"3,2,3,0,0","8/26/2021","Sophie",NA
"303",7,27,"2","30","2","4",1,"1,3,4,0,0","8/26/2021","Sophie",NA
"304",7,28,"2","8","2","2",1,"0,1,0,2,2","8/26/2021","Sophie",NA
"305",7,29,"2","39","2","5",1,"0,1,3,1,0","8/26/2021","Sophie",NA
"306",7,30,"2","56","3","5",0,NA,"8/26/2021","Sophie",NA
"307",7,31,"2","62","2","3",1,"4,0,0,0,1","8/26/2021","Sophie",NA
"308",7,32,"2","5","1","4",1,"0,0,0,0,3","8/26/2021","Sophie",NA
"309",7,33,"2","12","2","2",1,"0,1,0,0,1","8/26/2021","Sophie",NA
"310",7,34,"2","57","4","5",1,"0,3,1,0,0","8/26/2021","Sophie",NA
"311",7,35,"2","62","3","5",0,NA,"8/26/2021","Sophie",NA
"312",7,36,"2","79","5","1",1,"0,0,0,0,0","8/26/2021","Sophie",NA
"313",7,37,"2","1","1","1",1,"22,0,10,0,0","8/26/2021","Sophie",NA
"314",7,38,"2","64","3","4",1,"1,4,4,28,5","8/26/2021","Sophie",NA
"315",7,39,"2","19","5","3",1,"2,2,0,0,1","8/26/2021","Sophie",NA
"316",7,40,"2","30","4","4",1,"2,0,18,0,18","8/26/2021","Sophie",NA
"317",7,41,"2","16","3","5",1,"2,0,2,0,0","8/26/2021","Sophie",NA
"318",7,42,"2","13","3","1",0,NA,"8/26/2021","Sophie",NA
"319",7,43,"2","27","4","3",0,NA,"8/26/2021","Sophie",NA
"320",7,44,"2","11","2","5",1,"6,22,24,40,12","8/26/2021","Sophie",NA
"321",7,45,"2","2","5","4",1,"0,30,2,38,5","8/26/2021","Sophie",NA
"322",7,46,"2","29","5","2",1,"25,0,2,03","8/26/2021","Sophie",NA
"323",8,1,"1","9","2","1",1,"0,2,1,1,1","8/26/2021","Sophie",NA
"324",8,2,"1","57","1","2",1,"0,2,14,0,1","8/26/2021","Sophie",NA
"325",8,3,"1","67","3","2",1,"0,1,1,2,2","8/26/2021","Sophie",NA
"326",8,4,"1","21","5","1",1,"0,1,0,0,2","8/26/2021","Sophie",NA
"327",8,5,"1","13","5","4",1,"4,0,0,5,1","8/26/2021","Sophie",NA
"328",8,6,"1","74","1","3",1,"0,0,0,48,6","8/26/2021","Sophie",NA
"329",8,7,"1","17","1","4",1,"4,28,0,1,3","8/26/2021","Sophie",NA
"330",8,8,"1","15","4","4",1,"2,2,22,2,1","8/26/2021","Sophie",NA
"331",8,9,"1","7","3","2",1,"12,3,0,3,2","8/26/2021","Sophie",NA
"332",8,10,"1","12","3","2",0,NA,"8/26/2021","Sophie",NA
"333",8,11,"1","11","4","5",1,"25,0,1,28,22","8/26/2021","Sophie",NA
"334",8,12,"1","20","5","1",1,"1,1,0,5,22","8/26/2021","Sophie",NA
"335",8,13,"1","72","4","5",1,"3,0,40,1,0","8/26/2021","Sophie",NA
