"","Row","Column","Block","Population","Family","Replicate","Surveyor","Date","Monarch_Quantity_Observed","Liriomyza_asclepiadis","Labidomera_clivicollis","Comment","Sample"
"37",1,37,"2","18","1","2","Samer","7/16/21",0,0,0,NA,"Early"
"38",1,38,"2","31","5","1","Samer","7/16/21",0,0,0,NA,"Early"
"39",1,39,"2","7","4","2","Samer","7/16/21",0,0,0,NA,"Early"
"40",1,40,"2","8","1","4","Samer","7/16/21",0,2,0,NA,"Early"
"41",1,41,"2","23","1","5","Samer","7/16/21",0,2,0,NA,"Early"
"42",1,42,"2","4","1","3","Samer","7/16/21",0,1,0,NA,"Early"
"43",1,43,"2","36","3","3","Samer","7/16/21",1,0,0,NA,"Early"
"44",1,44,"2","30","4","5","Samer","7/16/21",1,1,0,NA,"Early"
"45",1,45,"2","62","2","1","Samer","7/16/21",2,3,0,NA,"Early"
"46",1,46,"2","6","2","4","Samer","7/16/21",0,0,0,NA,"Early"
"47",2,1,"1","79","4","5","Hayden","7/16/21",3,4,0,NA,"Early"
"48",2,2,"1","6","2","5","Hayden","7/16/21",2,0,0,NA,"Early"
"49",2,3,"1","68","1","4","Hayden","7/16/21",1,2,0,NA,"Early"
"50",2,4,"1","39","2","1","Hayden","7/16/21",0,5,0,NA,"Early"
"51",2,5,"1","49","3","5","Hayden","7/16/21",2,1,0,NA,"Early"
"52",2,6,"1","14","5","2","Hayden","7/16/21",5,2,0,NA,"Early"
"53",2,7,"1","56","3","4","Hayden","7/16/21",0,0,0,NA,"Early"
"54",2,8,"1","27","2","5","Hayden","7/16/21",0,0,0,NA,"Early"
"55",2,9,"1","21","3","4","Hayden","7/16/21",2,2,0,NA,"Early"
"56",2,10,"1","14","2","2","Hayden","7/16/21",2,1,0,NA,"Early"
"57",2,11,"1","72","2","1","Hayden","7/16/21",0,1,0,NA,"Early"
"58",2,12,"1","2","1","1","Hayden","7/16/21",1,2,0,NA,"Early"
"59",2,13,"1","36","2","4","Hayden","7/16/21",0,0,0,NA,"Early"
"60",2,14,"1","35","2","1","Hayden","7/16/21",1,1,0,NA,"Early"
"61",2,15,"1","15","3","4","Hayden","7/16/21",0,0,0,NA,"Early"
"62",2,16,"1","40","2","2","Hayden","7/16/21",0,1,0,NA,"Early"
"63",2,17,"1","46","1","5","Hayden","7/16/21",0,3,0,NA,"Early"
"64",2,18,"1","6","4","2","Hayden","7/16/21",1,5,0,NA,"Early"
"65",2,19,"1","9","1","3","Hayden","7/16/21",0,1,0,NA,"Early"
"66",2,20,"1","18","5","1","Hayden","7/16/21",1,0,0,NA,"Early"
"67",2,21,"1","79","1","4","Hayden","7/16/21",0,0,0,NA,"Early"
"68",2,22,"1","77","1","5","Hayden","7/16/21",1,2,0,NA,"Early"
"69",2,23,"1","31","4","2","Hayden","7/16/21",1,3,0,NA,"Early"
"70",2,24,"2","47","2","3","Hayden","7/16/21",1,1,0,NA,"Early"
"71",2,25,"2","68","5","3","Hayden","7/16/21",1,3,0,NA,"Early"
"72",2,26,"2","28","1","4","Hayden","7/16/21",1,1,0,NA,"Early"
"73",2,27,"2","14","3","5","Hayden","7/16/21",0,5,0,NA,"Early"
"74",2,28,"2","2","5","5","Hayden","7/16/21",0,3,0,NA,"Early"
"75",2,29,"2","42","2","2","Hayden","7/16/21",0,0,0,NA,"Early"
"76",2,30,"2","41","1","1","Hayden","7/16/21",1,3,0,NA,"Early"
"77",2,31,"2","68","3","3","Hayden","7/16/21",1,2,0,NA,"Early"
"78",2,32,"2","14","4","2","Hayden","7/16/21",0,0,0,NA,"Early"
"79",2,33,"2","72","1","2","Hayden","7/16/21",1,1,0,NA,"Early"
"80",2,34,"2","2","4","3","Hayden","7/16/21",0,2,0,NA,"Early"
"81",2,35,"2","4","1","2","Hayden","7/16/21",2,2,0,NA,"Early"
"82",2,36,"2","49","4","3","Hayden","7/16/21",4,0,0,NA,"Early"
"83",2,37,"2","17","2","4","Hayden","7/16/21",0,7,0,NA,"Early"
"84",2,38,"2","6","1","3","Hayden","7/16/21",0,2,1,NA,"Early"
"85",2,39,"2","77","2","2","Hayden","7/16/21",1,4,0,NA,"Early"
"86",2,40,"2","47","2","4","Hayden","7/16/21",4,3,0,NA,"Early"
"87",2,41,"2","64","1","3","Hayden","7/16/21",1,1,0,NA,"Early"
"88",2,42,"2","57","5","1","Hayden","7/16/21",0,2,0,NA,"Early"
"89",2,43,"2","57","1","4","Hayden","7/16/21",1,6,0,NA,"Early"
"90",2,44,"2","15","2","3","Hayden","7/16/21",1,1,0,NA,"Early"
"91",2,45,"2","79","5","2","Hayden","7/16/21",0,1,1,NA,"Early"
"92",2,46,"2","17","5","4","Hayden","7/16/21",0,5,0,NA,"Early"
"93",3,1,"1","12","5","1","Samer","7/16/21",3,1,0,NA,"Early"
"94",3,2,"1","68","3","4","Samer","7/16/21",0,3,0,NA,"Early"
"95",3,3,"1","14","5","1","Samer","7/16/21",0,3,0,NA,"Early"
"96",3,4,"1","9","2","2","Samer","7/16/21",0,5,0,NA,"Early"
"97",3,5,"1","13","5","5","Samer","7/16/21",0,5,0,NA,"Early"
"98",3,6,"1","1","1","2","Samer","7/16/21",4,0,0,NA,"Early"
"99",3,7,"1","68","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"100",3,8,"1","15","4","1","Samer","7/16/21",0,0,0,NA,"Early"
"101",3,9,"1","4","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"102",3,10,"1","2","5","3","Samer","7/16/21",0,0,0,NA,"Early"
"103",3,11,"1","49","3","4","Samer","7/16/21",2,4,0,NA,"Early"
"104",3,12,"1","15","2","4","Samer","7/16/21",2,0,0,NA,"Early"
"105",3,13,"1","39","2","2","Samer","7/16/21",0,3,0,NA,"Early"
"106",3,14,"1","2","2","5","Samer","7/16/21",0,3,0,NA,"Early"
"107",3,15,"1","64","3","2","Samer","7/16/21",0,0,0,NA,"Early"
"108",3,16,"1","31","2","2","Samer","7/16/21",0,1,0,NA,"Early"
"109",3,17,"1","8","2","5","Samer","7/16/21",0,2,0,NA,"Early"
"110",3,18,"1","17","1","1","Samer","7/16/21",0,6,0,NA,"Early"
"111",3,19,"1","18","1","4","Samer","7/16/21",1,0,0,NA,"Early"
"112",3,20,"1","36","2","2","Samer","7/16/21",0,7,0,NA,"Early"
"113",3,21,"1","7","3","1","Samer","7/16/21",0,0,0,NA,"Early"
"114",3,22,"1","69","2","1","Samer","7/16/21",0,0,0,NA,"Early"
"115",3,23,"1","30","5","4","Samer","7/16/21",0,2,0,NA,"Early"
"116",3,24,"2","4","4","5","Samer","7/16/21",0,3,0,NA,"Early"
"117",3,25,"2","16","3","4","Samer","7/16/21",0,1,0,NA,"Early"
"118",3,26,"2","62","3","1","Samer","7/16/21",0,11,0,NA,"Early"
"119",3,27,"2","39","4","2","Samer","7/16/21",0,3,0,NA,"Early"
"120",3,28,"2","77","3","2","Samer","7/16/21",0,2,0,NA,"Early"
"121",3,29,"2","4","4","4","Samer","7/16/21",0,2,0,NA,"Early"
"122",3,30,"2","72","1","3","Samer","7/16/21",2,8,0,NA,"Early"
"123",3,31,"2","56","4","4","Samer","7/16/21",0,6,0,NA,"Early"
"124",3,32,"2","36","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"125",3,33,"2","21","2","5","Samer","7/16/21",0,1,0,NA,"Early"
"126",3,34,"2","31","1","3","Samer","7/16/21",0,2,0,NA,"Early"
"127",3,35,"2","77","5","5","Samer","7/16/21",2,2,0,NA,"Early"
"128",3,36,"2","72","2","3","Samer","7/16/21",0,2,0,NA,"Early"
"129",3,37,"2","56","2","1","Samer","7/16/21",0,0,0,NA,"Early"
"130",3,38,"2","46","2","3","Samer","7/16/21",0,2,0,NA,"Early"
"131",3,39,"2","49","5","3","Samer","7/16/21",1,0,0,NA,"Early"
"132",3,40,"2","12","5","3","Samer","7/16/21",1,1,0,NA,"Early"
"133",3,41,"2","67","4","3","Samer","7/16/21",0,4,0,NA,"Early"
"134",3,42,"2","46","2","2","Samer","7/16/21",0,5,0,NA,"Early"
"135",3,43,"2","40","5","2","Samer","7/16/21",0,0,0,NA,"Early"
"136",3,44,"2","67","2","5","Samer","7/16/21",0,2,0,NA,"Early"
"137",3,45,"2","1","1","5","Samer","7/16/21",0,0,0,NA,"Early"
"138",3,46,"2","19","1","1","Samer","7/16/21",0,2,0,NA,"Early"
"139",4,1,"1","21","4","1","Hayden","7/16/21",1,4,0,NA,"Early"
"140",4,2,"1","79","2","1","Hayden","7/16/21",2,0,0,NA,"Early"
"141",4,3,"1","12","4","1","Hayden","7/16/21",1,4,0,NA,"Early"
"142",4,4,"1","47","3","5","Hayden","7/16/21",1,0,0,NA,"Early"
"143",4,5,"1","47","1","1","Hayden","7/16/21",0,1,0,NA,"Early"
"144",4,6,"1","21","2","3","Hayden","7/16/21",1,6,0,NA,"Early"
"145",4,7,"1","1","2","1","Hayden","7/16/21",4,3,0,NA,"Early"
"146",4,8,"1","1","2","2","Hayden","7/16/21",1,1,0,NA,"Early"
"147",4,9,"1","30","4","3","Hayden","7/16/21",1,2,0,NA,"Early"
"148",4,10,"1","61","5","1","Hayden","7/16/21",0,0,0,NA,"Early"
"149",4,11,"1","1","4","1","Hayden","7/16/21",1,2,0,NA,"Early"
"150",4,12,"1","6","4","5","Hayden","7/16/21",1,4,0,NA,"Early"
"151",4,13,"1","17","4","4","Hayden","7/16/21",0,3,0,NA,"Early"
"152",4,14,"1","79","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"153",4,15,"1","36","2","1","Hayden","7/16/21",0,2,0,NA,"Early"
"154",4,16,"1","4","1","1","Hayden","7/16/21",0,2,0,NA,"Early"
"155",4,17,"1","56","4","2","Hayden","7/16/21",0,2,0,NA,"Early"
"156",4,18,"1","67","1","4","Hayden","7/16/21",0,2,0,NA,"Early"
"157",4,19,"1","2","3","1","Hayden","7/16/21",0,6,0,NA,"Early"
"158",4,20,"1","8","1","1","Hayden","7/16/21",0,0,0,NA,"Early"
"159",4,21,"1","72","5","5","Hayden","7/16/21",2,0,0,NA,"Early"
"160",4,22,"1","12","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"161",4,23,"1","74","2","5","Hayden","7/16/21",0,0,0,NA,"Early"
"162",4,24,"2","77","1","4","Hayden","7/16/21",2,2,0,NA,"Early"
"163",4,25,"2","15","2","5","Hayden","7/16/21",0,2,0,NA,"Early"
"164",4,26,"2","56","2","3","Hayden","7/16/21",0,0,0,NA,"Early"
"165",4,27,"2","32","1","2","Hayden","7/16/21",0,2,0,NA,"Early"
"166",4,28,"2","68","4","3","Hayden","7/16/21",2,1,0,NA,"Early"
"167",4,29,"2","23","1","2","Hayden","7/16/21",0,0,0,NA,"Early"
"168",4,30,"2","4","1","4","Hayden","7/16/21",1,6,0,NA,"Early"
"169",4,31,"2","6","3","1","Hayden","7/16/21",1,1,0,NA,"Early"
"170",4,32,"2","72","5","3","Hayden","7/16/21",1,3,0,NA,"Early"
"171",4,33,"2","4","3","2","Hayden","7/16/21",0,1,0,NA,"Early"
"172",4,34,"2","51","4","3","Hayden","7/16/21",0,2,0,NA,"Early"
"173",4,35,"2","20","3","2","Hayden","7/16/21",0,0,0,NA,"Early"
"174",4,36,"2","7","5","5","Hayden","7/16/21",3,1,0,NA,"Early"
"175",4,37,"2","36","5","3","Hayden","7/16/21",1,3,0,NA,"Early"
"176",4,38,"2","40","5","3","Hayden","7/16/21",3,5,0,NA,"Early"
"177",4,39,"2","18","1","1","Hayden","7/16/21",2,4,0,NA,"Early"
"178",4,40,"2","36","1","4","Hayden","7/16/21",4,0,0,NA,"Early"
"179",4,41,"2","36","1","5","Hayden","7/16/21",1,1,0,NA,"Early"
"180",4,42,"2","2","2","2","Hayden","7/16/21",2,5,0,NA,"Early"
"181",4,43,"2","1","3","5","Hayden","7/16/21",2,1,0,NA,"Early"
"182",4,44,"2","61","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"183",4,45,"2","18","5","2","Hayden","7/16/21",1,3,0,NA,"Early"
"184",4,46,"2","46","4","1","Hayden","7/16/21",1,7,0,NA,"Early"
"185",5,1,"1","77","1","1","Samer","7/16/21",0,1,0,NA,"Early"
"186",5,2,"1","21","5","3","Samer","7/16/21",0,2,0,NA,"Early"
"187",5,3,"1","19","3","5","Samer","7/16/21",2,0,0,NA,"Early"
"188",5,4,"1","56","3","3","Samer","7/16/21",0,0,0,NA,"Early"
"189",5,5,"1","32","1","3","Samer","7/16/21",0,0,0,NA,"Early"
"190",5,6,"1","8","3","5","Samer","7/16/21",0,12,0,NA,"Early"
"191",5,7,"1","11","1","2","Samer","7/16/21",0,0,0,NA,"Early"
"192",5,8,"1","4","5","2","Samer","7/16/21",6,1,0,NA,"Early"
"193",5,9,"1","28","1","3","Samer","7/16/21",0,0,0,NA,"Early"
"194",5,10,"1","29","1","3","Samer","7/16/21",0,0,0,NA,"Early"
"195",5,11,"1","3","2","4","Samer","7/16/21",0,0,0,NA,"Early"
"196",5,12,"1","23","1","5","Samer","7/16/21",0,0,0,NA,"Early"
"197",5,13,"1","21","3","1","Samer","7/16/21",0,3,0,NA,"Early"
"198",5,14,"1","49","2","3","Samer","7/16/21",0,0,0,NA,"Early"
"199",5,15,"1","72","3","5","Samer","7/16/21",0,2,0,NA,"Early"
"200",5,16,"1","47","1","5","Samer","7/16/21",4,3,0,NA,"Early"
"201",5,17,"1","47","3","3","Samer","7/16/21",0,0,0,NA,"Early"
"202",5,18,"1","46","5","3","Samer","7/16/21",2,3,0,NA,"Early"
"203",5,19,"1","21","3","5","Samer","7/16/21",0,0,0,NA,"Early"
"204",5,20,"1","9","1","5","Samer","7/16/21",0,0,0,NA,"Early"
"205",5,21,"1","47","4","5","Samer","7/16/21",0,0,0,NA,"Early"
"206",5,22,"1","13","1","4","Samer","7/16/21",3,2,0,NA,"Early"
"207",5,23,"2","3","4","3","Samer","7/16/21",1,3,0,NA,"Early"
"208",5,24,"2","62","1","1","Samer","7/16/21",0,0,0,NA,"Early"
"209",5,25,"2","12","5","2","Samer","7/16/21",0,0,0,NA,"Early"
"210",5,26,"2","74","2","1","Samer","7/16/21",0,0,0,NA,"Early"
"211",5,27,"2","30","5","2","Samer","7/16/21",1,3,0,NA,"Early"
"212",5,28,"2","79","1","3","Samer","7/16/21",0,2,0,NA,"Early"
"213",5,29,"2","17","1","3","Samer","7/16/21",0,0,0,NA,"Early"
"214",5,30,"2","6","5","4","Samer","7/16/21",0,2,0,NA,"Early"
"215",5,31,"2","77","4","2","Samer","7/16/21",1,0,0,NA,"Early"
"216",5,32,"2","27","5","3","Samer","7/16/21",0,8,0,NA,"Early"
"217",5,33,"2","40","3","1","Samer","7/16/21",0,4,0,NA,"Early"
"218",5,34,"2","67","5","1","Samer","7/16/21",0,0,0,NA,"Early"
"219",5,35,"2","17","5","1","Samer","7/16/21",0,1,0,NA,"Early"
"220",5,36,"2","41","1","5","Samer","7/16/21",0,3,0,NA,"Early"
"221",5,37,"2","8","3","3","Samer","7/16/21",1,3,0,NA,"Early"
"222",5,38,"2","72","4","3","Samer","7/16/21",1,0,0,NA,"Early"
"223",5,39,"2","77","5","1","Samer","7/16/21",0,11,0,NA,"Early"
"224",5,40,"2","14","1","4","Samer","7/16/21",2,2,0,NA,"Early"
"225",5,41,"2","2","1","5","Samer","7/16/21",0,3,0,NA,"Early"
"226",5,42,"2","39","5","3","Samer","7/16/21",2,7,0,NA,"Early"
"227",5,43,"2","36","3","4","Samer","7/16/21",0,4,0,NA,"Early"
"228",5,44,"2","69","1","4","Samer","7/16/21",1,4,0,NA,"Early"
"229",5,45,"2","64","1","2","Samer","7/16/21",2,5,0,NA,"Early"
"230",5,46,"2","29","5","4","Samer","7/16/21",0,0,0,NA,"Early"
"231",6,1,"1","36","4","4","Hayden","7/16/21",0,1,0,NA,"Early"
"232",6,2,"1","61","4","5","Hayden","7/16/21",2,3,0,NA,"Early"
"233",6,3,"1","2","2","3","Hayden","7/16/21",3,18,0,NA,"Early"
"234",6,4,"1","27","3","3","Hayden","7/16/21",0,4,0,NA,"Early"
"235",6,5,"1","11","2","4","Hayden","7/16/21",2,1,0,NA,"Early"
"236",6,6,"1","12","1","4","Hayden","7/16/21",1,0,0,NA,"Early"
"237",6,7,"1","57","5","3","Hayden","7/16/21",0,2,0,NA,"Early"
"238",6,8,"1","7","5","3","Hayden","7/16/21",1,2,0,NA,"Early"
"239",6,9,"1","21","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"240",6,10,"1","49","4","5","Hayden","7/16/21",0,0,0,NA,"Early"
"241",6,11,"1","40","5","5","Hayden","7/16/21",2,0,0,NA,"Early"
"242",6,12,"1","7","5","2","Hayden","7/16/21",0,3,0,NA,"Early"
"243",6,13,"1","46","5","1","Hayden","7/16/21",0,0,0,NA,"Early"
"244",6,14,"1","36","2","5","Hayden","7/16/21",0,0,0,NA,"Early"
"245",6,15,"1","26","1","2","Hayden","7/16/21",0,0,0,NA,"Early"
"246",6,16,"1","51","2","1","Hayden","7/16/21",1,5,0,NA,"Early"
"247",6,17,"1","46","1","3","Hayden","7/16/21",0,0,0,NA,"Early"
"248",6,18,"1","6","2","1","Hayden","7/16/21",0,0,0,NA,"Early"
"249",6,19,"1","19","5","2","Hayden","7/16/21",0,3,0,NA,"Early"
"250",6,20,"1","3","5","1","Hayden","7/16/21",0,2,0,NA,"Early"
"251",6,21,"1","29","4","5","Hayden","7/16/21",0,0,0,NA,"Early"
"252",6,22,"1","79","4","1","Hayden","7/16/21",1,3,0,NA,"Early"
"253",6,23,"2","21","2","2","Hayden","7/16/21",1,0,0,NA,"Early"
"254",6,24,"2","77","4","5","Hayden","7/16/21",0,0,0,NA,"Early"
"255",6,25,"2","72","2","4","Hayden","7/16/21",2,0,0,NA,"Early"
"256",6,26,"2","1","1","3","Hayden","7/16/21",1,3,0,NA,"Early"
"257",6,27,"2","5","5","3","Hayden","7/16/21",2,0,0,NA,"Early"
"258",6,28,"2","36","1","1","Hayden","7/16/21",0,0,0,NA,"Early"
"259",6,29,"2","62","3","4","Hayden","7/16/21",3,0,0,NA,"Early"
"260",6,30,"2","12","5","4","Hayden","7/16/21",0,0,0,NA,"Early"
"261",6,31,"2","18","4","3","Hayden","7/16/21",1,3,0,NA,"Early"
"262",6,32,"2","18","2","1","Hayden","7/16/21",0,0,0,NA,"Early"
"263",6,33,"2","14","1","1","Hayden","7/16/21",0,2,0,NA,"Early"
"264",6,34,"2","57","5","2","Hayden","7/16/21",0,0,0,NA,"Early"
"265",6,35,"2","1","3","4","Hayden","7/16/21",0,1,0,NA,"Early"
"266",6,36,"2","74","2","3","Hayden","7/16/21",2,0,0,NA,"Early"
"267",6,37,"2","17","3","2","Hayden","7/16/21",0,0,0,NA,"Early"
"268",6,38,"2","1","4","5","Hayden","7/16/21",0,2,0,NA,"Early"
"269",6,39,"2","62","4","1","Hayden","7/16/21",2,0,0,NA,"Early"
"270",6,40,"2","17","2","1","Hayden","7/16/21",0,0,0,NA,"Early"
"271",6,41,"2","42","1","2","Hayden","7/16/21",0,0,0,NA,"Early"
"272",6,42,"2","4","3","4","Hayden","7/16/21",0,0,0,NA,"Early"
"273",6,43,"2","79","2","5","Hayden","7/16/21",0,0,0,NA,"Early"
"274",6,44,"2","17","5","2","Hayden","7/16/21",0,0,0,NA,"Early"
"275",6,45,"2","18","2","4","Hayden","7/16/21",0,0,0,NA,"Early"
"276",6,46,"2","7","4","3","Hayden","7/16/21",0,5,0,NA,"Early"
"277",7,1,"1","3","2","5","Hayden","7/16/21",1,0,0,NA,"Early"
"278",7,2,"1","6","2","3","Hayden","7/16/21",0,0,0,NA,"Early"
"279",7,3,"1","7","1","3","Hayden","7/16/21",2,3,0,NA,"Early"
"280",7,4,"1","47","2","2","Hayden","7/16/21",3,4,0,NA,"Early"
"281",7,5,"1","62","1","5","Hayden","7/16/21",1,0,0,NA,"Early"
"282",7,6,"1","64","2","3","Hayden","7/16/21",0,0,0,NA,"Early"
"283",7,7,"1","67","2","1","Hayden","7/16/21",0,0,0,NA,"Early"
"284",7,8,"1","5","5","4","Hayden","7/16/21",2,4,0,NA,"Early"
"285",7,9,"1","39","2","4","Hayden","7/16/21",0,1,0,NA,"Early"
"286",7,10,"1","79","3","4","Hayden","7/16/21",0,0,0,NA,"Early"
"287",7,11,"1","47","4","4","Hayden","7/16/21",1,2,0,NA,"Early"
"288",7,12,"1","4","4","2","Hayden","7/16/21",0,2,0,NA,"Early"
"289",7,13,"1","19","2","2","Hayden","7/16/21",1,3,0,NA,"Early"
"290",7,14,"1","46","5","5","Hayden","7/16/21",0,0,0,NA,"Early"
"291",7,15,"1","7","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"292",7,16,"1","68","1","5","Hayden","7/16/21",1,2,0,NA,"Early"
"293",7,17,"1","5","2","4","Hayden","7/16/21",0,0,0,NA,"Early"
"294",7,18,"1","5","3","2","Hayden","7/16/21",1,1,0,NA,"Early"
"295",7,19,"1","29","1","2","Hayden","7/16/21",1,5,0,NA,"Early"
"296",7,20,"1","79","3","3","Hayden","7/16/21",1,4,0,NA,"Early"
"297",7,21,"1","35","3","2","Hayden","7/16/21",2,0,0,NA,"Early"
"298",7,22,"1","35","4","4","Hayden","7/16/21",1,3,0,NA,"Early"
"299",7,23,"2","14","4","4","Hayden","7/16/21",0,0,0,NA,"Early"
"300",7,24,"2","7","2","3","Hayden","7/16/21",2,0,0,NA,"Early"
"301",7,25,"2","12","2","4","Hayden","7/16/21",0,0,0,NA,"Early"
"302",7,26,"2","67","1","5","Hayden","7/16/21",0,0,0,NA,"Early"
"303",7,27,"2","30","2","4","Hayden","7/16/21",0,0,0,NA,"Early"
"304",7,28,"2","8","2","2","Hayden","7/16/21",2,2,0,NA,"Early"
"305",7,29,"2","39","2","5","Hayden","7/16/21",0,1,0,NA,"Early"
"306",7,30,"2","56","3","5","Hayden","7/16/21",0,0,0,NA,"Early"
"307",7,31,"2","62","2","3","Hayden","7/16/21",2,2,0,NA,"Early"
"308",7,32,"2","5","1","4","Hayden","7/16/21",1,2,0,NA,"Early"
"309",7,33,"2","12","2","2","Hayden","7/16/21",1,4,0,NA,"Early"
"310",7,34,"2","57","4","5","Hayden","7/16/21",0,2,0,NA,"Early"
"311",7,35,"2","62","3","5","Hayden","7/16/21",0,0,0,NA,"Early"
"312",7,36,"2","79","5","1","Hayden","7/16/21",0,0,0,NA,"Early"
"313",7,37,"2","1","1","1","Hayden","7/16/21",2,4,0,NA,"Early"
"314",7,38,"2","64","3","4","Hayden","7/16/21",1,1,0,NA,"Early"
"315",7,39,"2","19","5","3","Hayden","7/16/21",1,4,0,NA,"Early"
"316",7,40,"2","30","4","4","Hayden","7/16/21",1,2,0,NA,"Early"
"317",7,41,"2","16","3","5","Hayden","7/16/21",1,2,0,NA,"Early"
"318",7,42,"2","13","3","1","Hayden","7/16/21",0,0,0,NA,"Early"
"319",7,43,"2","27","4","3","Hayden","7/16/21",0,0,0,NA,"Early"
"320",7,44,"2","11","2","5","Hayden","7/16/21",1,5,0,NA,"Early"
"321",7,45,"2","2","5","4","Hayden","7/16/21",0,2,0,NA,"Early"
"322",7,46,"2","29","5","2","Hayden","7/16/21",0,2,0,NA,"Early"
"323",8,1,"1","9","2","1","Hayden","7/15/21",5,1,0,NA,"Early"
"324",8,2,"1","57","1","2","Hayden","7/15/21",1,3,0,NA,"Early"
"325",8,3,"1","67","3","2","Hayden","7/15/21",1,1,0,NA,"Early"
"326",8,4,"1","21","5","1","Hayden","7/15/21",0,2,0,NA,"Early"
"327",8,5,"1","13","5","4","Hayden","7/15/21",2,0,0,NA,"Early"
"328",8,6,"1","74","1","3","Hayden","7/15/21",0,0,0,NA,"Early"
"329",8,7,"1","17","1","4","Hayden","7/15/21",2,1,0,NA,"Early"
"330",8,8,"1","15","4","4","Hayden","7/15/21",0,0,0,NA,"Early"
"331",8,9,"1","7","3","2","Hayden","7/15/21",0,0,0,NA,"Early"
"332",8,10,"1","12","3","2","Hayden","7/15/21",0,0,0,NA,"Early"
"333",8,11,"1","11","4","5","Hayden","7/15/21",0,0,0,NA,"Early"
"334",8,12,"1","20","5","1","Hayden","7/15/21",0,0,0,NA,"Early"
"335",8,13,"1","72","4","5","Hayden","7/15/21",0,0,0,NA,"Early"
"336",8,14,"1","62","2","5","Hayden","7/15/21",0,0,0,NA,"Early"
"337",8,15,"1","15","1","5","Hayden","7/15/21",0,0,0,NA,"Early"
"338",8,16,"1","14","3","2","Hayden","7/15/21",0,1,0,NA,"Early"
"339",8,17,"1","57","3","2","Hayden","7/15/21",0,0,0,NA,"Early"
"340",8,18,"1","62","1","2","Hayden","7/15/21",0,0,0,NA,"Early"
"341",8,19,"1","47","5","1","Hayden","7/15/21",0,2,0,NA,"Early"
"342",8,20,"1","15","5","1","Hayden","7/15/21",0,2,0,NA,"Early"
"343",8,21,"1","16","2","1","Hayden","7/15/21",0,0,0,NA,"Early"
"344",8,22,"1","29","4","3","Hayden","7/15/21",1,0,0,NA,"Early"
"345",8,23,"2","68","5","2","Hayden","7/15/21",1,0,0,NA,"Early"
"346",8,24,"2","4","2","2","Hayden","7/15/21",0,3,0,NA,"Early"
"347",8,25,"2","46","2","5","Hayden","7/15/21",0,0,0,NA,"Early"
"348",8,26,"2","68","4","1","Hayden","7/15/21",0,2,0,NA,"Early"
"349",8,27,"2","6","3","5","Hayden","7/15/21",2,0,0,NA,"Early"
"350",8,28,"2","7","1","2","Hayden","7/15/21",1,2,0,NA,"Early"
"351",8,29,"2","35","3","5","Hayden","7/15/21",0,0,0,NA,"Early"
"352",8,30,"2","39","3","3","Hayden","7/15/21",3,4,0,NA,"Early"
