Row,Column,Block,Population,Family,Replicate,Date,Weevil_dam_June,Scar_length_mm,Scar_length_mm_nocalculations,Dead
2,43,2,57,1,4,7/31/2020,0,17.55,17.55,0
2,44,2,15,2,3,7/31/2020,0,0,0,0
2,45,2,79,5,2,7/31/2020,0,3.16,3.16,0
2,46,2,17,5,4,7/31/2020,0,0,0,0
3,1,1,12,5,1,7/31/2020,1,4.96,4.96,0
3,2,1,68,3,4,7/31/2020,1,13.55,13.55,0
3,3,1,14,5,1,7/31/2020,2,66.21,66.21,0
3,4,1,9,2,2,7/31/2020,1,12.91,12.91,0
3,5,1,13,5,5,7/31/2020,0,0,0,0
3,6,1,1,1,2,7/31/2020,0,0,0,0
3,7,1,68,3,5,7/31/2020,0,3.88,3.88,0
3,8,1,15,4,1,7/31/2020,0,6.92,6.92,0
3,9,1,4,3,5,7/31/2020,1,4.94,4.94,0
3,10,1,2,5,3,7/31/2020,0,0,0,0
3,11,1,49,3,4,7/31/2020,1,11.06,11.06,0
3,12,1,15,2,4,7/31/2020,2,7.79,7.79,0
3,13,1,39,2,2,7/31/2020,0,0,0,0
3,14,1,2,2,5,7/31/2020,0,5.26,5.26,0
3,15,1,64,3,2,7/31/2020,0,0,0,0
3,16,1,31,2,2,7/31/2020,0,58.63,58.63,0
3,17,1,8,2,5,7/31/2020,3,100.47,100.47,0
3,18,1,17,1,1,7/31/2020,3,225.97,225.97,0
3,19,1,18,1,4,7/31/2020,2,22.24,22.24,0
3,20,1,36,2,2,7/31/2020,0,0,0,0
3,21,1,7,3,1,7/31/2020,2,30.89,30.89,0
3,22,1,69,2,1,7/31/2020,0,0,0,0
3,23,1,30,5,4,7/31/2020,0,0,0,0
3,24,2,4,4,5,7/31/2020,1,17.32,17.32,0
3,25,2,16,3,4,7/31/2020,1,12.44,12.44,0
3,26,2,62,3,1,7/31/2020,0,0,0,0
3,27,2,39,4,2,7/31/2020,1,12.54,12.54,0
3,28,2,77,3,2,7/31/2020,2,10.3,10.3,0
3,29,2,4,4,4,7/31/2020,1,0,0,0
3,30,2,72,1,3,7/31/2020,0,0,0,0
3,31,2,56,4,4,7/31/2020,1,13.34,13.34,0
3,32,2,36,3,5,7/31/2020,0,0,0,1
3,33,2,21,2,5,7/31/2020,0,0,0,0
3,34,2,31,1,3,7/31/2020,0,0,0,0
3,35,2,77,5,5,7/31/2020,0,0,0,0
3,36,2,72,2,3,7/31/2020,0,0,0,0
3,37,2,56,2,1,7/31/2020,0,0,0,0
3,38,2,46,2,3,7/31/2020,0,0,0,0
3,39,2,49,5,3,7/31/2020,0,0,0,0
3,40,2,12,5,3,7/31/2020,2,273.5,273.5,0
3,41,2,67,4,3,7/31/2020,1,0,0,0
3,42,2,46,2,2,7/31/2020,5,92.78,92.78,0
3,43,2,40,5,2,7/31/2020,3,45.68,45.68,0
3,44,2,67,2,5,7/31/2020,0,0,0,0
3,45,2,1,1,5,7/31/2020,3,53.43,53.43,0
3,46,2,19,1,1,7/31/2020,0,0,0,0
4,1,1,21,4,1,7/31/2020,2,169.61,169.61,0
4,2,1,79,2,1,7/31/2020,0,0,0,0
4,3,1,12,4,1,7/31/2020,0,0,0,0
4,4,1,47,3,5,7/31/2020,0,0,0,0
4,5,1,47,1,1,7/31/2020,0,0,0,0
4,6,1,21,2,3,7/31/2020,0,0,0,0
4,7,1,1,2,1,7/31/2020,0,0,0,0
4,8,1,1,2,2,7/31/2020,0,0,0,0
4,9,1,30,4,3,7/31/2020,0,0,0,0
4,10,1,61,5,1,7/31/2020,0,0,0,1
4,11,1,1,4,1,7/31/2020,0,0,0,0
4,12,1,6,4,5,7/31/2020,0,0,0,1
4,13,1,17,4,4,7/31/2020,2,30.38,30.38,0
4,14,1,79,4,4,7/31/2020,1,0,0,0
4,15,1,36,2,1,7/31/2020,1,27.52,27.52,0
4,16,1,4,1,1,7/31/2020,1,32.38,32.38,0
4,17,1,56,4,2,7/31/2020,2,30.56,30.56,0
4,18,1,67,1,4,7/31/2020,2,66.7,66.7,0
4,19,1,2,3,1,7/31/2020,2,27.13,27.13,0
4,20,1,8,1,1,7/31/2020,3,127.21,127.21,0
4,21,1,72,5,5,7/31/2020,2,46.92,46.92,0
4,22,1,12,4,4,7/31/2020,0,0,0,1
4,23,1,74,2,5,7/31/2020,4,63.67,63.67,0
4,24,2,77,1,4,7/31/2020,2,5.02,5.02,0
4,25,2,15,2,5,7/31/2020,1,21.77,21.77,0
4,26,2,56,2,3,7/31/2020,2,70.98,70.98,0
4,27,2,32,1,2,7/31/2020,2,147.3,147.3,0
4,28,2,68,4,3,7/31/2020,0,7.8,7.8,0
4,29,2,23,1,2,7/31/2020,1,35.31,35.31,0
4,30,2,4,1,4,7/31/2020,2,42.76,42.76,0
4,31,2,6,3,1,7/31/2020,0,0,0,0
4,32,2,72,5,3,7/31/2020,0,0,0,0
4,33,2,4,3,2,7/31/2020,0,0,0,0
4,34,2,51,4,3,7/31/2020,2,80.17,80.17,0
4,35,2,20,3,2,7/31/2020,0,0,0,1
4,36,2,7,5,5,7/31/2020,0,0,0,0
4,37,2,36,5,3,7/31/2020,0,0,0,0
4,38,2,40,5,3,7/31/2020,1,0,0,0
4,39,2,18,1,1,7/31/2020,2,184.05,184.05,0
4,40,2,36,1,4,7/31/2020,7,184.44,184.44,0
4,42,2,2,2,2,7/31/2020,1,288.41,288.41,0
4,41,2,36,1,5,7/31/2020,4,11.98,11.98,0
4,43,2,1,3,5,7/31/2020,0,0,0,0
4,44,2,61,4,4,7/31/2020,0,19.04,19.04,0
4,45,2,18,5,2,7/31/2020,0,0,0,0
4,46,2,46,4,1,7/31/2020,0,0,0,0
5,1,1,77,1,1,7/31/2020,1,18.08,18.08,0
5,2,1,21,5,3,7/31/2020,1,0,0,0
5,3,1,19,3,5,7/31/2020,0,0,0,0
5,4,1,56,3,3,7/31/2020,0,0,0,1
5,5,1,32,1,3,7/31/2020,1,23.84,23.84,0
5,6,1,8,3,5,7/31/2020,1,90.03,90.03,0
5,7,1,11,1,2,7/31/2020,1,5.26,5.26,0
5,8,1,4,5,2,7/31/2020,0,0,0,0
5,9,1,28,1,3,7/31/2020,0,0,0,1
5,10,1,29,1,3,7/31/2020,1,14.18,14.18,0
5,11,1,3,2,4,7/31/2020,1,0,0,0
5,12,1,23,1,5,7/31/2020,0,0,0,0
5,13,1,21,3,1,7/31/2020,2,38.18,38.18,0
5,14,1,49,2,3,7/31/2020,0,0,0,0
5,15,1,72,3,5,7/31/2020,0,0,0,0
5,16,1,47,1,5,7/31/2020,0,0,0,0
5,17,1,47,3,3,7/31/2020,2,66.82,66.82,0
5,18,1,46,5,3,7/31/2020,0,0,0,0
5,19,1,21,3,5,7/31/2020,0,29.37,29.37,0
5,20,1,9,1,5,7/31/2020,1,26.89,26.89,0
5,21,1,47,4,5,7/31/2020,1,4.18,4.18,0
5,22,1,13,1,4,7/31/2020,0,0,0,0
5,23,2,3,4,3,7/31/2020,0,0,0,0
5,24,2,62,1,1,7/31/2020,0,0,0,0
5,25,2,12,5,2,7/31/2020,0,0,0,0
5,26,2,74,2,1,7/31/2020,0,0,0,0
5,27,2,30,5,2,7/31/2020,0,0,0,0
5,28,2,79,1,3,7/31/2020,0,6.88,6.88,0
5,29,2,17,1,3,7/31/2020,1,0,0,0
5,30,2,6,5,4,7/31/2020,2,35.46,35.46,0
5,31,2,77,4,2,7/31/2020,3,195.13,195.13,0
5,32,2,27,5,3,7/31/2020,0,157.83,157.83,0
5,33,2,40,3,1,7/31/2020,2,52.72,52.72,0
5,34,2,67,5,1,7/31/2020,0,0,0,0
5,35,2,17,5,1,7/31/2020,2,49.15,49.15,0
5,36,2,41,1,5,7/31/2020,0,0,0,0
5,37,2,8,3,3,7/31/2020,0,0,0,0
5,38,2,72,4,3,7/31/2020,0,0,0,0
5,39,2,77,5,1,7/31/2020,0,0,0,0
5,40,2,14,1,4,7/31/2020,2,38.65,38.65,0
5,41,2,2,1,5,7/31/2020,0,0,0,0
5,42,2,39,5,3,7/31/2020,2,37.19,37.19,0
5,43,2,36,3,4,7/31/2020,3,270.77,270.77,0
5,44,2,69,1,4,7/31/2020,0,0,0,0
5,45,2,64,1,2,7/31/2020,0,0,0,0
5,46,2,29,5,4,7/31/2020,0,0,0,0
6,1,1,36,4,4,7/31/2020,0,0,0,0
6,2,1,61,4,5,7/31/2020,0,0,0,0
6,3,1,2,2,3,7/31/2020,0,0,0,0
6,4,1,27,3,3,7/31/2020,3,57.81,57.81,0
6,5,1,11,2,4,7/31/2020,2,84.29,84.29,0
6,6,1,12,1,4,7/31/2020,1,0,0,0
6,7,1,57,5,3,7/31/2020,0,0,0,0
6,8,1,7,5,3,7/31/2020,3,118.43,118.43,0
6,9,1,21,4,4,7/31/2020,4,182.59,182.59,0
6,10,1,49,4,5,7/31/2020,0,0,0,0
6,11,1,40,5,5,7/31/2020,1,8.53,8.53,0
6,12,1,7,5,2,7/31/2020,0,136.41,136.41,0
6,13,1,46,5,1,7/31/2020,0,0,0,0
6,14,1,36,2,5,7/31/2020,1,5.25,5.25,0
6,15,1,26,1,2,7/31/2020,1,7.86,7.86,0
6,16,1,51,2,1,7/31/2020,2,24.06,24.06,0
6,17,1,46,1,3,7/31/2020,0,0,0,1
6,18,1,6,2,1,7/31/2020,0,0,0,1
6,19,1,19,5,2,7/31/2020,1,18.47,18.47,0
6,20,1,3,5,1,7/31/2020,0,15.19,15.19,0
6,21,1,29,4,5,7/31/2020,0,0,0,1
6,22,1,79,4,1,7/31/2020,1,93.99,93.99,0
6,23,2,21,2,2,7/31/2020,0,15.13,15.13,0
6,24,2,77,4,5,7/31/2020,0,0,0,0
6,25,2,72,2,4,7/31/2020,0,0,0,0
6,26,2,1,1,3,7/31/2020,1,20.34,20.34,0
6,27,2,5,5,3,7/31/2020,0,0,0,0
6,28,2,36,1,1,7/31/2020,1,67.88,67.88,0
6,29,2,62,3,4,7/31/2020,0,0,0,0
6,30,2,12,5,4,7/31/2020,1,24.26,24.26,0
6,31,2,18,4,3,7/31/2020,0,0,0,0
6,32,2,18,2,1,7/31/2020,0,0,0,0
6,33,2,14,1,1,7/31/2020,2,41.91,41.91,0
6,34,2,57,5,2,7/31/2020,0,0,0,1
6,35,2,1,3,4,7/31/2020,0,0,0,0
6,36,2,74,2,3,7/31/2020,2,20.28,20.28,0
6,37,2,17,3,2,7/31/2020,0,0,0,0
6,38,2,1,4,5,7/31/2020,0,0,0,0
6,39,2,62,4,1,7/31/2020,4,91.81,91.81,0
6,40,2,17,2,1,7/31/2020,5,89.29,89.29,0
6,41,2,42,1,2,7/31/2020,0,0,0,0
6,42,2,4,3,4,7/31/2020,0,0,0,1
6,43,2,79,2,5,7/31/2020,1,34.31,34.31,0
6,44,2,17,5,2,7/31/2020,1,4.21,4.21,0
6,45,2,18,2,4,7/31/2020,0,0,0,0
6,46,2,7,4,3,7/31/2020,1,16.82,16.82,0
7,1,1,3,2,5,7/31/2020,2,58.08,58.08,0
7,2,1,6,2,3,7/31/2020,0,0,0,1
7,3,1,7,1,3,7/31/2020,1,2.49,2.49,0
7,4,1,47,2,2,7/31/2020,0,0,0,0
7,5,1,62,1,5,7/31/2020,0,0,0,0
7,6,1,64,2,3,7/31/2020,0,0,0,1
7,7,1,67,2,1,7/31/2020,1,0,0,0
7,8,1,5,5,4,7/31/2020,1,137.1,137.1,0
7,9,1,39,2,4,7/31/2020,2,5.41,5.41,0
7,10,1,79,3,4,7/31/2020,0,0,0,0
7,11,1,47,4,4,7/31/2020,1,69.03,69.03,0
7,12,1,4,4,2,7/31/2020,1,19.77,19.77,0
7,13,1,19,2,2,7/31/2020,0,0,0,0
7,14,1,46,5,5,7/31/2020,0,0,0,0
7,15,1,7,4,4,7/31/2020,0,0,0,0
7,16,1,68,1,5,7/31/2020,0,3.1,3.1,0
7,17,1,5,2,4,7/31/2020,0,0,0,0
7,18,1,5,3,2,7/31/2020,1,30.08,30.08,0
7,19,1,29,1,2,7/31/2020,0,0,0,0
7,20,1,79,3,3,7/31/2020,3,39.94,39.94,0
7,21,1,35,3,2,7/31/2020,2,34.41,34.41,0
7,22,1,35,4,4,7/31/2020,2,51.51,51.51,0
7,23,2,14,4,4,7/31/2020,0,0,0,1
7,24,2,7,2,3,7/31/2020,3,39.67,39.67,0
7,25,2,12,2,4,7/31/2020,0,0,0,0
7,26,2,67,1,5,7/31/2020,2,20.61,20.61,0
7,27,2,30,2,4,7/31/2020,3,61.55,61.55,0
7,28,2,8,2,2,7/31/2020,0,0,0,0
7,29,2,39,2,5,7/31/2020,0,4.51,4.51,0
7,30,2,56,3,5,7/31/2020,2,0,0,0
7,31,2,62,2,3,7/31/2020,0,0,0,0
7,32,2,5,1,4,7/31/2020,0,0,0,1
7,33,2,12,2,2,7/31/2020,4,215.42,215.42,0
7,34,2,57,4,5,7/31/2020,1,37.02,37.02,0
7,35,2,62,3,5,7/31/2020,0,0,0,1
7,36,2,79,5,1,7/31/2020,0,0,0,0
7,37,2,1,1,1,7/31/2020,0,0,0,0
7,38,2,64,3,4,7/31/2020,0,0,0,0
7,39,2,19,5,3,7/31/2020,0,5.8,5.8,0
7,40,2,30,4,4,7/31/2020,0,9.63,9.63,0
7,41,2,16,3,5,7/31/2020,3,491.07,491.07,0
7,42,2,13,3,1,7/31/2020,0,0,0,1
7,43,2,27,4,3,7/31/2020,0,0,0,1
7,44,2,11,2,5,7/31/2020,1,0,0,0
7,45,2,2,5,4,7/31/2020,2,1.06,1.06,0
7,46,2,29,5,2,7/31/2020,1,16.37,16.37,0
8,1,1,9,2,1,7/31/2020,0,0,0,0
8,2,1,57,1,2,7/31/2020,0,0,0,0
8,3,1,67,3,2,7/31/2020,1,25.08,25.08,0
8,4,1,21,5,1,7/31/2020,0,0,0,0
8,5,1,13,5,4,7/31/2020,2,242.41,242.41,0
8,6,1,74,1,3,7/31/2020,2,49.5,49.5,0
8,7,1,17,1,4,7/31/2020,5,48.26,48.26,0
8,8,1,15,4,4,7/31/2020,2,55.99,55.99,0
8,9,1,7,3,2,7/31/2020,0,0,0,0
8,10,1,12,3,2,7/31/2020,0,6.59,6.59,0
8,11,1,11,4,5,7/31/2020,1,116.87,116.87,0
8,12,1,20,5,1,7/31/2020,2,49.84,49.84,0
8,13,1,72,4,5,7/31/2020,1,0,0,0
8,14,1,62,2,5,7/31/2020,0,10.51,10.51,0
8,15,1,15,1,5,7/31/2020,1,55.4,55.4,0
8,16,1,14,3,2,7/31/2020,0,0,0,0
8,17,1,57,3,2,7/31/2020,2,41.27,41.27,0
8,18,1,62,1,2,7/31/2020,2,91.9,91.9,0
8,19,1,47,5,1,7/31/2020,0,0,0,0
8,20,1,15,5,1,7/31/2020,1,0,0,0
8,21,1,16,2,1,7/31/2020,1,41.53,41.53,0
8,22,1,29,4,3,7/31/2020,1,10.03,10.03,0
8,23,2,68,5,2,7/31/2020,1,18.24,18.24,0
8,24,2,4,2,2,7/31/2020,0,0,0,0
8,25,2,46,2,5,7/31/2020,1,22.17,22.17,0
8,26,2,68,4,1,7/31/2020,2,57.25,57.25,0
8,27,2,6,3,5,7/31/2020,0,0,0,0
8,28,2,7,1,2,7/31/2020,1,6.97,6.97,0
8,29,2,35,3,5,7/31/2020,0,0,0,0
8,30,2,39,3,3,7/31/2020,2,112.13,112.13,0
8,31,2,62,4,4,7/31/2020,3,194.7,194.7,0
8,32,2,4,3,3,7/31/2020,1,26.59,26.59,0
8,33,2,21,1,2,7/31/2020,0,0,0,0
8,34,2,77,4,3,7/31/2020,1,104.73,104.73,0
8,35,2,17,4,2,7/31/2020,0,0,0,0
8,36,2,27,5,2,7/31/2020,0,0,0,0
8,37,2,26,1,1,7/31/2020,0,0,0,0
8,38,2,17,3,1,7/31/2020,3,130.15,130.15,0
8,39,2,5,4,1,7/31/2020,4,33.31,33.31,0
8,40,2,39,3,5,7/31/2020,2,45.2,45.2,0
8,41,2,64,2,2,7/31/2020,0,0,0,0
8,42,2,64,3,3,7/31/2020,0,0,0,0
8,43,2,39,4,1,7/31/2020,3,188.91,188.91,0
8,44,2,62,1,3,7/31/2020,0,0,0,0
8,45,2,67,2,2,7/31/2020,0,0,0,0
8,46,2,67,5,3,7/31/2020,0,0,0,1
9,1,1,28,1,5,7/31/2020,0,0,0,0
9,2,1,4,3,1,7/31/2020,0,0,0,0
9,3,1,12,3,1,7/31/2020,0,0,0,1
9,4,1,27,4,1,7/31/2020,0,0,0,0
9,5,1,1,4,3,7/31/2020,1,40.91,40.91,0
9,6,1,49,5,5,7/31/2020,3,178.65,178.65,0
9,7,1,39,3,4,7/31/2020,0,0,0,0
9,8,1,77,3,1,7/31/2020,3,42.21,42.21,0
9,9,1,3,2,2,7/31/2020,0,8.04,8.04,0
9,10,1,69,2,4,7/31/2020,0,0,0,1
9,11,1,17,2,5,7/31/2020,1,0,0,0
9,12,1,51,4,2,7/31/2020,0,0,0,0
9,13,1,79,1,1,7/31/2020,0,49.7,49.7,0
9,14,1,5,5,5,7/31/2020,0,0,0,1
9,15,1,13,5,2,7/31/2020,0,0,0,0
9,16,1,30,5,3,7/31/2020,3,62.43,62.43,0
9,17,1,39,3,2,7/31/2020,0,1.33,1.33,0
9,18,1,20,1,2,7/29/2020,0,0,0,1
9,19,1,72,3,1,7/29/2020,2,68.26,68.26,0
9,20,1,7,3,3,7/29/2020,3,73.54,73.54,0
9,21,1,79,4,2,7/29/2020,2,85.98,85.98,0
9,22,1,15,3,5,7/29/2020,0,0,0,1
9,23,2,45,2,1,7/29/2020,0,0,0,0
9,24,2,27,4,5,7/29/2020,0,2.91,2.91,0
9,25,2,64,5,3,7/29/2020,1,28.68,28.68,0
9,26,2,77,1,2,7/29/2020,1,37.74,37.74,0
9,27,2,64,2,4,7/29/2020,0,0,0,1
9,28,2,7,3,5,7/29/2020,1,11.68,11.68,0
9,29,2,35,4,1,7/29/2020,3,93.85,93.85,0
9,30,2,36,4,1,7/29/2020,0,0,0,0
9,31,2,45,2,4,7/29/2020,2,70.92,70.92,0
9,32,2,15,3,1,7/29/2020,1,212.04,212.04,0
9,33,2,77,5,3,7/29/2020,2,99.41,99.41,0
9,34,2,36,3,1,7/29/2020,0,0,0,1
9,35,2,49,3,1,7/29/2020,2,53.01,53.01,0
9,36,2,39,5,2,7/29/2020,0,0,0,0
9,37,2,6,4,4,7/29/2020,1,63.25,63.25,0
9,38,2,57,5,4,7/29/2020,0,0,0,0
9,39,2,15,5,4,7/29/2020,1,11.47,11.47,0
9,40,2,62,5,5,7/29/2020,2,169.07,169.07,0
9,41,2,17,3,5,7/29/2020,3,137.22,137.22,0
9,42,2,47,5,4,7/29/2020,0,0,0,0
9,43,2,35,2,2,7/29/2020,1,3.48,3.48,0
9,44,2,5,2,3,7/29/2020,0,0,0,0
9,45,2,72,3,4,7/29/2020,0,0,0,0
9,46,2,1,1,4,7/29/2020,1,74.34,74.34,0
10,1,1,14,4,5,7/29/2020,0,0,0,0
10,2,1,62,4,5,7/29/2020,2,17.07,17.07,0
10,3,1,79,3,1,7/29/2020,2,201.78,201.78,0
10,4,1,56,4,1,7/29/2020,0,0,0,0
10,5,1,1,5,2,7/29/2020,0,13.52,13.52,0
10,6,1,62,4,2,7/29/2020,0,13.32,13.32,0
10,7,1,7,3,4,7/29/2020,0,0,0,1
10,8,1,42,1,1,7/29/2020,2,39.92,39.92,0
10,9,1,69,1,2,7/29/2020,0,0,0,0
10,10,1,67,4,5,7/29/2020,2,71.84,71.84,0
10,11,1,16,3,3,7/29/2020,1,52.7,52.7,0
10,12,1,72,4,4,7/29/2020,1,0,0,0
10,13,1,12,3,4,7/29/2020,1,21.64,21.64,0
10,14,1,42,2,1,7/29/2020,0,0,0,0
10,15,1,61,3,3,7/29/2020,1,32.59,32.59,0
10,16,1,23,1,4,7/29/2020,3,34.38,34.38,0
10,17,1,17,5,3,7/29/2020,1,26.37,26.37,0
10,18,1,72,1,5,7/29/2020,0,52.44,52.44,0
10,19,1,9,2,4,7/29/2020,1,28.81,28.81,0
10,20,1,31,2,1,7/29/2020,3,44.93,44.93,0
10,21,1,47,5,2,7/29/2020,0,0,0,1
10,22,1,46,1,1,7/29/2020,1,78.37,78.37,0
10,23,1,31,3,3,7/29/2020,0,34.04,34.04,0
10,24,2,5,3,5,7/29/2020,0,17.77,17.77,0
10,25,2,14,1,3,7/29/2020,5,169.72,169.72,0
10,26,2,3,5,4,7/29/2020,2,55.54,55.54,0
10,27,2,30,3,3,7/29/2020,3,72.24,72.24,0
10,28,2,61,4,1,7/29/2020,2,80.07,80.07,0
10,29,2,31,5,2,7/29/2020,1,0,0,0
10,30,2,41,2,4,7/29/2020,0,0,0,0
10,31,2,47,4,1,7/29/2020,1,95.44,95.44,0
10,32,2,16,1,2,7/29/2020,0,0,0,1
10,33,2,28,4,5,7/29/2020,2,58.49,58.49,0
10,34,2,5,5,2,7/29/2020,2,18.6,18.6,0
10,35,2,56,2,4,7/29/2020,0,0,0,0
10,36,2,72,5,1,7/29/2020,1,52.99,52.99,0
10,37,2,57,1,1,7/29/2020,2,137.06,137.06,0
10,38,2,57,1,3,7/29/2020,0,0,0,0
10,39,2,79,3,5,7/29/2020,0,0,0,0
10,40,2,68,4,4,7/29/2020,0,0,0,0
10,41,4,15,2,1,7/29/2020,2,0,0,0
10,42,4,5,4,4,7/29/2020,0,0,0,0
10,43,4,32,1,4,7/29/2020,0,0,0,1
10,44,4,61,1,1,7/29/2020,0,0,0,0
10,45,4,31,3,2,7/29/2020,0,0,0,0
10,46,4,47,4,2,7/29/2020,0,0,0,0
11,1,1,64,1,1,7/29/2020,2,128.43,128.43,0
11,2,1,3,4,1,7/29/2020,2,102.17,102.17,0
11,3,1,11,1,3,7/29/2020,2,127.16,127.16,0
11,4,1,11,3,2,7/29/2020,0,0,0,0
