"","Population","Row","Column","Block","Family","Replicate","Herbivory_mean_late","Herbivory_mean_early","Year","Patch_ID","Latitude","Longitude","Transect_ID","City_dist","Urb_score","Deer_damage_DC3","Exposed_rhizome_DC1","Herbivory_early","Herbivory_late","Urb_Rur"
"32","2",16,24,3,"3","2",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"33","2",21,4,3,"1","4",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"34","2",16,28,4,"4","2",0.192,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"35","2",14,31,4,"1","3",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"36","2",5,41,2,"1","5",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"37","2",20,44,4,"3","5",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,1,0,NA,NA,NA
"38","2",19,1,3,"2","1",0.012,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"39","2",20,1,3,"3","4",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"40","2",2,28,2,"5","5",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"41","2",3,14,1,"2","5",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"42","2",3,10,1,"5","3",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"43","2",18,6,3,"3","3",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"44","2",4,42,2,"2","2",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"45","2",11,9,1,"1","2",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"46","2",11,20,1,"4","5",0,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,0,NA,NA,NA
"47","2",6,3,1,"2","3",0.004,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"48","2",2,12,1,"1","1",NA,NA,"2019","AS002",43.550225,-79.654062,"South",24.987050922191,0.0619652,0,1,NA,NA,NA
"49","3",6,20,1,"5","1",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"50","3",9,9,1,"2","2",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"51","3",10,26,2,"5","4",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"52","3",18,45,4,"1","1",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"53","3",5,11,1,"2","4",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"54","3",5,23,2,"4","3",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"55","3",17,7,3,"4","5",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,1,0,NA,NA,NA
"56","3",21,38,4,"3","3",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"57","3",16,43,4,"2","3",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"58","3",21,43,4,"4","2",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"59","3",1,22,1,"3","5",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"60","3",11,2,1,"4","1",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"61","3",18,10,3,"5","2",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"62","3",20,40,4,"5","3",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"63","3",15,44,4,"2","1",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"64","3",16,37,4,"3","1",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"65","3",7,1,1,"2","5",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"66","3",15,42,4,"3","4",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"67","3",18,41,4,"5","5",NA,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,0,NA,NA,NA
"68","3",20,13,3,"4","4",0,NA,"2019","AS003",43.565106,-79.671002,"South",25.4917782859607,-0.5488855,0,1,NA,NA,NA
"69","4",11,30,4,"4","1",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"70","4",9,2,1,"3","1",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"71","4",3,29,2,"4","4",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"72","4",16,20,3,"2","3",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"73","4",4,16,1,"1","1",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"74","4",18,9,3,"4","3",0.276,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"75","4",4,33,2,"3","2",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"76","4",14,6,3,"1","5",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,1,NA,NA,NA
"77","4",4,30,2,"1","4",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"78","4",1,42,2,"1","3",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"79","4",8,32,2,"3","3",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"80","4",15,1,3,"5","4",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"81","4",2,35,2,"1","2",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,1,NA,NA,NA
"82","4",7,12,1,"4","2",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"83","4",3,9,1,"3","5",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"84","4",15,33,4,"5","1",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"85","4",11,37,4,"2","1",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"86","4",19,4,3,"2","5",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,0,NA,NA,NA
"87","4",3,24,2,"4","5",NA,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,1,NA,NA,NA
"88","4",5,8,1,"5","2",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,1,NA,NA,NA
"89","4",8,24,2,"2","2",0,NA,"2019","AS005",43.567334,-79.686386,"South",26.5396859866781,-0.9282644,0,1,NA,NA,NA
"90","5",16,17,3,"4","5",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,1,0,NA,NA,NA
"91","5",18,1,3,"1","2",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"92","5",15,37,4,"1","1",0.05,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"93","5",6,27,2,"5","3",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"94","5",10,24,2,"3","5",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"95","5",10,34,2,"5","2",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"96","5",20,19,3,"3","1",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"97","5",1,29,2,"2","2",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,1,NA,NA,NA
"98","5",17,35,4,"3","4",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"99","5",13,39,4,"1","3",0.036,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"100","5",8,39,2,"4","1",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"101","5",17,44,4,"4","2",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"102","5",14,45,4,"1","5",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,1,NA,NA,NA
"103","5",7,17,1,"2","4",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"104","5",18,32,4,"3","3",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"105","5",9,44,2,"2","3",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"106","5",14,34,4,"4","3",NA,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"107","5",20,28,4,"2","5",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"108","5",17,29,4,"5","1",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"109","5",7,18,1,"3","2",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"110","5",16,12,3,"2","1",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,1,0,NA,NA,NA
"111","5",10,42,4,"4","4",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"112","5",7,8,1,"5","4",0,NA,"2019","AS010",43.493329,-79.747541,"Rural",34.6919910922074,-2.80108,0,0,NA,NA,NA
"113","6",2,38,2,"1","3",0.006,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"114","6",9,37,2,"4","4",0.228,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"115","6",19,23,3,"1","4",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,1,NA,NA,NA
"116","6",21,22,3,"5","1",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"117","6",13,35,4,"5","3",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,1,NA,NA,NA
"118","6",4,12,1,"4","5",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"119","6",20,17,3,"1","5",0.322,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"120","6",14,27,4,"5","2",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"121","6",21,30,4,"4","1",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"122","6",11,40,4,"3","4",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"123","6",2,18,1,"4","2",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"124","6",7,2,1,"2","3",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,1,NA,NA,NA
"125","6",2,2,1,"2","5",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"126","6",1,46,2,"2","4",0.014,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,1,NA,NA,NA
"127","6",4,31,2,"3","1",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"128","6",6,18,1,"2","1",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"129","6",18,27,4,"3","2",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"130","6",12,27,4,"1","2",0,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"131","6",5,30,2,"5","4",0.006,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,1,0,NA,NA,NA
"132","6",8,27,2,"3","5",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,1,NA,NA,NA
"133","6",19,17,3,"3","3",NA,NA,"2019","AS014",43.438669,-79.780878,"Rural",40.3551125073074,-0.431062,0,0,NA,NA,NA
"134","7",3,21,1,"3","1",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"135","7",7,24,2,"2","3",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"136","7",16,16,3,"5","4",0.96,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"137","7",7,15,1,"4","4",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"138","7",10,7,1,"3","4",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"139","7",15,22,3,"4","1",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"140","7",8,28,2,"1","2",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"141","7",19,30,4,"2","1",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"142","7",17,37,4,"2","5",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"143","7",13,30,4,"5","1",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,1,1,NA,NA,NA
"144","7",4,36,2,"5","5",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"145","7",9,28,2,"3","5",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"146","7",6,8,1,"5","3",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"147","7",18,19,3,"4","5",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"148","7",1,19,1,"2","2",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"149","7",21,34,4,"1","4",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"150","7",9,20,1,"3","3",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"151","7",6,46,2,"4","3",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"152","7",1,39,2,"4","2",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"153","7",6,12,1,"5","2",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"154","7",12,1,3,"1","1",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"155","7",14,8,3,"1","5",NA,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"156","7",8,9,1,"3","2",0,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,1,NA,NA,NA
"157","7",7,3,1,"1","3",0.12,NA,"2019","AS017",43.434493,-79.904435,"Rural",48.9308160490192,-3.0900825,0,0,NA,NA,NA
"158","8",12,17,3,"1","2",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"159","8",1,40,2,"1","4",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"160","8",21,2,3,"3","1",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"161","8",20,24,3,"3","4",0.166,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"162","8",19,26,4,"1","5",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"163","8",21,7,3,"2","4",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,1,1,NA,NA,NA
"164","8",5,6,1,"3","5",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"165","8",3,17,1,"2","5",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,1,NA,NA,NA
"166","8",5,37,2,"3","3",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"167","8",4,20,1,"1","1",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"168","8",21,28,4,"2","3",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,1,NA,NA,NA
"169","8",7,28,2,"2","2",NA,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,0,0,NA,NA,NA
"170","8",15,10,3,"3","2",0,NA,"2019","AS021",43.457451,-79.866815,"Rural",45.0190640911002,-1.67951,1,1,NA,NA,NA
"171","9",12,7,3,"1","4",0.024,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,1,0,NA,NA,NA
"172","9",5,20,1,"1","5",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"173","9",2,19,1,"1","3",0,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"174","9",10,19,1,"2","4",0,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"175","9",13,38,4,"2","5",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"176","9",19,42,4,"2","3",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"177","9",15,40,4,"1","1",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"178","9",3,4,1,"2","2",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"179","9",11,22,1,"1","2",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"180","9",8,1,1,"2","1",NA,NA,"2019","AS022",43.516263,-79.77922,"Rural",35.701894221116,-2.37356,0,0,NA,NA,NA
"181","11",20,20,3,"2","2",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
"182","11",11,3,1,"1","3",0,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,0,NA,NA,NA
"183","11",5,7,1,"1","2",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,0,NA,NA,NA
"184","11",15,34,4,"3","4",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,0,NA,NA,NA
"185","11",1,24,2,"3","5",0,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,0,NA,NA,NA
"186","11",6,5,1,"2","4",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,0,NA,NA,NA
"187","11",13,24,3,"2","3",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
"188","11",7,44,2,"2","5",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
"189","11",18,17,3,"1","5",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
"190","11",13,28,4,"1","1",NA,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
"191","11",17,13,3,"2","1",0,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,1,1,NA,NA,NA
"192","11",21,45,4,"3","3",0.28,NA,"2019","AS024",43.589594,-79.638468,"South",22.044809923962,2.10156,0,1,NA,NA,NA
