Row,Column,Block,Population,Family,Replicate,Comment,Date,Dead,Leaf_not_coll,Extra_leaf_for_DNA_Needed,Date_weighed_Soaked,Leaf_weight_g_Soaked,Photographed,Date_processed_ImageJ,Area_mm_sq,Length_mm,Width_mm,Len_div_wid,Comment,Dates_dried,Date_weighed_dried,Leaf_weight_g_Dried,Weighed_by,SLA,LDMC
1,26,2,40,3,4,,,0,,1,8/6/2020,0.0637,yes,20200909,346.217,35.85,13.93,2.5736,,6/1/21-6/3/21,6/3/2021,0.0122,Olivia,28.37844262,0.191522763
1,27,2,67,3,5,,,0,,,8/6/2020,1.0561,yes,20200909,2960.76,106.8,37,2.8865,,6/1/21-6/3/21,6/3/2021,0.2083,Olivia,14.21392223,0.19723511
1,28,2,13,3,4,,,1,,1,8/6/2020,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,29,2,5,2,2,,,0,,,8/6/2020,0.4597,yes,20200909,1635.662,90.77,26.03,3.4871,,6/1/21-6/3/21,6/3/2021,0.0987,Olivia,16.57205674,0.214705243
1,30,2,31,3,4,,,1,,1,8/6/2020,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,31,2,31,1,1,,,0,,,8/6/2020,0.7826,yes,20200909,1734.246,78.87,27.86,2.8309,,6/1/21-6/3/21,6/3/2021,0.0734,Olivia,23.6273297,0.093789931
1,32,2,62,5,2,,,0,,,8/6/2020,1.7971,yes,20200909,6487.114,155.18,52.35,2.9643,,6/1/21-6/3/21,6/3/2021,0.4299,Olivia,15.08982089,0.239218741
1,33,2,13,1,5,,,0,,,8/6/2020,0.326,yes,20200909,1173.329,77.17,21.6,3.5727,,6/1/21-6/3/21,6/3/2021,0.0508,Olivia,23.09702756,0.155828221
1,34,2,13,2,3,,,0,,,8/6/2020,0.0818,yes,20200909,456.873,48.43,14.06,3.4445,,6/1/21-6/3/21,6/3/2021,0.0123,Olivia,37.14414634,0.150366748
1,35,2,19,3,2,,,0,,,8/6/2020,0.0859,yes,20200909,299.938,35.11,11.51,3.0504,,6/1/21-6/3/21,6/3/2021,0.0144,Olivia,20.82902778,0.167636787
1,36,2,30,3,1,,,0,,,8/6/2020,0.1133,yes,20200909,449.772,44.32,14.48,3.0608,the leaf had noticeable herbivory,6/1/21-6/3/21,6/3/2021,0.0232,Olivia,19.38672414,0.204766108
1,37,2,18,1,2,,,0,,,8/6/2020,0.8589,yes,20200909,2539.295,100.46,36.63,2.7426,,6/1/21-6/3/21,6/3/2021,0.178,Olivia,14.26570225,0.207241821
1,38,2,31,5,1,,,0,,,8/6/2020,1.0722,yes,20200909,2472.055,86.14,39.73,2.1681,,6/1/21-6/3/21,6/3/2021,0.1729,Olivia,14.29759977,0.161257228
1,39,2,7,4,2,,,1,,1,8/6/2020,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,40,2,8,1,4,,,0,,,8/6/2020,0.6917,yes,20200909,2435.276,90.37,35.1,2.5746,,6/1/21-6/3/21,6/3/2021,0.1219,Olivia,19.97765381,0.176232471
1,41,2,23,1,5,,,0,,,8/6/2020,0.6476,yes,20200909,2208.039,73.08,29.48,2.479,,6/1/21-6/3/21,6/3/2021,0.1232,Olivia,17.92239448,0.190240889
1,42,2,4,1,3,,,0,,,8/6/2020,0.4018,yes,20200909,1194.216,73.83,17.77,4.1548,,6/1/21-6/3/21,6/3/2021,0.0816,Olivia,14.635,0.203086113
1,43,2,36,3,3,,,0,,,8/6/2020,1.0057,yes,20200909,3257.98,98.22,39.52,2.4853,,6/1/21-6/3/21,6/3/2021,0.1974,Olivia,16.50445795,0.196281197
1,44,2,30,4,5,,,0,,,8/6/2020,0.2497,yes,20200909,1009.733,78.24,20.81,3.7597,,6/1/21-6/3/21,6/3/2021,0.046,Olivia,21.95071739,0.184221065
1,45,2,62,2,1,,,0,,,8/6/2020,0.3442,yes,20200909,1527.578,92.47,31.27,2.9571,,6/1/21-6/3/21,6/3/2021,0.0896,Olivia,17.04886161,0.260313771
1,46,2,6,2,4,,,0,,,8/6/2020,0.2254,yes,20200909,885.862,62.95,18.89,3.3325,,6/1/21-6/3/21,6/3/2021,0.0437,Olivia,20.27144165,0.193877551
2,1,1,79,4,5,,,0,,,8/6/2020,0.7884,yes,20200909,2207.997,86.1,34.82,2.4727,,6/1/21-6/3/21,6/3/2021,0.1178,Olivia,18.74360781,0.14941654
2,2,1,6,2,5,,,0,,1,8/6/2020,0.138,yes,20200909,657.624,59.12,16.7,3.5401,,6/1/21-6/3/21,6/3/2021,0.0198,Olivia,33.21333333,0.143478261
2,3,1,68,1,4,,,0,,,8/6/2020,0.5346,yes,20200909,1816.129,84.38,29.32,2.8779,,6/1/21-6/3/21,6/3/2021,0.0931,Olivia,19.50729323,0.174148896
2,4,1,39,2,1,,,0,,1,8/6/2020,0.4467,yes,20200909,1664.989,81.01,27.3,2.9674,,6/1/21-6/3/21,6/3/2021,0.0701,Olivia,23.75162625,0.156928587
2,5,1,49,3,5,,,0,,,8/6/2020,0.6503,yes,20200909,2513.915,99.31,33.76,2.9416,,6/1/21-6/3/21,6/3/2021,0.1156,Olivia,21.74666955,0.177764109
2,6,1,14,5,2,,,0,,,8/6/2020,0.2667,yes,20200909,1061.715,67.65,22.96,2.9464,,6/1/21-6/3/21,6/3/2021,0.0502,Olivia,21.1497012,0.188226472
2,7,1,56,3,4,,,0,,,8/6/2020,0.314,yes,20200909,1230.025,73.21,23.36,3.134,,6/1/21-6/3/21,6/3/2021,0.0543,Olivia,22.65239411,0.172929936
2,8,1,27,2,5,,,0,,1,8/6/2020,dead/no plant,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9,1,21,3,4,,,0,,,8/6/2020,0.1971,yes,20200909,758.974,63,15.83,3.9798,,6/1/21-6/3/21,6/3/2021,0.0298,Olivia,25.46892617,0.151192288
2,10,1,14,2,2,,,0,,,8/6/2020,0.56,yes,20200909,2087.73,84.37,34.46,2.4483,,6/1/21-6/3/21,6/3/2021,0.0927,Olivia,22.52135922,0.165535714
2,11,1,72,2,1,,,0,,,8/6/2020,1.1148,yes,20200909,3590.569,116.23,41.41,2.8068,,6/1/21-6/3/21,6/3/2021,0.1884,Olivia,19.05822187,0.168998924
2,12,1,2,1,1,,,0,,,8/6/2020,1.052,yes,20200910,2520.697,114.36,30.83,3.7094,,6/1/21-6/3/21,6/3/2021,0.2551,Olivia,9.88121129,0.242490494
2,13,1,36,2,4,,,0,,,8/6/2020,0.8285,yes,20200910,2739.852,98.17,36.1,2.7194,,6/1/21-6/3/21,6/3/2021,0.1432,Olivia,19.13304469,0.172842486
2,14,1,35,2,1,,,0,,,8/6/2020,0.7322,yes,20200910,2404.038,85.61,38.87,2.2025,,6/1/21-6/3/21,6/3/2021,0.1192,Olivia,20.16810403,0.16279705
2,15,1,15,3,4,,,0,,,8/6/2020,0.1107,yes,20200910,458.81,44.46,14.46,3.0747,,6/1/21-6/3/21,6/3/2021,0.0247,Olivia,18.57530364,0.223125565
2,16,1,40,2,2,,,0,,,8/6/2020,0.4593,yes,20200910,1530.968,63.27,32.79,1.9296, the leaf had noticeable herbivory,6/1/21-6/3/21,6/3/2021,0.0845,Olivia,18.1179645,0.183975615
2,17,1,46,1,5,,,0,,,8/6/2020,1.168,yes,20200910,4554.931,119.14,53.03,2.2467,,6/1/21-6/3/21,6/3/2021,0.1868,Olivia,24.38399893,0.159931507
2,18,1,6,4,2,,,0,,,8/6/2020,1.083,yes,20200910,4354.21,121.13,48.56,2.4944,,6/1/21-6/3/21,6/3/2021,0.1777,Olivia,24.50315138,0.164081256
2,19,1,9,1,3,,,0,,,8/6/2020,0.5922,yes,20200910,2400.293,93.47,33.76,2.7687,,6/1/21-6/3/21,6/3/2021,0.1106,Olivia,21.70246835,0.186761229
2,20,1,18,5,1,,,0,,,8/6/2020,0.95,yes,20200910,3087.346,122.64,30.39,4.0355,,6/1/21-6/3/21,6/3/2021,0.1728,Olivia,17.86658565,0.181894737
2,21,1,79,1,4,,,0,,,8/6/2020,1.4923,yes,20200910,3874.235,122.96,40.26,3.0541,,6/1/21-6/3/21,6/3/2021,0.2272,Olivia,17.05209067,0.152248208
2,22,1,77,1,5,,,0,,,8/6/2020,1.7068,yes,20200910,5809.404,119.65,65.49,1.827,,6/1/21-6/3/21,6/3/2021,0.3369,Olivia,17.24370436,0.197386923
2,23,1,31,4,2,,,0,,,8/6/2020,1.2872,yes,20200910,5221.7,97.34,30.23,3.22,,6/1/21-6/3/21,6/3/2021,0.1985,Olivia,26.30579345,0.15421069
2,24,2,47,2,3,,,0,,,8/6/2020,0.4182,yes,20200910,1726.053,135.31,77.19,1.7529,,6/1/21-6/3/21,6/3/2021,0.0841,Olivia,20.52381688,0.201099952
2,25,2,68,5,3,,,0,,,8/6/2020,2.3175,yes,20200910,7538.8,83.67,29.2,2.8654, the leaf had noticeable herbivory,6/1/21-6/3/21,6/3/2021,0.5227,Olivia,14.42280467,0.225544768
2,26,2,28,1,4,,,0,,,8/6/2020,0.5577,yes,20200910,2251.483,120.3,58.28,2.0642,,6/1/21-6/3/21,6/3/2021,0.1004,Olivia,22.42512948,0.180025103
2,27,2,14,3,5,,,0,,,8/6/2020,0.3614,yes,20200910,1180.716,77.12,20.18,3.8216,,6/1/21-6/3/21,6/3/2021,0.0644,Olivia,18.33409938,0.178195905
2,28,2,2,5,5,,,0,,,8/6/2020,0.6405,yes,20200910,2595.046,89.35,40.58,2.2018,,6/1/21-6/3/21,6/3/2021,0.1093,Olivia,23.74241537,0.170647931
2,29,2,42,2,2,,,1,,1,8/6/2020,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,30,2,41,1,1,,,0,,,8/6/2020,0.7026,yes,20200910,2399.728,112.35,40.58,2.7686,,6/1/21-6/3/21,6/3/2021,0.1069,Olivia,22.44834425,0.15214916
2,31,2,68,3,3,,,0,,,8/6/2020,0.8432,yes,20200910,2569.012,91.03,37.36,2.4366,,6/1/21-6/3/21,6/3/2021,0.1358,Olivia,18.91761414,0.161053131
2,32,2,14,4,2,,,1,,1,8/6/2020,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,33,2,72,1,2,,,0,,,8/6/2020,0.831,yes,20200910,2627.2,95.93,39.41,2.4342,,6/1/21-6/3/21,6/3/2021,0.1287,Olivia,20.41336441,0.154873646
2,34,2,2,4,3,,,0,,,8/6/2020,1.2278,yes,20200910,2569.012,106.54,40.35,2.6404,,6/1/21-6/3/21,6/3/2021,0.185,Olivia,13.88655135,0.150676006
2,35,2,4,1,2,,,0,,,8/6/2020,0.4356,yes,20200910,1906.657,93.95,28.22,3.3292,,6/1/21-6/3/21,6/3/2021,0.1141,Olivia,16.71040316,0.261937557
2,36,2,49,4,3,,,0,,,8/6/2020,0.3869,yes,20200910,1567.586,76.77,27.39,2.8028,,6/1/21-6/3/21,6/3/2021,0.0671,Olivia,23.36193741,0.173429827
2,37,2,17,2,4,,,0,,,8/6/2020,0.3602,yes,20200910,1567.706,87.69,24.14,3.6326,,6/1/21-6/3/21,6/3/2021,0.06,Olivia,26.12843333,0.166574126
2,38,2,6,1,3,,,0,,,8/6/2020,0.9808,yes,20200910,3735.379,121.17,41.87,2.894,,6/1/21-6/3/21,6/3/2021,0.1638,Olivia,22.8045116,0.167006525
2,39,2,77,2,2,,,0,,,8/6/2020,1.4407,yes,20200910,3651.051,120.54,41.26,2.9215,,6/1/21-6/3/21,6/3/2021,0.2247,Olivia,16.24855808,0.15596585
2,40,2,47,2,4,,,0,,,8/6/2020,0.8314,yes,20200910,2986.5,112.52,35.35,3.183,,6/1/21-6/3/21,6/3/2021,0.1244,Olivia,24.00723473,0.149627135
2,41,2,64,1,3,,,0,,,8/6/2020,1.5068,yes,20200910,4146.087,109.66,50.19,2.1849,,6/1/21-6/3/21,6/3/2021,0.2959,Olivia,14.01178439,0.196376427
2,42,2,57,5,1,,,0,,,8/6/2020,0.3434,yes,20200910,1278.247,68.6,26.38,2.6005, the leaf had noticeable herbivory,6/1/21-6/3/21,6/3/2021,0.0604,Olivia,21.1630298,0.175888177
2,43,2,57,1,4,,,0,,,8/6/2020,0.708,yes,20200910,2573.263,109.8,32.42,3.3868,,6/1/21-6/3/21,6/3/2021,0.1091,Olivia,23.58627864,0.154096045
2,44,2,15,2,3,,,0,,,8/6/2020,0.4308,yes,20200910,1649.186,94.19,25.01,3.7661,,6/1/21-6/3/21,6/3/2021,0.094,Olivia,17.54453191,0.2181987
2,45,2,79,5,2,,,0,,,8/6/2020,0.5358,yes,20200910,2148.442,89.93,31.78,2.8298,,6/1/21-6/3/21,6/3/2021,0.0967,Olivia,22.21760083,0.18047779
2,46,2,17,5,4,,,0,,,8/6/2020,0.7,yes,20200910,2714.793,92.92,42.55,2.1838,,6/1/21-6/3/21,6/3/2021,0.1124,Olivia,24.15296263,0.160571429
3,1,1,12,5,1,,,0,,,8/6/2020,2.2426,yes,20200910,7301.434,140.71,67.64,2.0803,,6/1/21-6/3/21,6/3/2021,0.4449,Olivia,16.41140481,0.198385802
3,2,1,68,3,4,,,0,,,8/6/2020,0.6909,yes,20200910,1940.198,81.82,31.1,2.6309, the leaf had noticeable herbivory,6/1/21-6/3/21,6/3/2021,0.1067,Olivia,18.18367385,0.154436243
3,3,1,14,5,1,,,0,,,8/6/2020,0.7241,yes,20200910,2271.432,98.89,32.69,3.0251,,6/1/21-6/3/21,6/3/2021,0.1392,Olivia,16.31775862,0.192238641
3,4,1,9,2,2,,,0,,,8/6/2020,1.673,yes,20200910,4756.687,128.62,51.88,2.4792,,6/1/21-6/3/21,6/3/2021,0.3756,Olivia,12.66423589,0.224506874
3,5,1,13,5,5,,,0,,,8/6/2020,1.8656,yes,20200910,5972.117,135.81,62.83,2.1615,,6/1/21-6/3/21,6/3/2021,0.4217,Olivia,14.16200379,0.22603988
3,6,1,1,1,2,,,0,,,8/6/2020,0.3508,yes,20200910,1185.933,74.7,22.85,3.2691,,6/1/21-6/3/21,6/3/2021,0.0692,Olivia,17.13776012,0.197263398
3,7,1,68,3,5,,,0,,,8/6/2020,0.3515,yes,20200910,1235.936,74.05,24.73,2.9943,,6/1/21-6/3/21,6/3/2021,0.0677,Olivia,18.2560709,0.192603129
3,8,1,15,4,1,,,0,,,8/6/2020,1.3376,yes,20200910,4694.13,134.87,48.23,2.7964,,6/1/21-6/3/21,6/3/2021,0.2436,Olivia,19.26982759,0.182117225
3,9,1,4,3,5,,,0,,,8/6/2020,0.1773,yes,20200910,643.448,58.96,14.96,3.9412,,6/1/21-6/3/21,6/3/2021,0.0424,Olivia,15.17566038,0.239142696
3,10,1,2,5,3,,,0,,,8/6/2020,0.1021,yes,20200910,354.018,44.7,10.87,4.1122,,6/1/21-6/3/21,6/3/2021,0.0212,Olivia,16.69896226,0.207639569
3,11,1,49,3,4,,,0,,,8/6/2020,0.141,yes,20200910,503.951,50.36,13.6,3.7029,,6/1/21-6/3/21,6/3/2021,.0.0241,Olivia,NA,NA
3,12,1,15,2,4,,,0,,,8/6/2020,1.2093,yes,20200910,4173.224,143.2,41,3.4927,,6/1/21-6/3/21,6/3/2021,0.1956,Olivia,21.33550102,0.161746465
3,13,1,39,2,2,,,0,,,8/6/2020,1.7241,yes,20200910,5741.68,148.43,50.93,2.9144,,6/1/21-6/3/21,6/3/2021,0.3202,Olivia,17.93154279,0.185720086
3,14,1,2,2,5,,,0,,,8/6/2020,1.8135,yes,20200910,4850.416,139.25,44.65,3.1187,,6/1/21-6/3/21,6/3/2021,0.311,Olivia,15.59619293,0.171491591
3,15,1,64,3,2,,,0,,,8/6/2020,0.1612,yes,20200910,655.529,63.69,15.16,4.2012,,6/1/21-6/3/21,6/3/2021,0.0431,Olivia,15.20948956,0.267369727
3,16,1,31,2,2,,,0,,,8/6/2020,1.3612,yes,20200910,3645.025,116.87,42.2,2.7694,,6/1/21-6/3/21,6/3/2021,0.272,Olivia,13.40082721,0.199823685
3,17,1,8,2,5,,,0,,,8/6/2020,1.4397,yes,20200910,3802.946,109.28,48.5,2.2532,,6/1/21-6/3/21,6/3/2021,0.2262,Olivia,16.81231653,0.157116066
3,18,1,17,1,1,,,0,,,8/6/2020,3.4765,yes,20200910,8308.848,149.26,66.46,2.2459,,6/1/21-6/3/21,6/3/2021,0.6605,Olivia,12.57963361,0.189989932
3,19,1,18,1,4,,,0,,,8/6/2020,1.7224,yes,20200911,6092.744,131.94,65.27,2.0214,,6/1/21-6/3/21,6/3/2021,0.3047,Olivia,19.99587791,0.17690432
3,20,1,36,2,2,,,0,,,8/6/2020,1.4704,yes,20200911,4118.944,116.26,46.21,2.5159,,6/1/21-6/3/21,6/3/2021,0.2539,Olivia,16.22270185,0.172674102
3,21,1,7,3,1,,,0,,,8/6/2020,0.8282,yes,20200911,2644.096,109.62,31.15,3.5191,,6/1/21-6/3/21,6/3/2021,0.1471,Olivia,17.97481985,0.177614103
3,22,1,69,2,1,,,0,,,8/6/2020,1.6762,yes,20200911,5966.14,125.93,67.17,1.8748,,6/1/21-6/3/21,6/3/2021,0.298,Olivia,20.02060403,0.177783081
3,23,1,30,5,4,,,0,,,8/6/2020,3.0106,yes,20200911,7542.387,144.72,70.15,2.063,,6/1/21-6/3/21,6/3/2021,0.4625,Olivia,16.30786378,0.153623862
3,24,2,4,4,5,,,0,,,8/6/2020,1.0843,yes,20200911,2956.464,92.34,42.95,2.1499,,6/1/21-6/3/21,6/3/2021,0.1838,Olivia,16.08522307,0.169510283
3,25,2,16,3,4,,,0,,1,8/6/2020,0.1074,yes,20200911,417.169,45.84,13.35,3.4337,,6/1/21-6/3/21,6/3/2021,0.0227,Olivia,18.37748899,0.211359404
3,26,2,62,3,1,,,0,,,8/6/2020,1.3328,yes,20200911,4079.114,119.54,42.87,2.7884,,6/1/21-6/3/21,6/3/2021,0.1932,Olivia,21.1134265,0.144957983
3,27,2,39,4,2,,,0,,,8/6/2020,2.2948,yes,20200911,6792.779,150.2,55.62,2.7005,,6/1/21-6/3/21,6/3/2021,0.3949,Olivia,17.20126361,0.172084713
3,28,2,77,3,2,,,0,,,8/6/2020,1.9039,yes,20200911,5253.746,109.31,60.77,1.7987,,6/1/21-6/3/21,6/3/2021,0.2879,Olivia,18.2485099,0.151215925
3,29,2,4,4,4,,,0,,,8/6/2020,1.6377,yes,20200911,4726.546,126.83,50.83,2.4952,,6/1/21-6/3/21,6/3/2021,0.2549,Olivia,18.54274617,0.155645112
3,30,2,72,1,3,,,0,,,,leaves too herbivorized,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,31,2,56,4,4,,,0,,,8/6/2020,1.4082,yes,20200912,4212.836,127.86,43.68,2.9272,,6/1/21-6/3/21,6/3/2021,0.2828,Olivia,14.89687412,0.200823747
3,32,2,36,3,5,,,1,,1,8/6/2020,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,33,2,21,2,5,,,0,,,8/6/2020,1.3385,yes,20200912,4373.366,136.16,43.82,3.1073,,6/1/21-6/3/21,6/3/2021,0.3044,Olivia,14.3671682,0.227418752
3,34,2,31,1,3,,,0,,,8/6/2020,3.1077,yes,20200912,7411.966,148.61,67.9,2.1887,,6/1/21-6/3/21,6/3/2021,0.6349,Olivia,11.67422586,0.204298999
3,35,2,77,5,5,,,0,,,8/6/2020,3.1908,yes,20200912,8916.53,161.27,77.85,2.0715,,6/1/21-6/3/21,6/3/2021,0.5963,Olivia,14.95309408,0.186881033
3,36,2,72,2,3,,,0,,,8/6/2020,1.6244,yes,20200912,4469.553,123.3,45.05,2.737,,6/1/21-6/3/21,6/3/2021,0.2864,Olivia,15.60598115,0.176311253
3,37,2,56,2,1,,,0,,,8/6/2020,1.1177,No,NA,NA,NA,NA,NA,there isn't an image associated with them,6/1/21-6/3/21,6/3/2021,0.2375,Olivia,NA,0.212489935
3,38,2,46,2,3,,,0,,,8/6/2020,2.2353,No,NA,NA,NA,NA,NA,there isn't an image associated with them,6/1/21-6/3/21,6/3/2021,0.3768,Olivia,NA,0.168567978
3,39,2,49,5,3,,,0,,,8/6/2020,2.7506,No,NA,NA,NA,NA,NA,there isn't an image associated with them,6/1/21-6/3/21,6/3/2021,0.3954,Olivia,NA,0.143750454
3,40,2,12,5,3,,,0,,,8/6/2020,4.906,No,NA,NA,NA,NA,NA,there isn't an image associated with them,6/1/21-6/3/21,6/3/2021,0.9736,Olivia,NA,0.198450877
3,41,2,67,4,3,,,0,,,8/6/2020,2.673,No,NA,NA,NA,NA,NA,there isn't an image associated with them,6/1/21-6/3/21,6/3/2021,0.5268,Olivia,NA,0.19708193
3,42,2,46,2,2,,,0,,,8/6/2020,3.0696,yes,20200913,9429.655,168.03,78.63,2.137,,6/1/21-6/3/21,6/3/2021,0.4831,Olivia,19.51905403,0.157382069
3,43,2,40,5,2,,,0,,,8/6/2020,1.3534,yes,20200913,4918.246,130.46,53.91,2.42,,6/1/21-6/3/21,6/3/2021,0.2542,Olivia,19.34793863,0.18782326
