"","Row","Column","Block","Population","Family","Replicate","Comment.early","Date.early","Alive.early","Herbivory.early","Surveyor.early","Alive.late","Herbivory.late","Date.late","Surveyor.late","Comment.late"
"27",1,39,"2","7","4","2","only 1 Ramat outside of pot check not dead","6/25/2021","1","0,0,0,0,0","Sophie","","2,1,30,18,3","8/27/2021","Sophie",NA
"28",1,40,"2","8","1","4","","6/25/2021","1","0,0,0,0,04","Sophie","","5,3,0,0,0","8/27/2021","Sophie",NA
"29",1,41,"2","23","1","5","","6/25/2021","1","0,0,0,0,02","Sophie","","0,1,2,0,2","8/27/2021","Sophie",NA
"30",1,42,"2","4","1","3","","6/25/2021","1","0,0,0,0,018","Sophie","","0,20,2,2,1","8/27/2021","Sophie",NA
"31",1,43,"2","36","3","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,04","8/27/2021","Sophie",NA
"32",1,44,"2","30","4","5","","6/25/2021","1","0,0,0,0,0","Sophie","","5,1,6,12,8","8/27/2021","Sophie",NA
"33",1,45,"2","62","2","1","","6/25/2021","1","0,0,0,0,02","Sophie","","0,3,4,1,0","8/27/2021","Sophie",NA
"34",1,46,"2","6","2","4","","6/25/2021","1","100,100,100,96,100","Sophie","","6,32,3,5,46","8/27/2021","Sophie",NA
"35",2,1,"1","79","4","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,04","8/27/2021","Sophie",NA
"36",2,2,"1","6","2","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,10","8/27/2021","Sophie",NA
"37",2,3,"1","68","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","28,1,1,1,2","8/27/2021","Sophie",NA
"38",2,4,"1","39","2","1","","6/25/2021","1","0,0,0,0,0","Sophie","","2,0,3,0,1","8/27/2021","Sophie",NA
"39",2,5,"1","49","3","5","","6/25/2021","1","0,0,0,3,5","Sophie","","0,8,2,7,3","8/27/2021","Sophie",NA
"40",2,6,"1","14","5","2","","6/25/2021","1","0,0,0,0,0","Sophie","","6,0,18,0,0","8/27/2021","Sophie",NA
"41",2,7,"1","56","3","4","","6/25/2021","1","0,0,0,0,0","Sophie","0","","8/27/2021","Sophie",NA
"42",2,8,"1","27","2","5","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"43",2,9,"1","21","3","4","","6/25/2021","1","8,78,3,5,0","Sophie","","27,0,0,3,1","8/27/2021","Sophie",NA
"44",2,10,"1","14","2","2","","6/25/2021","1","0,0,0,0,06","Sophie","","18,3,18,14,5","8/27/2021","Sophie",NA
"45",2,11,"1","72","2","1","","6/25/2021","1","0,0,08,05,16","Sophie","","3,2,2,0,1","8/27/2021","Sophie",NA
"46",2,12,"1","2","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","5,2,0,0,0","8/27/2021","Sophie",NA
"47",2,13,"1","36","2","4","","6/25/2021","1","0,0,0,0,0","Sophie","","6,10,0,0,8","8/27/2021","Sophie",NA
"48",2,14,"1","35","2","1","","6/25/2021","1","18,13,0,0,16","Sophie","","0,0,4,1,0","8/27/2021","Sophie",NA
"49",2,15,"1","15","3","4","","6/25/2021","1","0,0,0,0,0","Sophie","","2,5,2,3,2","8/27/2021","Sophie",NA
"50",2,16,"1","40","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","2,2,1,1,1","8/27/2021","Sophie",NA
"51",2,17,"1","46","1","5","","6/25/2021","1","0,0,4,2,0","Sophie","2","","8/27/2021","Sophie",NA
"52",2,18,"1","6","4","2","","6/25/2021","1","0,0,0,0,0","Sophie","","10,4,2,0,0","8/27/2021","Sophie",NA
"53",2,19,"1","9","1","3","","6/25/2021","1","0,3,4,0,0","Sophie","","2,10,60,28","8/27/2021","Sophie",NA
"54",2,20,"1","18","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,2,3,3","8/27/2021","Sophie",NA
"55",2,21,"1","79","1","4","","6/25/2021","1","0,0,0,0,05","Sophie","","1,0,2,3,0","8/27/2021","Sophie",NA
"56",2,22,"1","77","1","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,3,1,0","8/27/2021","Sophie",NA
"57",2,23,"1","31","4","2","","6/25/2021","1","0,0,0,0,0","Sophie","","8,6,10,1,0","8/27/2021","Sophie",NA
"58",2,24,"2","47","2","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,4,1,16,2","8/27/2021","Sophie",NA
"59",2,25,"2","68","5","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,18,5,0,4","8/27/2021","Sophie",NA
"60",2,26,"2","28","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,3,33,28,0","8/27/2021","Sophie",NA
"61",2,27,"2","14","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,03","8/27/2021","Sophie",NA
"62",2,28,"2","2","5","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,0","8/27/2021","Sophie",NA
"63",2,29,"2","42","2","2","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"64",2,30,"2","41","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","4,3,2,4,2","8/27/2021","Sophie",NA
"65",2,31,"2","68","3","3","","6/25/2021","1","0,0,0,0,024","Sophie","","5,2,0,3,10","8/27/2021","Sophie",NA
"66",2,32,"2","14","4","2","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"67",2,33,"2","72","1","2","","6/25/2021","1","0,0,0,0,20","Sophie","","0,2,0,1,0","8/27/2021","Sophie",NA
"68",2,34,"2","2","4","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,3,0,0","8/27/2021","Sophie",NA
"69",2,35,"2","4","1","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,1,0,4","8/27/2021","Sophie",NA
"70",2,36,"2","49","4","3","","6/25/2021","1","0,4,2,16,4","Sophie","","0,0,22,25,34","8/27/2021","Sophie",NA
"71",2,37,"2","17","2","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,1,2,0","8/27/2021","Sophie",NA
"72",2,38,"2","6","1","3","","6/25/2021","1","0,0,0,03,03","Sophie","","0,26,0,2,0","8/27/2021","Sophie",NA
"73",2,39,"2","77","2","2","","6/25/2021","1","0,0,0,0,03","Sophie","","3,0,0,25,0","8/27/2021","Sophie",NA
"74",2,40,"2","47","2","4","","6/25/2021","1","0,0,0,0,0","Sophie","","16,1,0,0,0","8/27/2021","Sophie",NA
"75",2,41,"2","64","1","3","","6/25/2021","1","0,0,0,0,0","Sophie","","5,4,3,0,2","8/27/2021","Sophie",NA
"76",2,42,"2","57","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,3,4,46,50","8/27/2021","Sophie",NA
"77",2,43,"2","57","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,03","8/27/2021","Sophie",NA
"78",2,44,"2","15","2","3","","6/25/2021","1","0,0,0,0,0","Sophie","","3,50,10,3,2","8/27/2021","Sophie",NA
"79",2,45,"2","79","5","2","","6/25/2021","1","0,0,4,0,2","Sophie","","0,0,14,3,36","8/27/2021","Sophie",NA
"80",2,46,"2","17","5","4","","6/25/2021","1","0,0,0,0,03","Sophie","","0,2,0,1,0","8/27/2021","Sophie",NA
"81",3,1,"1","12","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,01","8/27/2021","Sophie",NA
"82",3,2,"1","68","3","4","","6/25/2021","1","0,0,0,0,03","Sophie","","2,1,0,0,0","8/27/2021","Sophie",NA
"83",3,3,"1","14","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,02","8/27/2021","Sophie",NA
"84",3,4,"1","9","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,2,1,1","8/27/2021","Sophie",NA
"85",3,5,"1","13","5","5","","6/25/2021","1","0,0,0,0,03","Sophie","","3,1,1,5,1","8/27/2021","Sophie",NA
"86",3,6,"1","1","1","2","","6/25/2021","1","0,0,0,0,0","Sophie","2","","8/27/2021","Sophie",NA
"87",3,7,"1","68","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","6,1,3,2,3","8/27/2021","Sophie",NA
"88",3,8,"1","15","4","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,2,0,12","8/27/2021","Sophie",NA
"89",3,9,"1","4","3","5","","6/25/2021","1","too withered","Sophie","","0,38,1,3,18","8/27/2021","Sophie",NA
"90",3,10,"1","2","5","3","","6/25/2021","1","0,0,0,0,25","Sophie","","28,3,3,8,2","8/27/2021","Sophie",NA
"91",3,11,"1","49","3","4","","6/25/2021","1","0,0,0,3,3","Sophie","","4,10,5,2,3","8/27/2021","Sophie",NA
"92",3,12,"1","15","2","4","","6/25/2021","1","0,0,0,0,0","Sophie","","2,2,3,0,3","8/27/2021","Sophie",NA
"93",3,13,"1","39","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","3,0,0,2,0","8/27/2021","Sophie",NA
"94",3,14,"1","2","2","5","","6/25/2021","1","0,0,0,0,14","Sophie","","6,22,50,0,44","8/27/2021","Sophie",NA
"95",3,15,"1","64","3","2","","6/25/2021","1","0,0,0,0,80","Sophie","","3,2,1,3,2","8/27/2021","Sophie",NA
"96",3,16,"1","31","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","24,16,0,3,4","8/27/2021","Sophie",NA
"97",3,17,"1","8","2","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,8,6","8/27/2021","Sophie",NA
"98",3,18,"1","17","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,2,0,2","8/27/2021","Sophie",NA
"99",3,19,"1","18","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,01","8/27/2021","Sophie",NA
"100",3,20,"1","36","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","6,0,0,0,1","8/27/2021","Sophie",NA
"101",3,21,"1","7","3","1","","6/25/2021","1","0,0,0,0,05","Sophie","0","","8/27/2021","Sophie",NA
"102",3,22,"1","69","2","1","","6/25/2021","1","0,03,0,0,025","Sophie","","1,5,1,5,1","8/27/2021","Sophie",NA
"103",3,23,"1","30","5","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,1,3","8/27/2021","Sophie",NA
"104",3,24,"2","4","4","5","","6/25/2021","1","0,0,0,0,06","Sophie","","0,0,0,3,2","8/27/2021","Sophie",NA
"105",3,25,"2","16","3","4","","6/25/2021","1","0,0,0,0,0","Sophie","2","","8/27/2021","Sophie",NA
"106",3,26,"2","62","3","1","","6/25/2021","1","0,0,0,0,0","Sophie","","3,0,2,3,3","8/27/2021","Sophie",NA
"107",3,27,"2","39","4","2","","6/25/2021","1","0,16,0,0,34","Sophie","","0,1,0,1,2","8/27/2021","Sophie",NA
"108",3,28,"2","77","3","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,01","8/27/2021","Sophie",NA
"109",3,29,"2","4","4","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,42,34,50","8/27/2021","Sophie",NA
"110",3,30,"2","72","1","3","","6/25/2021","1","0,0,0,0,0","Sophie","","42,60,3,2,2","8/27/2021","Sophie",NA
"111",3,31,"2","56","4","4","","6/25/2021","1","0,0,0,0,0","Sophie","","2,4,0,3,0","8/27/2021","Sophie",NA
"112",3,32,"2","36","3","5","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"113",3,33,"2","21","2","5","","6/25/2021","1","0,0,0,0,08","Sophie","","0,0,2,3,5","8/27/2021","Sophie",NA
"114",3,34,"2","31","1","3","","6/25/2021","1","0,0,0,0,03","Sophie","","1,1,0,0,1","8/27/2021","Sophie",NA
"115",3,35,"2","77","5","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,20","8/27/2021","Sophie",NA
"116",3,36,"2","72","2","3","","6/25/2021","1","0,0,0,0,06","Sophie","","0,5,14,4,16","8/27/2021","Sophie",NA
"117",3,37,"2","56","2","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,0,8,4","8/27/2021","Sophie",NA
"118",3,38,"2","46","2","3","","6/25/2021","1","0,0,0,0,0","Sophie","","2,0,0,0,2","8/27/2021","Sophie",NA
"119",3,39,"2","49","5","3","","6/25/2021","1","12,0,0,3,0","Sophie","","2,0,0,2,0","8/27/2021","Sophie",NA
"120",3,40,"2","12","5","3","","6/25/2021","1","0,0,0,0,04","Sophie","","8,0,0,1,2","8/27/2021","Sophie",NA
"121",3,41,"2","67","4","3","","6/25/2021","1","0,0,0,0,03","Sophie","","2,3,5,8,25","8/27/2021","Sophie",NA
"122",3,42,"2","46","2","2","","6/25/2021","1","0,0,0,0,0","Sophie","","12,0,2,0,0","8/27/2021","Sophie",NA
"123",3,43,"2","40","5","2","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"124",3,44,"2","67","2","5","","6/25/2021","1","0,0,0,0,028","Sophie","","3,2,4,0,4","8/27/2021","Sophie",NA
"125",3,45,"2","1","1","5","","6/25/2021","1","0,0,0,0,0","Sophie","2","","8/27/2021","Sophie",NA
"126",3,46,"2","19","1","1","","6/25/2021","1","0,0,0,0,04","Sophie","","3,2,54,2,54","8/27/2021","Sophie",NA
"127",4,1,"1","21","4","1","","6/25/2021","1","0,0,52,22,0","Sophie","","0,0,0,0,06","8/27/2021","Sophie",NA
"128",4,2,"1","79","2","1","","6/25/2021","1","1,20,2,0,18","Sophie","","18,0,0,0,2","8/27/2021","Sophie",NA
"129",4,3,"1","12","4","1","","6/25/2021","1","0,0,46,1,0","Sophie","","6,1,0,3,1","8/27/2021","Sophie",NA
"130",4,4,"1","47","3","5","","6/25/2021","1","0,0,0,0,22","Sophie","","0,3,32,10,-","8/27/2021","Sophie",NA
"131",4,5,"1","47","1","1","","6/25/2021","1","0,0,0,0,03","Sophie","","1,1,1,0,2","8/27/2021","Sophie",NA
"132",4,6,"1","21","2","3","","6/25/2021","1","0,0,0,0,05","Sophie","","0,0,0,0,01","8/27/2021","Sophie",NA
"133",4,7,"1","1","2","1","","6/25/2021","1","0,0,0,0,03","Sophie","","1,0,2,1,6","8/27/2021","Sophie",NA
"134",4,8,"1","1","2","2","","6/25/2021","1","0,3,0,0,12","Sophie","","4,0,1,0,0","8/27/2021","Sophie",NA
"135",4,9,"1","30","4","3","","6/25/2021","1","0,0,0,0,0","Sophie","","1,6,0,0,0","8/27/2021","Sophie",NA
"136",4,10,"1","61","5","1","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"137",4,11,"1","1","4","1","","6/25/2021","1","0,0,0,0,03","Sophie","","7,12,90,18,18","8/27/2021","Sophie",NA
"138",4,12,"1","6","4","5","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"139",4,13,"1","17","4","4","","6/25/2021","1","0,0,0,0,04","Sophie","2","","8/27/2021","Sophie",NA
"140",4,14,"1","79","4","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,4,54,0,22","8/27/2021","Sophie",NA
"141",4,15,"1","36","2","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,05","8/27/2021","Sophie",NA
"142",4,16,"1","4","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,05","8/27/2021","Sophie",NA
"143",4,17,"1","56","4","2","","6/25/2021","1","0,0,0,0,03","Sophie","","0,0,0,0,02","8/27/2021","Sophie",NA
"144",4,18,"1","67","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","3,1,2,3,4","8/27/2021","Sophie",NA
"145",4,19,"1","2","3","1","","6/25/2021","1","0,0,0,0,04","Sophie","","0,5,0,1,2","8/27/2021","Sophie",NA
"146",4,20,"1","8","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","2,2,2,1,33","8/27/2021","Sophie",NA
"147",4,21,"1","72","5","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,42,24,3","8/27/2021","Sophie",NA
"148",4,22,"1","12","4","4","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"149",4,23,"1","74","2","5","","6/25/2021","1","0,0,0,0,0","Sophie","0","","8/27/2021","Sophie",NA
"150",4,24,"2","77","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,1,1,4","8/27/2021","Sophie",NA
"151",4,25,"2","15","2","5","","6/25/2021","1","26,3,0,0,0","Sophie","","46,0,0,24,30","8/27/2021","Sophie",NA
"152",4,26,"2","56","2","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,0","8/27/2021","Sophie",NA
"153",4,27,"2","32","1","2","","6/25/2021","1","0,0,22,8,0","Sophie","","2,3,2,1,0","8/27/2021","Sophie",NA
"154",4,28,"2","68","4","3","","6/25/2021","1","0,0,0,0,04","Sophie","","0,4,1,2,2","8/27/2021","Sophie",NA
"155",4,29,"2","23","1","2","","6/25/2021","1","0,0,0,05,08","Sophie","","3,2,3,2,2","8/27/2021","Sophie",NA
"156",4,30,"2","4","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","2,1,1,1,2","8/27/2021","Sophie",NA
"157",4,31,"2","6","3","1","","6/25/2021","1","0,0,0,0,0","Sophie","","3,1,4,6,0","8/27/2021","Sophie",NA
"158",4,32,"2","72","5","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,1,0","8/27/2021","Sophie",NA
"159",4,33,"2","4","3","2","","6/25/2021","1","0,0,0,0,03","Sophie","","0,0,0,1,0","8/27/2021","Sophie",NA
"160",4,34,"2","51","4","3","","6/25/2021","1","0,0,0,0,04","Sophie","","2,2,2,3,0","8/27/2021","Sophie",NA
"161",4,35,"2","20","3","2","","6/25/2021","0","NA","Sophie","0","","8/27/2021","Sophie",NA
"162",4,36,"2","7","5","5","","6/25/2021","1","0,0,0,0,02","Sophie","","1,2,0,1,0","8/27/2021","Sophie",NA
"163",4,37,"2","36","5","3","","6/25/2021","1","0,0,0,0,012","Sophie","","7,0,0,0,96","8/27/2021","Sophie",NA
"164",4,38,"2","40","5","3","","6/25/2021","1","0,0,01,0,05","Sophie","","1,1,2,1,0","8/27/2021","Sophie",NA
"165",4,39,"2","18","1","1","","6/25/2021","1","0,0,6,2,1","Sophie","","5,4,1,4,1","8/27/2021","Sophie",NA
"166",4,40,"2","36","1","4","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,1,0","8/27/2021","Sophie",NA
"167",4,41,"2","36","1","5","","6/25/2021","1","0,0,0,0,0","Sophie","","3,0,8,3,4","8/27/2021","Sophie",NA
"168",4,42,"2","2","2","2","","6/25/2021","1","0,8,0,3,0","Sophie","","18,22,46,3,3","8/27/2021","Sophie",NA
"169",4,43,"2","1","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","2,3,18,3,12","8/27/2021","Sophie",NA
"170",4,44,"2","61","4","4","","6/25/2021","1","0,0,0,0,0","Sophie","","4,2,20,2,3","8/27/2021","Sophie",NA
"171",4,45,"2","18","5","2","","6/25/2021","1","0,0,0,0,0","Sophie","","2,0,3,4,18","8/27/2021","Sophie",NA
"172",4,46,"2","46","4","1","","6/25/2021","1","0,0,8,3,3","Sophie","","1,2,0,2,0","8/27/2021","Sophie",NA
"173",5,1,"1","77","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,0,03","8/26/2021","Sophie",NA
"174",5,2,"1","21","5","3","","6/25/2021","1","0,0,0,0,0","Sophie","","20,4,2,14,24","8/26/2021","Sophie",NA
"175",5,3,"1","19","3","5","","6/25/2021","1","0,0,0,0,0","Sophie","","1,0,1,23,3","8/26/2021","Sophie",NA
"176",5,4,"1","56","3","3","","6/25/2021","0","NA","Sophie","0","","8/26/2021","Sophie",NA
"177",5,5,"1","32","1","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,2,3,32","8/26/2021","Sophie",NA
"178",5,6,"1","8","3","5","","6/25/2021","1","0,0,0,0,05","Sophie","","1,1,2,2,0","8/26/2021","Sophie",NA
"179",5,7,"1","11","1","2","","6/25/2021","1","0,0,0,0,0","Sophie","","8,0,0,6,0","8/26/2021","Sophie",NA
"180",5,8,"1","4","5","2","","6/25/2021","1","0,0,0,0,06","Sophie","","0,2,1,1,1","8/26/2021","Sophie",NA
"181",5,9,"1","28","1","3","","6/25/2021","0","NA","Sophie","0","","8/26/2021","Sophie",NA
"182",5,10,"1","29","1","3","","6/25/2021","0","NA","Sophie","0","","8/26/2021","Sophie",NA
"183",5,11,"1","3","2","4","","6/25/2021","1","0,0,0,0,0","Sophie","","12,1,0,25,8","8/26/2021","Sophie",NA
"184",5,12,"1","23","1","5","","6/25/2021","1","8,0,0,0,10","Sophie","","0,5,4,18,5","8/26/2021","Sophie",NA
"185",5,13,"1","21","3","1","","6/25/2021","1","0,0,0,0,0","Sophie","","1,2,4,8,1","8/26/2021","Sophie",NA
"186",5,14,"1","49","2","3","","6/25/2021","1","0,0,0,0,20","Sophie","","0,0,0,0,0","8/26/2021","Sophie",NA
"187",5,15,"1","72","3","5","","6/25/2021","1","0,0,0,0,018","Sophie","","1,0,1,1,3","8/26/2021","Sophie",NA
"188",5,16,"1","47","1","5","","6/25/2021","1","0,0,0,0,40","Sophie","","0,0,0,0,01","8/26/2021","Sophie",NA
"189",5,17,"1","47","3","3","","6/25/2021","1","0,0,0,0,0","Sophie","","5,5,52,0,6","8/26/2021","Sophie",NA
"190",5,18,"1","46","5","3","","6/25/2021","1","0,0,0,0,06","Sophie","","2,12,3,2,1","8/26/2021","Sophie",NA
"191",5,19,"1","21","3","5","","6/25/2021","1","0,6,36,0,0","Sophie","","2,0,5,5,1","8/26/2021","Sophie",NA
"192",5,20,"1","9","1","5","","6/25/2021","1","0,0,0,0,036","Sophie","","3,0,1,1,0","8/26/2021","Sophie",NA
"193",5,21,"1","47","4","5","","6/25/2021","1","0,0,0,0,02","Sophie","","4,0,1,0,5","8/26/2021","Sophie",NA
"194",5,22,"1","13","1","4","","6/25/2021","1","0,0,0,0,30","Sophie","","0,0,0,0,01","8/26/2021","Sophie",NA
"195",5,23,"2","3","4","3","","6/25/2021","1","0,0,0,0,03","Sophie","","0,2,0,2,4","8/26/2021","Sophie",NA
"196",5,24,"2","62","1","1","","6/25/2021","1","0,0,0,0,0","Sophie","2","","8/26/2021","Sophie",NA
"197",5,25,"2","12","5","2","","6/25/2021","0","NA","Sophie","0","","8/26/2021","Sophie",NA
"198",5,26,"2","74","2","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,0,2,1","8/26/2021","Sophie",NA
"199",5,27,"2","30","5","2","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,0,1,0","8/26/2021","Sophie",NA
"200",5,28,"2","79","1","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,2,0,1,0","8/26/2021","Sophie",NA
"201",5,29,"2","17","1","3","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,2,3,6","8/26/2021","Sophie",NA
"202",5,30,"2","6","5","4","","6/25/2021","1","0,0,0,0,03","Sophie","","3,3,1,1,12","8/26/2021","Sophie",NA
"203",5,31,"2","77","4","2","","6/25/2021","1","0,0,0,0,02","Sophie","","3,2,3,40,46","8/26/2021","Sophie",NA
"204",5,32,"2","27","5","3","","6/25/2021","1","too withered","Sophie","0","","8/26/2021","Sophie",NA
"205",5,33,"2","40","3","1","","6/25/2021","1","20,2,0,0,16","Sophie","","3,1,1,1,0","8/26/2021","Sophie",NA
"206",5,34,"2","67","5","1","","6/25/2021","1","0,0,0,0,08","Sophie","","0,0,25,23,2","8/26/2021","Sophie",NA
"207",5,35,"2","17","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","1,52,2,2,34","8/26/2021","Sophie",NA
"208",5,36,"2","41","1","5","","6/25/2021","1","0,0,0,0,0","Sophie","","0,1,12,0,0","8/26/2021","Sophie",NA
"209",5,37,"2","8","3","3","","6/25/2021","1","0,0,0,02,04","Sophie","","0,0,0,4,3","8/26/2021","Sophie",NA
"210",5,38,"2","72","4","3","","6/25/2021","1","0,0,0,0,0","Sophie","","1,0,5,5,1","8/26/2021","Sophie",NA
"211",5,39,"2","77","5","1","","6/25/2021","1","0,0,0,0,0","Sophie","","0,0,1,6,0","8/26/2021","Sophie",NA
