Variable,Chisq,p,PVE,Group,Urbanization
Latex exudation,3.01,0.0415,3.217,Population,UrbScore
Weevil damage (binary),0,0.5,0,Population,UrbScore
Weevil damage (quantitative),1.392,0.119,2.291,Population,UrbScore
Date of first flower,0,0.5,0,Population,UrbScore
Date of first follicle,0,0.5,0,Population,UrbScore
Flower size,0.833,0.181,6.365,Population,UrbScore
Flowering duration,0,0.5,0,Population,UrbScore
Flowering success,4.695,0.015,3.569,Population,UrbScore
Follicles,0,0.5,0.813,Population,UrbScore
Inflorescences,3.07,0.04,7.853,Population,UrbScore
Flowers per inflorescence,0.06,0.403,6.237,Population,UrbScore
Height before flowering,9.578,0.001,9.225,Family,UrbScore
Height after flowering,5.642,0.009,6.618,Family,UrbScore
LDMC,0,0.5,0,Family,UrbScore
Mortality,0.758,0.192,2.701,Family,UrbScore
Ramets before flowering,68.829,<0.001,7.049,Family,UrbScore
Ramets after flowering,27.672,<0.001,5.65,Family,UrbScore
Relative growth rate,0.101,0.3755,1.243,Family,UrbScore
SLA,0,0.5,0,Family,UrbScore
D. plexippus abundance,0,0.5,0,Family,UrbScore
L. clivicollis abundance,0,0.5,0,Family,UrbScore
L. asclepiadis abundance,3.204,0.0365,2.727,Family,UrbScore
Herbivory before flowering (binary),0,0.5,0.331,Family,UrbScore
Herbivory before flowering (quantitative),0,0.5,0,Family,UrbScore
Herbivory after flowering (binary),5.699,0.0085,1.894,Family,UrbScore
Herbivory after flowering (quantitative),0.482,0.244,2.348,Family,UrbScore
Latex exudation,1.907,0.0835,4.631,Family,UrbScore
Weevil damage (binary),3.499,0.0305,5.751,Family,UrbScore
Weevil damage (quantitative),1.095,0.1475,3.839,Family,UrbScore
Date of first flower,0,0.5,9.954,Family,UrbScore
Date of first follicle,47.014,<0.001,0,Family,UrbScore
Flower size,0.132,0.358,4.603,Family,UrbScore
Flowering duration,0,0.5,0,Family,UrbScore
Flowering success,0.274,0.3005,1.453,Family,UrbScore
Follicles,0,0.5,0,Family,UrbScore
Inflorescences,0,0.5,0,Family,UrbScore
Flowers per inflorescence,0,0.5,0.838,Family,UrbScore
