Row,Column,Block,Population,Family,Replicate,Alive_DC1,Comment,Date,Herbivory,Surveyor
2,26,2,28,1,4,1,,7/18/2020,"22,0,0,0,8",Sophie
2,27,2,14,3,5,1,,7/18/2020,"12,10,3,2,0",Sophie
2,28,2,2,5,5,1,,7/18/2020,"0,0,0,0,0",Sophie
2,29,2,42,2,2,0,,7/18/2020,0,Sophie
2,30,2,41,1,1,1,,7/18/2020,"4,3,0,4,0",Sophie
2,31,2,68,3,3,1,,7/18/2020,"7,0,3,3,0",Sophie
2,32,2,14,4,2,0,,7/18/2020,0,Sophie
2,33,2,72,1,2,1,,7/18/2020,"5,2,0,0,0",Sophie
2,34,2,2,4,3,1,,7/18/2020,"10,6,0,1,0",Sophie
2,35,2,4,1,2,1,,7/18/2020,"0,20,0,0,0",Sophie
2,36,2,49,4,3,1,,7/18/2020,"0,30,0,0,25",Sophie
2,37,2,17,2,4,1,,7/18/2020,"0,3,0,0,10",Sophie
2,38,2,6,1,3,1,,7/18/2020,"5,5,4,3,0",Sophie
2,39,2,77,2,2,1,,7/18/2020,"0,2,0,2,0",Sophie
2,40,2,47,2,4,1,,7/18/2020,"11,0,1,2,5",Sophie
2,41,2,64,1,3,1,,7/18/2020,"0,0,4,7,2",Sophie
2,42,2,57,5,1,1,,7/18/2020,"5,3,0,5,9",Sophie
2,43,2,57,1,4,1,,7/18/2020,"0,0,0,0,03",Sophie
2,44,2,15,2,3,1,,7/18/2020,"5,4,0,2,22",Sophie
2,45,2,79,5,2,1,,7/18/2020,"2,5,2,0,0",Sophie
2,46,2,17,5,4,1,,7/18/2020,"0,0,0,0,07",Sophie
3,1,1,12,5,1,1,,7/18/2020,"0,17,5,0,3",Sophie
3,2,1,68,3,4,1,,7/18/2020,"0,2,2,0,0",Sophie
3,3,1,14,5,1,1,,7/18/2020,"0,0,0,0,0",Sophie
3,4,1,9,2,2,1,,7/18/2020,"2,15,0,3,3",Sophie
3,5,1,13,5,5,1,,7/18/2020,"0,4,2,3,4",Sophie
3,6,1,1,1,2,1,,7/18/2020,"0,0,0,0,0",Sophie
3,7,1,68,3,5,1,,7/18/2020,"0,0,0,0,12",Sophie
3,8,1,15,4,1,1,,7/18/2020,"18,5,5,3,0",Sophie
3,9,1,4,3,5,1,,7/18/2020,"0,0,0,0,0",Sophie
3,10,1,2,5,3,1,,7/18/2020,"42,0,0,0,0",Sophie
3,11,1,49,3,4,1,,7/18/2020,"20,20,8,0,8",Sophie
3,12,1,15,2,4,1,,7/18/2020,"8,0,0,3,0",Sophie
3,13,1,39,2,2,1,,7/18/2020,"4,0,0,0,4",Sophie
3,14,1,2,2,5,1,,7/18/2020,"0,6,3,6,65",Sophie
3,15,1,64,3,2,1,,7/18/2020,"0,0,0,0,25",Sophie
3,16,1,31,2,2,1,,7/18/2020,"0,0,0,0,08",Sophie
3,17,1,8,2,5,1,,7/18/2020,"3,4,0,0,0",Sophie
3,18,1,17,1,1,1,,7/18/2020,"2,0,0,0,2",Sophie
3,19,1,18,1,4,1,,7/18/2020,"0,0,0,0,0",Sophie
3,20,1,36,2,2,1,,7/18/2020,"28,3,0,0,0",Sophie
3,21,1,7,3,1,1,,7/18/2020,"0,0,3,33,0",Sophie
3,22,1,69,2,1,1,,7/18/2020,"0,1,4,0,0",Sophie
3,23,1,30,5,4,1,,7/18/2020,"0,5,0,1,6",Sophie
3,24,2,4,4,5,1,,7/18/2020,"0,0,0,0,0",Sophie
3,25,2,16,3,4,1,,7/18/2020,"0,0,0,0,0",Sophie
3,26,2,62,3,1,1,,7/18/2020,"6,0,20,5,5",Sophie
3,27,2,39,4,2,1,,7/18/2020,"4,0,6,0,3",Sophie
3,28,2,77,3,2,1,,7/18/2020,"10,1,0,0,0",Sophie
3,29,2,4,4,4,1,,7/18/2020,"0,0,0,0,0",Sophie
3,30,2,72,1,3,0,,7/18/2020,"0,0,0,0,0",Sophie
3,31,2,56,4,4,1,,7/18/2020,"0,0,0,0,07",Sophie
3,32,2,36,3,5,0,,7/18/2020,0,Sophie
3,33,2,21,2,5,1,,7/18/2020,"2,4,0,0,0",Sophie
3,34,2,31,1,3,1,,7/18/2020,"0,0,0,0,02",Sophie
3,35,2,77,5,5,1,,7/18/2020,"1,0,0,1,0",Sophie
3,36,2,72,2,3,1,,7/18/2020,"4,0,0,2,0",Sophie
3,37,2,56,2,1,1,,7/18/2020,"0,0,0,3,3",Sophie
3,38,2,46,2,3,1,,7/18/2020,"8,1,4,3,0",Sophie
3,39,2,49,5,3,1,,7/18/2020,"0,0,0,0,02",Sophie
3,40,2,12,5,3,1,,7/18/2020,"0,0,1,6,0",Sophie
3,41,2,67,4,3,1,,7/18/2020,"0,0,0,0,01",Sophie
3,42,2,46,2,2,1,,7/18/2020,"7,5,4,3,2",Sophie
3,43,2,40,5,2,1,,7/18/2020,"0,0,0,0,0",Sophie
3,44,2,67,2,5,1,,7/18/2020,"18,2,0,0,3",Sophie
3,45,2,1,1,5,1,,7/18/2020,"0,0,0,0,0",Sophie
3,46,2,19,1,1,1,,7/18/2020,"0,0,0,0,013",Sophie
4,1,1,21,4,1,1,,7/18/2020,"0,2,0,0,0",Sophie
4,2,1,79,2,1,1,,7/18/2020,"3,2,5,0,0",Sophie
4,3,1,12,4,1,1,,7/18/2020,"6,2,12,0,0",Sophie
4,4,1,47,3,5,1,,7/18/2020,"0,0,0,0,01",Sophie
4,5,1,47,1,1,1,,7/18/2020,"2,10,5,0,0",Sophie
4,6,1,21,2,3,1,,7/18/2020,"0,0,0,0,05",Sophie
4,7,1,1,2,1,1,,7/18/2020,"0,0,1,0,2",Sophie
4,8,1,1,2,2,1,,7/18/2020,"3,2,1,0,0",Sophie
4,9,1,30,4,3,1,,7/18/2020,"0,5,0,22,50",Sophie
4,10,1,61,5,1,0,,7/18/2020,0,Sophie
4,11,1,1,4,1,1,,7/18/2020,"15,3,0,0,0",Sophie
4,12,1,6,4,5,0,,7/18/2020,0,Sophie
4,13,1,17,4,4,1,,7/18/2020,"2,10,0,0,0",Sophie
4,14,1,79,4,4,1,,7/18/2020,"25,0,0,0,4",Sophie
4,15,1,36,2,1,1,,7/18/2020,"4,22,0,0,0",Sophie
4,16,1,4,1,1,1,,7/18/2020,"9,0,2,0,3",Sophie
4,17,1,56,4,2,1,,7/18/2020,"3,5,3,5,0",Sophie
4,18,1,67,1,4,1,,7/18/2020,0,Sophie
4,19,1,2,3,1,1,,7/18/2020,"0,0,0,0,0",Sophie
4,20,1,8,1,1,1,,7/18/2020,"3,4,2,0,2",Sophie
4,21,1,72,5,5,1,,7/18/2020,"0,0,0,0,05",Sophie
4,22,1,12,4,4,0,,7/18/2020,0,Sophie
4,23,1,74,2,5,1,,7/18/2020,"0,0,0,6,1",Sophie
4,24,2,77,1,4,1,,7/18/2020,"0,0,0,0,0",Sophie
4,25,2,15,2,5,1,,7/18/2020,"4,0,3,3,0",Sophie
4,26,2,56,2,3,1,,7/18/2020,"0,7,2,5,0",Sophie
4,27,2,32,1,2,1,,7/18/2020,"2,0,9,1,0",Sophie
4,28,2,68,4,3,1,,7/18/2020,"3,4,0,0,5",Sophie
4,29,2,23,1,2,1,,7/18/2020,"0,0,0,0,0",Sophie
4,30,2,4,1,4,1,,7/18/2020,"0,0,0,0,03",Sophie
4,31,2,6,3,1,1,,7/18/2020,"0,0,0,0,0",Sophie
4,32,2,72,5,3,1,,7/18/2020,"0,0,0,0,0",Sophie
4,33,2,4,3,2,1,,7/18/2020,"4,0,0,1,2",Sophie
4,34,2,51,4,3,1,,7/18/2020,"22,1,1,0,1",Sophie
4,35,2,20,3,2,0,,7/18/2020,0,Sophie
4,36,2,7,5,5,1,,7/18/2020,"3,0,0,4,1",Sophie
4,37,2,36,5,3,1,,7/18/2020,"10,0,0,3,0,0",Sophie
4,38,2,40,5,3,1,,7/18/2020,"42,10,2,1,1",Sophie
4,39,2,18,1,1,1,,7/18/2020,"0,58,0,0,0",Sophie
4,40,2,36,1,4,1,,7/18/2020,"33,2,0,6",Sophie
4,41,2,36,1,5,1,,7/18/2020,"3,0,20,0,0",Sophie
4,42,2,2,2,2,1,,7/18/2020,"0,0,0,2,3",Sophie
4,43,2,1,3,5,1,,7/18/2020,"6,3,0,0,0",Sophie
4,44,2,61,4,4,1,,7/18/2020,"3,12,4,2,0",Sophie
4,45,2,18,5,2,1,,7/18/2020,"0,0,0,0,026",Sophie
4,46,2,46,4,1,1,,7/18/2020,"1,0,0,5,0",Sophie
5,1,1,77,1,1,1,,7/18/2020,"0,6,0,40,1",Sophie
5,2,1,21,5,3,1,,7/18/2020,"1,0,0,5,21",Sophie
5,3,1,19,3,5,1,,7/18/2020,"4,5,3,7,8",Sophie
5,4,1,56,3,3,0,,7/18/2020,0,Sophie
5,5,1,32,1,3,1,,7/18/2020,"0,0,0,0,012",Sophie
5,6,1,8,3,5,1,,7/18/2020,"2,6,3,1,2",Sophie
5,7,1,11,1,2,1,,7/18/2020,"0,0,0,0,02",Sophie
5,8,1,4,5,2,1,,7/18/2020,"0,0,0,0,02",Sophie
5,9,1,28,1,3,0,,7/18/2020,0,Sophie
5,10,1,29,1,3,1,,7/18/2020,0,Sophie
5,11,1,3,2,4,1,,7/18/2020,"12,0,0,22,0",Sophie
5,12,1,23,1,5,1,,7/18/2020,"10,10,0,0,14",Sophie
5,13,1,21,3,1,1,,7/18/2020,"2,1,3,2,2",Sophie
5,14,1,49,2,3,1,,7/18/2020,"22,0,0,0,3",Sophie
5,15,1,72,3,5,1,,7/18/2020,"4,4,0,0,0",Sophie
5,16,1,47,1,5,1,,7/18/2020,"10,2,3,0,0",Sophie
5,17,1,47,3,3,1,,7/18/2020,"0,0,0,0,0",Sophie
5,18,1,46,5,3,1,,7/18/2020,"0,0,0,0,0",Sophie
5,19,1,21,3,5,1,,7/18/2020,"0,0,0,3,3",Sophie
5,20,1,9,1,5,1,,7/18/2020,"10,0,0,8,6",Sophie
5,21,1,47,4,5,1,,7/18/2020,"6,3,0,0,0",Sophie
5,22,1,13,1,4,1,,7/18/2020,"0,0,0,8,28",Sophie
5,23,2,3,4,3,1,,7/18/2020,"0,0,0,0,05",Sophie
5,24,2,62,1,1,1,,7/18/2020,"0,0,0,2,6",Sophie
5,25,2,12,5,2,1,,7/18/2020,"0,0,0,0,03",Sophie
5,26,2,74,2,1,1,,7/18/2020,"3,3,0,0,0",Sophie
5,27,2,30,5,2,1,,7/18/2020,"2,1,0,0,0",Sophie
5,28,2,79,1,3,1,,7/18/2020,"20,2,0,0,0",Sophie
5,29,2,17,1,3,1,,7/18/2020,"0,0,3,2,24",Sophie
5,30,2,6,5,4,1,,7/18/2020,"0,0,0,0,05",Sophie
5,31,2,77,4,2,1,,7/18/2020,"0,0,0,0,022",Sophie
5,32,2,27,5,3,1,,7/18/2020,"0,5,6,0,25",Sophie
5,33,2,40,3,1,1,,7/18/2020,"0,0,0,0,10",Sophie
5,34,2,67,5,1,1,,7/18/2020,"6,0,0,3,0",Sophie
5,35,2,17,5,1,1,,7/18/2020,"0,0,0,0,0",Sophie
5,36,2,41,1,5,1,,7/18/2020,"0,0,0,0,0",Sophie
5,37,2,8,3,3,1,,7/18/2020,"5,2,0,15,7",Sophie
5,38,2,72,4,3,1,,7/18/2020,too small,Sophie
5,39,2,77,5,1,1,,7/18/2020,"3,2,0,1,0",Sophie
5,40,2,14,1,4,1,,7/18/2020,"0,0,0,0,07",Sophie
5,41,2,2,1,5,1,,7/18/2020,"18,30,0,0,42",Sophie
5,42,2,39,5,3,1,,7/18/2020,"0,0,0,0,0",Sophie
5,43,2,36,3,4,1,,7/18/2020,"0,0,0,0,04",Sophie
5,44,2,69,1,4,1,,7/18/2020,"5,5,1,12,2",Sophie
5,45,2,64,1,2,1,,7/18/2020,"22,0,0,0,0",Sophie
5,46,2,29,5,4,1,,7/18/2020,"28,40,60,0,0",Sophie
6,1,1,36,4,4,1,,7/18/2020,"5,4,1,0,0",Sophie
6,2,1,61,4,5,1,,7/18/2020,"0,0,0,0,0",Sophie
6,3,1,2,2,3,1,,7/18/2020,"0,4,2,5,0",Sophie
6,4,1,27,3,3,1,,7/18/2020,"0,78,100,25,0",Sophie
6,5,1,11,2,4,1,,7/18/2020,"4,4,8,0,0",Sophie
6,6,1,12,1,4,1,,7/18/2020,"3,0,0,2,0",Sophie
6,7,1,57,5,3,1,,7/18/2020,"0,0,0,7,2",Sophie
6,8,1,7,5,3,1,,7/18/2020,"0,0,0,0,0",Sophie
6,9,1,21,4,4,1,,7/18/2020,"0,0,0,0,01",Sophie
6,10,1,49,4,5,1,,7/18/2020,"65,0,36,42,0",Sophie
6,11,1,40,5,5,1,,7/18/2020,"40,0,0,35,0",Sophie
6,12,1,7,5,2,1,,7/18/2020,"0,0,7,19,0",Sophie
6,13,1,46,5,1,1,,7/18/2020,"0,0,0,0,05",Sophie
6,14,1,36,2,5,1,,7/18/2020,"0,6,0,0,3",Sophie
6,15,1,26,1,2,1,,7/18/2020,"20,15,0,0,0",Sophie
6,16,1,51,2,1,1,,7/18/2020,"0,0,0,0,0",Sophie
6,17,1,46,1,3,0,,7/18/2020,0,Sophie
6,18,1,6,2,1,0,,7/18/2020,0,Sophie
6,19,1,19,5,2,1,,7/18/2020,"20,3,0,0,0",Sophie
6,20,1,3,5,1,1,,7/18/2020,"0,4,0,3,0",Sophie
6,21,1,29,4,5,0,,7/18/2020,0,Sophie
6,22,1,79,4,1,1,,7/18/2020,"3,2,2,0,2",Sophie
6,23,2,21,2,2,1,,7/18/2020,"4,12,0,10,0",Sophie
6,24,2,77,4,5,1,,7/18/2020,"0,0,0,0,04",Sophie
6,25,2,72,2,4,0,,7/18/2020,0,Sophie
6,26,2,1,1,3,1,,7/18/2020,"0,0,0,0,0",Sophie
6,27,2,5,5,3,1,,7/18/2020,"0,0,0,0,0",Sophie
6,28,2,36,1,1,1,,7/18/2020,"7,2,0,0,0",Sophie
6,29,2,62,3,4,1,,7/18/2020,"2,0,0,0,5",Sophie
6,30,2,12,5,4,1,,7/18/2020,"0,0,0,0,017",Sophie
6,31,2,18,4,3,1,,7/18/2020,"2,5,0,0,2",Sophie
6,32,2,18,2,1,1,,7/18/2020,"6,0,0,25,13",Sophie
6,33,2,14,1,1,1,,7/18/2020,"3,0,0,0,6",Sophie
6,34,2,57,5,2,0,,7/18/2020,0,Sophie
6,35,2,1,3,4,1,,7/18/2020,"0,0,0,0,0",Sophie
6,36,2,74,2,3,1,,7/18/2020,"3,0,1,0,0",Sophie
6,37,2,17,3,2,1,,7/18/2020,"4,0,5,20,2",Sophie
6,38,2,1,4,5,1,,7/18/2020,"0,0,0,0,02",Sophie
6,39,2,62,4,1,1,,7/18/2020,"0,0,0,0,03",Sophie
6,40,2,17,2,1,1,,7/18/2020,"0,0,0,0,02",Sophie
6,41,2,42,1,2,1,,7/18/2020,"23,0,0,0,0",Sophie
6,42,2,4,3,4,0,,7/18/2020,0,Sophie
6,43,2,79,2,5,1,,7/18/2020,"0,3,0,2,0",Sophie
6,44,2,17,5,2,1,,7/18/2020,"0,3,3,0,0",Sophie
6,45,2,18,2,4,1,,7/18/2020,"40,55,20,50,65",Sophie
6,46,2,7,4,3,1,,7/18/2020,"22,0,0,0,2",Sophie
7,1,1,3,2,5,1,,7/17/2020,"0,0,0,0,0",Sophie
7,2,1,6,2,3,0,,7/17/2020,0,Sophie
7,3,1,7,1,3,1,,7/17/2020,"0,0,0,0,45",Sophie
7,4,1,47,2,2,1,,7/17/2020,"0,8,10,28,0",Sophie
7,5,1,62,1,5,1,,7/17/2020,"0,0,0,0,0",Sophie
7,6,1,64,2,3,0,,7/17/2020,0,Sophie
7,7,1,67,2,1,1,,7/17/2020,"0,0,0,0,0",Sophie
7,8,1,5,5,4,1,,7/17/2020,"10,0,0,0,0",Sophie
7,9,1,39,2,4,1,,7/17/2020,"20,0,40,0,0",Sophie
7,10,1,79,3,4,1,,7/17/2020,"0,0,0,0,0",Sophie
7,11,1,47,4,4,1,,7/17/2020,"0,0,0,0,02",Sophie
7,12,1,4,4,2,1,,7/17/2020,"17,3,0,4,5",Sophie
7,13,1,19,2,2,1,,7/17/2020,"6,0,0,0,3",Sophie
7,14,1,46,5,5,1,,7/17/2020,"0,---",Sophie
7,15,1,7,4,4,1,,7/17/2020,0,Sophie
7,16,1,68,1,5,1,,7/17/2020,"0,0,0,0,0",Sophie
7,17,1,5,2,4,1,,7/17/2020,"0,0,0,0,8",Sophie
7,18,1,5,3,2,1,,7/17/2020,"0,0,0,0,46",Sophie
7,19,1,29,1,2,1,,7/17/2020,too small,Sophie
7,20,1,79,3,3,1,,7/17/2020,"0,0,0,0,04",Sophie
7,21,1,35,3,2,1,,7/17/2020,"0,0,0,0,0",Sophie
7,22,1,35,4,4,1,,7/17/2020,"0,0,0,0,0",Sophie
7,23,2,14,4,4,0,,7/17/2020,0,Sophie
7,24,2,7,2,3,1,,7/17/2020,"0,0,0,0,07",Sophie
7,25,2,12,2,4,1,,7/17/2020,"0,0,0,0,0",Sophie
7,26,2,67,1,5,1,,7/17/2020,"0,0,6,0,0",Sophie
7,27,2,30,2,4,1,,7/17/2020,"0,4,2,0,0",Sophie
7,28,2,8,2,2,1,,7/17/2020,"0,0,0,0,02",Sophie
7,29,2,39,2,5,1,,7/17/2020,"0,2,0,0,4",Sophie
7,30,2,56,3,5,1,,7/17/2020,"10,0,0,0,30",Sophie
7,31,2,62,2,3,1,,7/17/2020,"5,0,4,0,0",Sophie
7,32,2,5,1,4,0,,7/17/2020,0,Sophie
7,33,2,12,2,2,1,,7/17/2020,"4,0,0,0,0",Sophie
7,34,2,57,4,5,1,,7/17/2020,"18,0,0,1,0",Sophie
7,35,2,62,3,5,0,,7/17/2020,0,Sophie
7,36,2,79,5,1,1,,7/17/2020,"0,8,1,0,1",Sophie
7,37,2,1,1,1,1,,7/17/2020,"0,0,0,0,0",Sophie
7,38,2,64,3,4,1,,7/17/2020,"0,0,0,0,02",Sophie
7,39,2,19,5,3,1,,7/17/2020,"3,3,0,4,0",Sophie
7,40,2,30,4,4,1,,7/17/2020,"16,5,0,2,0",Sophie
7,41,2,16,3,5,1,,7/17/2020,"0,0,7,0,4",Sophie
7,42,2,13,3,1,0,,7/17/2020,0,Sophie
7,43,2,27,4,3,0,,7/17/2020,0,Sophie
7,44,2,11,2,5,1,,7/17/2020,"0,4,2,3,0",Sophie
7,45,2,2,5,4,1,,7/17/2020,"0,40,30,3,25",Sophie
7,46,2,29,5,2,1,,7/17/2020,"0,0,0,0,01",Sophie
8,1,1,9,2,1,1,,7/17/2020,"8,0,1,0,0",Sophie
8,2,1,57,1,2,1,,7/17/2020,"0,1,2,4,8",Sophie
8,3,1,67,3,2,1,,7/17/2020,"3,1,2,10,1",Sophie
8,4,1,21,5,1,1,,7/17/2020,"0,4,0,0,1",Sophie
8,5,1,13,5,4,1,,7/17/2020,"0,0,0,0,0",Sophie
8,6,1,74,1,3,1,,7/17/2020,"0,0,0,0,0",Sophie
8,7,1,17,1,4,1,,7/17/2020,"0,22,100,100,100",Sophie
8,8,1,15,4,4,1,,7/17/2020,"0,0,0,0,01",Sophie
8,9,1,7,3,2,1,,7/17/2020,"0,2,2,0,0",Sophie
8,10,1,12,3,2,1,,7/17/2020,"15,020,30,18",Sophie
8,11,1,11,4,5,1,,7/17/2020,"5,1,0,0,0",Sophie
8,12,1,20,5,1,1,,7/17/2020,"39,47,0,0,0",Sophie
8,13,1,72,4,5,1,,7/17/2020,"0,0,0,0,0",Sophie
8,14,1,62,2,5,1,,7/17/2020,0,Sophie
8,15,1,15,1,5,1,,7/17/2020,"0,0,0,0,08",Sophie
8,16,1,14,3,2,1,,7/17/2020,"0,0,0,0,05",Sophie
8,17,1,57,3,2,1,,7/17/2020,"9,0,0,3,0",Sophie
8,18,1,62,1,2,1,,7/17/2020,"0,0,0,0,0",Sophie
8,19,1,47,5,1,1,,7/17/2020,"7,7,0,0,0",Sophie
8,20,1,15,5,1,1,,7/17/2020,"0,0,0,0,0",Sophie
8,21,1,16,2,1,1,,7/17/2020,"30,0,3,29,26",Sophie
8,22,1,29,4,3,1,,7/17/2020,"0,0,0,0,023",Sophie
8,23,2,68,5,2,1,,7/17/2020,"4,4,0,0,0",Sophie
8,24,2,4,2,2,1,,7/17/2020,"3,7,18,0,60",Sophie
8,25,2,46,2,5,1,,7/17/2020,"0,0,0,0,012",Sophie
8,26,2,68,4,1,1,,7/17/2020,"0,0,0,0,0",Sophie
8,27,2,6,3,5,1,,7/17/2020,"0,3,0,2,0",Sophie
8,28,2,7,1,2,1,,7/17/2020,"12,3,0,0,0",Sophie
8,29,2,35,3,5,1,,7/17/2020,"28,0,5,23,5",Sophie
8,30,2,39,3,3,1,,7/17/2020,"0,0,0,0,03",Sophie
8,31,2,62,4,4,1,,7/17/2020,"0,2,4,0,2",Sophie
8,32,2,4,3,3,1,,7/17/2020,"3,3,0,0,0",Sophie
8,33,2,21,1,2,1,,7/17/2020,"3,0,30,1,2",Sophie
8,34,2,77,4,3,1,,7/17/2020,"4,12,5,0,0",Sophie
8,35,2,17,4,2,1,,7/17/2020,"0,0,0,0,0",Sophie
8,36,2,27,5,2,1,,7/17/2020,"1,0,0,1,3",Sophie
8,37,2,26,1,1,1,,7/17/2020,"0,8,1,3,1",Sophie
8,38,2,17,3,1,1,,7/17/2020,"4,3,4,0,1",Sophie
8,39,2,5,4,1,1,,7/17/2020,"0,0,0,0,0",Sophie
8,40,2,39,3,5,1,,7/17/2020,"6,0,1,1,0",Sophie
8,41,2,64,2,2,1,,7/17/2020,"0,0,0,0,0",Sophie
8,42,2,64,3,3,1,,7/17/2020,"21,24,48,0,72",Sophie
8,43,2,39,4,1,1,,7/17/2020,"6,4,5,0,0",Sophie
